Date,Nicholsons_Abstraction
04-Mar-95,49
04-Mar-95,49
11-Mar-95,49
18-Mar-95,49
25-Mar-95,45
01-Apr-95,45
08-Apr-95,42
15-Apr-95,42
22-Apr-95,42
29-Apr-95,35
06-May-95,33
13-May-95,43
20-May-95,38
27-May-95,41
03-Jun-95,29
10-Jun-95,19
17-Jun-95,44
01-Jul-95,29
08-Jul-95,30
15-Jul-95,27
22-Jul-95,27
29-Jul-95,22
05-Aug-95,4
12-Aug-95,22
19-Aug-95,24
26-Aug-95,26
02-Sep-95,7
09-Sep-95,23
16-Sep-95,30
23-Sep-95,23
30-Sep-95,26
07-Oct-95,27
14-Oct-95,34
21-Oct-95,15
28-Oct-95,26
04-Nov-95,27
11-Nov-95,27
18-Nov-95,27
25-Nov-95,30
02-Dec-95,31
09-Dec-95,31
16-Dec-95,27
23-Dec-95,23
30-Dec-95,34
06-Jan-96,30
13-Jan-96,30
20-Jan-96,25
27-Jan-96,30
03-Feb-96,30
10-Feb-96,34
17-Feb-96,25
24-Feb-96,25
02-Mar-96,25
09-Mar-96,34
16-Mar-96,30
23-Mar-96,42
30-Mar-96,25
06-Apr-96,29
13-Apr-96,26
20-Apr-96,38
27-Apr-96,21
04-May-96,34
11-May-96,30
18-May-96,26
25-May-96,31
01-Jun-96,49
08-Jun-96,49
15-Jun-96,21
22-Jun-96,49
29-Jun-96,45
06-Jul-96,49
13-Jul-96,54
20-Jul-96,58
27-Jul-96,45
03-Aug-96,53
10-Aug-96,46
17-Aug-96,32
24-Aug-96,30
31-Aug-96,54
07-Sep-96,52
14-Sep-96,1
21-Sep-96,32
28-Sep-96,40
05-Oct-96,41
12-Oct-96,45
19-Oct-96,13
26-Oct-96,36
02-Nov-96,30
09-Nov-96,34
16-Nov-96,26
23-Nov-96,34
30-Nov-96,30
07-Dec-96,34
14-Dec-96,26
21-Dec-96,26
28-Dec-96,27
04-Jan-97,43
11-Jan-97,25.6
18-Jan-97,30
25-Jan-97,29.9
01-Feb-97,34.1
08-Feb-97,25.6
15-Feb-97,34.1
22-Feb-97,25.6
01-Mar-97,29.9
08-Mar-97,38.4
15-Mar-97,25.6
22-Mar-97,29.9
29-Mar-97,25.6
05-Apr-97,37.9
12-Apr-97,25.6
19-Apr-97,25.6
26-Apr-97,21.3
03-May-97,26.1
10-May-97,26.1
17-May-97,37.3
24-May-97,26.1
31-May-97,26
07-Jun-97,26
14-Jun-97,3.7
21-Jun-97,27.3
28-Jun-97,23.4
05-Jul-97,32.1
12-Jul-97,27.7
19-Jul-97,27.7
26-Jul-97,28
02-Aug-97,23.4
09-Aug-97,32.1
16-Aug-97,27.5
23-Aug-97,10.6
30-Aug-97,32
06-Sep-97,19.2
13-Sep-97,27.7
20-Sep-97,34.1
27-Sep-97,25.4
04-Oct-97,36.5
11-Oct-97,36.9
18-Oct-97,30.1
25-Oct-97,29.9
01-Nov-97,19.9
08-Nov-97,25.9
15-Nov-97,29.9
22-Nov-97,18.7
29-Nov-97,24.8
06-Dec-97,26.2
13-Dec-97,26.3
20-Dec-97,29.9
27-Dec-97,22.4
03-Jan-98,14.9
10-Jan-98,26
17-Jan-98,34
24-Jan-98,26
31-Jan-98,31
07-Feb-98,26
14-Feb-98,22
21-Feb-98,22
28-Feb-98,34
07-Mar-98,30
14-Mar-98,22
21-Mar-98,22
28-Mar-98,30
04-Apr-98,22
18-Apr-98,26
25-Apr-98,26
02-May-98,26
09-May-98,22
16-May-98,26
23-May-98,26
30-May-98,11
06-Jun-98,11
13-Jun-98,26
20-Jun-98,82
27-Jun-98,0
04-Jul-98,27
11-Jul-98,27
18-Jul-98,8
25-Jul-98,0
01-Aug-98,0
08-Aug-98,0
15-Aug-98,0
22-Aug-98,0
29-Aug-98,0
05-Sep-98,0.3
12-Sep-98,0
19-Sep-98,0.2
25-Sep-98,0.3
03-Oct-98,0.3
10-Oct-98,0.2
17-Oct-98,0
24-Oct-98,0
31-Oct-98,0
07-Nov-98,0
14-Nov-98,0
21-Nov-98,0.6
28-Nov-98,0
05-Dec-98,0
12-Dec-98,0
19-Dec-98,0
26-Dec-98,0
02-Jan-99,0.108
09-Jan-99,0.325
16-Jan-99,0.108
23-Jan-99,0.162
30-Jan-99,0.866
06-Feb-99,0.108
13-Feb-99,0.162
20-Feb-99,0.054
27-Feb-99,0.054
06-Mar-99,0.054
13-Mar-99,0.054
20-Mar-99,0.054
27-Mar-99,0.054
03-Apr-99,0.216
10-Apr-99,0.487
17-Apr-99,0.162
