Date,Dawdon
13-Feb-95,-314.18
13-Feb-95,-314.18
13-Mar-95,-405.18
26-Apr-95,-404.18
30-May-95,-402.68
28-Jun-95,-399.78
24-Jul-95,-397.68
08-Aug-95,-364.18
22-Sep-95,-364.18
20-Oct-95,-321.68
24-Nov-95,-326.48
01-Dec-95,-324.88
08-Dec-95,-323.68
21-Dec-95,-323.28
28-Dec-95,-323.68
04-Jan-96,-313.98
11-Jan-96,-310.48
12-Feb-96,-301.08
07-Mar-96,-295.28
15-Apr-96,-283.58
13-May-96,-277.08
12-Jun-96,-271.28
08-Jul-96,-266.08
26-Aug-96,-258.18
19-Nov-96,-247.88
16-Dec-96,-242.78
07-Jan-97,-241.68
15-Jan-97,-239.63
01-Feb-97,-235.68
01-Mar-97,-231.68
01-Apr-97,-227.98
01-May-97,-222.98
20-Jun-97,-218.28
16-Jul-97,-213.88
04-Aug-97,-213.88
01-Sep-97,-208.88
01-Oct-97,-205.28
11-Nov-97,-198.28
14-Jan-98,-189.48
10-Feb-98,-185.08
06-Mar-98,-180.18
15-Apr-98,-175.68
13-May-98,-171.58
26-Jun-98,-164.78
20-Jul-98,-159.98
27-Aug-98,-156.58
18-Sep-98,-152.18
08-Oct-98,-151.38
23-Nov-98,-146.48
08-Dec-98,-145.58
18-Jan-99,-140.18
18-Feb-99,-137.98
12-Mar-99,-135.08
20-Apr-99,-132.08
25-May-99,-127.08
18-Jun-99,-125.58
19-Jul-99,-123.58
20-Aug-99,-119.83
16-Sep-99,-118.64
06-Oct-99,-115.88
10-Nov-99,-113.08
13-Dec-99,-110.98
10-Jan-00,-109.98
14-Feb-00,-107.08
20-Mar-00,-106.18
19-Apr-00,-102.18
19-May-00,-100.68
03-Jun-00,-100.48
08-Jul-00,-95.08
07-Aug-00,-93.08
11-Sep-00,-91.18
06-Oct-00,-89.18
05-Nov-00,-85.88
15-Dec-00,-83.98
30-Dec-00,-82.63
03-Feb-01,-78.08
05-Mar-01,-76.88
04-Apr-01,-75.58
19-May-01,-72.18
13-Jun-01,-69.78
08-Jul-01,-69.58
07-Aug-01,-67.68
06-Sep-01,-65.88
16-Oct-01,-62.88
20-Nov-01,-61.88
30-Nov-01,-60.28
14-Jan-02,-57.98
03-Feb-02,-56.38
05-Mar-02,-55.18
09-Apr-02,-53.68
14-May-02,-52.08
08-Jun-02,-49.38
03-Jul-02,-48.88
02-Aug-02,-46.18
06-Sep-02,-45.98
06-Oct-02,-44.28
20-Nov-02,-40.68
10-Dec-02,-39.88
14-Jan-03,-38.78
28-Feb-03,-36.68
25-Mar-03,-36.18
19-Apr-03,-34.98
09-May-03,-33.68
03-Jun-03,-32.28
08-Jul-03,-29.78
12-Aug-03,-28.78
16-Sep-03,-25.58
06-Oct-03,-25.50
15-Nov-03,-25.10
10-Dec-03,-24.10
15-Dec-03,-24.00
20-Dec-03,-23.88
25-Dec-03,-24.00
30-Dec-03,-24.22
04-Jan-04,-24.11
09-Jan-04,-23.97
14-Jan-04,-23.97
19-Jan-04,-24.10
24-Jan-04,-24.02
29-Jan-04,-23.91
03-Feb-04,-23.52
08-Feb-04,-23.23
13-Feb-04,-23.07
18-Feb-04,-22.74
23-Feb-04,-22.35
28-Feb-04,-22.21
04-Mar-04,-21.96
09-Mar-04,-21.81
14-Mar-04,-21.48
19-Mar-04,-21.18
24-Mar-04,-21.15
29-Mar-04,-20.95
03-Apr-04,-20.66
08-Apr-04,-20.53
13-Apr-04,-20.40
18-Apr-04,-20.03
23-Apr-04,-19.97
28-Apr-04,-19.84
03-May-04,-19.52
08-May-04,-19.39
13-May-04,-19.37
18-May-04,-19.12
23-May-04,-19.02
28-May-04,-18.87
02-Jun-04,-18.63
07-Jun-04,-18.47
12-Jun-04,-18.34
17-Jun-04,-18.08
22-Jun-04,-17.90
27-Jun-04,-17.96
02-Jul-04,-17.80
07-Jul-04,-17.26
12-Jul-04,-16.72
17-Jul-04,-16.63
22-Jul-04,-16.74
27-Jul-04,-16.76
01-Aug-04,-16.82
06-Aug-04,-16.89
11-Aug-04,-16.85
16-Aug-04,-16.80
21-Aug-04,-16.84
26-Aug-04,-16.76
31-Aug-04,-16.73
05-Sep-04,-16.84
10-Sep-04,-16.62
15-Sep-04,-16.38
20-Sep-04,-16.29
25-Sep-04,-16.28
30-Sep-04,-16.24
05-Oct-04,-16.17
10-Oct-04,-16.41
15-Oct-04,-16.40
20-Oct-04,-16.44
25-Oct-04,-16.39
30-Oct-04,-16.43
04-Nov-04,-16.31
09-Nov-04,-15.76
14-Nov-04,-15.24
19-Nov-04,-14.86
24-Nov-04,-14.46
29-Nov-04,-14.10
04-Dec-04,-14.00
09-Dec-04,-14.25
14-Dec-04,-14.20
19-Dec-04,-14.42
24-Dec-04,-14.42
29-Dec-04,-14.57
03-Jan-05,-14.56
08-Jan-05,-14.49
13-Jan-05,-14.63
18-Jan-05,-14.44
23-Jan-05,-14.61
28-Jan-05,-14.68
02-Feb-05,-14.66
03-Apr-05,-14.82
08-Apr-05,-14.63
13-Apr-05,-14.57
18-Apr-05,-14.45
23-Apr-05,-14.39
28-Apr-05,-14.35
03-May-05,-14.25
08-May-05,-14.30
13-May-05,-14.43
18-May-05,-14.36
23-May-05,-14.26
28-May-05,-14.32
02-Jun-05,-14.23
07-Jun-05,-14.25
12-Jun-05,-14.15
17-Jun-05,-14.13
22-Jun-05,-14.06
27-Jun-05,-14.16
02-Jul-05,-13.99
07-Jul-05,-14.00
12-Jul-05,-14.07
17-Jul-05,-13.88
22-Jul-05,-13.79
27-Jul-05,-13.63
01-Aug-05,-13.13
06-Aug-05,-12.88
11-Aug-05,-12.70
16-Aug-05,-12.53
21-Aug-05,-12.66
26-Aug-05,-12.70
31-Aug-05,-12.75
05-Sep-05,-12.75
10-Sep-05,-12.77
15-Sep-05,-12.68
20-Sep-05,-12.75
25-Sep-05,-12.72
30-Sep-05,-12.59
05-Oct-05,-12.45
10-Oct-05,-12.11
15-Oct-05,-11.87
20-Oct-05,-11.52
25-Oct-05,-11.28
30-Oct-05,-10.99
