Date,Easington
13-Feb-95,-288.72
13-Feb-95,-288.72
13-Mar-95,-354.72
26-Apr-95,-352.72
30-May-95,-347.52
28-Jun-95,-344.22
24-Jul-95,-341.97
08-Aug-95,-332.12
22-Sep-95,-332.02
20-Oct-95,-318.32
24-Nov-95,-322.82
01-Dec-95,-322.92
08-Dec-95,-322.72
21-Dec-95,-322.52
28-Dec-95,-322.42
04-Jan-96,-311.72
11-Jan-96,-308.02
12-Feb-96,-298.72
07-Mar-96,-292.72
15-Apr-96,-282.62
13-May-96,-276.12
12-Jun-96,-270.32
08-Jul-96,-260.02
12-Sep-96,-254.72
17-Oct-96,-250.72
14-Nov-96,-246.72
19-Nov-96,-247.52
07-Jan-97,-239.32
15-Jan-97,-237.22
01-Feb-97,-232.92
01-Mar-97,-226.72
01-Apr-97,-219.72
01-May-97,-214.82
20-Jun-97,-209.72
16-Jul-97,-204.72
04-Aug-97,-204.32
01-Sep-97,-200.02
01-Oct-97,-196.72
03-Oct-97,-196.72
11-Nov-97,-189.72
09-Dec-97,-185.92
10-Jan-98,-180.12
10-Feb-98,-176.82
06-Mar-98,-173.62
15-Apr-98,-167.52
13-May-98,-163.02
26-Jun-98,-155.32
20-Jul-98,-150.62
27-Aug-98,-146.62
18-Sep-98,-144.22
08-Oct-98,-141.52
23-Nov-98,-135.82
08-Dec-98,-134.82
18-Jan-99,-129.72
18-Feb-99,-126.82
12-Mar-99,-124.42
20-Apr-99,-120.72
25-May-99,-116.92
18-Jun-99,-115.82
19-Jul-99,-113.57
20-Aug-99,-109.87
20-Sep-99,-107.82
06-Oct-99,-106.52
17-Nov-99,-104.02
08-Dec-99,-101.92
10-Jan-00,-100.419998
14-Feb-00,-97.919998
20-Mar-00,-98.32
19-Apr-00,-95.32
19-May-00,-91.919998
03-Jun-00,-91.839996
08-Jul-00,-87.57
07-Aug-00,-85.82
11-Sep-00,-84.669998
06-Oct-00,-81.720001
05-Nov-00,-77.57
05-Dec-00,-76.919998
30-Dec-00,-73.82
03-Feb-01,-69.220001
05-Mar-01,-67.919998
04-Apr-01,-65.419998
19-May-01,-63.82
13-Jun-01,-60.720001
08-Jul-01,-60.919998
07-Aug-01,-58.32
06-Sep-01,-56.57
16-Oct-01,-55.419998
20-Nov-01,-53.52
30-Nov-01,-51.919998
14-Jan-02,-49.720001
03-Feb-02,-47.119999
05-Mar-02,-46.619999
09-Apr-02,-45.52
14-May-02,-44.119999
08-Jun-02,-41.220001
03-Jul-02,-41.32
02-Aug-02,-39.119999
06-Sep-02,-39.32
06-Oct-02,-35.52
20-Nov-02,-33.82
10-Dec-02,-33.02
14-Jan-03,-32.619999
28-Feb-03,-30.52
25-Mar-03,-29.92
19-Apr-03,-29.02
09-May-03,-27.82
03-Jun-03,-27.42
08-Jul-03,-24.219999
12-Aug-03,-23.92
16-Sep-03,-23.219999
06-Oct-03,-21.32
15-Nov-03,-20.6
10-Dec-03,-20.15208
15-Dec-03,-20.035335
20-Dec-03,-20.244388
25-Dec-03,-20.859346
30-Dec-03,-21.126185
04-Jan-04,-21.0642
09-Jan-04,-21.109644
14-Jan-04,-21.2388
19-Jan-04,-21.460758
24-Jan-04,-21.458748
29-Jan-04,-21.179242
03-Feb-04,-20.2785
08-Feb-04,-19.861527
13-Feb-04,-19.662181
18-Feb-04,-19.331546
23-Feb-04,-18.944071
28-Feb-04,-18.813325
04-Mar-04,-18.597944
09-Mar-04,-18.514071
14-Mar-04,-18.201019
19-Mar-04,-17.950867
24-Mar-04,-17.98296
29-Mar-04,-17.795579
03-Apr-04,-17.570229
08-Apr-04,-17.482819
13-Apr-04,-17.364085
18-Apr-04,-17.028181
23-Apr-04,-16.963481
28-Apr-04,-16.852781
03-May-04,-16.595206
08-May-04,-16.493463
13-May-04,-16.480254
18-May-04,-16.271765
23-May-04,-16.187158
28-May-04,-16.0767
02-Jun-04,-15.879992
07-Jun-04,-15.751429
12-Jun-04,-15.630752
17-Jun-04,-15.397935
22-Jun-04,-15.319298
27-Jun-04,-15.603792
02-Jul-04,-15.60369
07-Jul-04,-15.785644
12-Jul-04,-15.567615
17-Jul-04,-15.821329
22-Jul-04,-16.148019
27-Jul-04,-16.327892
01-Aug-04,-16.705538
06-Aug-04,-16.805062
11-Aug-04,-16.734329
16-Aug-04,-16.738027
21-Aug-04,-16.786256
26-Aug-04,-16.674721
31-Aug-04,-16.681517
05-Sep-04,-16.694444
10-Sep-04,-16.489848
15-Sep-04,-16.166975
20-Sep-04,-16.184458
25-Sep-04,-16.252133
30-Sep-04,-16.156592
05-Oct-04,-16.267502
10-Oct-04,-16.639156
15-Oct-04,-16.664552
20-Oct-04,-16.704006
25-Oct-04,-16.712983
30-Oct-04,-16.657292
04-Nov-04,-16.327125
09-Nov-04,-15.263948
14-Nov-04,-14.574081
19-Nov-04,-14.051692
24-Nov-04,-13.621165
29-Nov-04,-13.281165
04-Dec-04,-13.491881
09-Dec-04,-13.382944
04-Mar-05,-14.80691
09-Mar-05,-14.770888
14-Mar-05,-14.717319
19-Mar-05,-14.7892
24-Mar-05,-14.659698
29-Mar-05,-14.749779
03-Apr-05,-14.709479
08-Apr-05,-14.571963
13-Apr-05,-14.576269
18-Apr-05,-14.405592
23-Apr-05,-14.348163
28-Apr-05,-14.349167
03-May-05,-14.310488
08-May-05,-14.427804
13-May-05,-14.620569
18-May-05,-14.611194
23-May-05,-14.534483
28-May-05,-14.633442
02-Jun-05,-14.605138
07-Jun-05,-14.642206
12-Jun-05,-14.583831
17-Jun-05,-14.643608
22-Jun-05,-14.595296
27-Jun-05,-14.742973
02-Jul-05,-14.610977
07-Jul-05,-14.631002
12-Jul-05,-14.732594
17-Jul-05,-14.563242
22-Jul-05,-14.459156
27-Jul-05,-14.152777
01-Aug-05,-13.535221
06-Aug-05,-13.300615
11-Aug-05,-13.178227
16-Aug-05,-13.12165
21-Aug-05,-13.414808
26-Aug-05,-13.527871
31-Aug-05,-13.628302
05-Sep-05,-13.670463
10-Sep-05,-13.724017
15-Sep-05,-13.661723
20-Sep-05,-13.908394
25-Sep-05,-14.248442
30-Sep-05,-13.988873
05-Oct-05,-13.812983
10-Oct-05,-13.409096
15-Oct-05,-13.172625
20-Oct-05,-12.840925
25-Oct-05,-12.63474
30-Oct-05,-12.340917
04-Nov-05,-12.438137
09-Nov-05,-12.675104
14-Nov-05,-12.653679
19-Nov-05,-12.514346
24-Nov-05,-11.7504
29-Nov-05,-11.448275
04-Dec-05,-10.269944
09-Dec-05,-9.88859
14-Dec-05,-9.925235
19-Dec-05,-10.059048
24-Dec-05,-10.61636
29-Dec-05,-11.067327
03-Jan-06,-11.63285
08-Jan-06,-11.770448
13-Jan-06,-11.801525
18-Jan-06,-11.88284
23-Jan-06,-12.156044
28-Jan-06,-12.176002
02-Feb-06,-12.103794
07-Feb-06,-11.903915
12-Feb-06,-11.954783
17-Feb-06,-11.809094
22-Feb-06,-11.941281
27-Feb-06,-11.614302
04-Mar-06,-11.632298
09-Mar-06,-11.713446
14-Mar-06,-11.8815
19-Mar-06,-11.743435
24-Mar-06,-11.669977
29-Mar-06,-11.487585
03-Apr-06,-11.565933
08-Apr-06,-11.504616
13-Apr-06,-11.132581
18-Apr-06,-10.855565
23-Apr-06,-10.988354
28-Apr-06,-11.17715
03-May-06,-11.243196
08-May-06,-11.288429
13-May-06,-11.211054
18-May-06,-11.155952
23-May-06,-11.082244
28-May-06,-11.082856
02-Jun-06,-11.246821
07-Jun-06,-11.00526
12-Jun-06,-10.77625
17-Jun-06,-10.951079
22-Jun-06,-10.917496
27-Jun-06,-10.85119
02-Jul-06,-10.331777
07-Jul-06,-9.911165
12-Jul-06,-9.796527
17-Jul-06,-9.708817
22-Jul-06,-9.401627
27-Jul-06,-9.298958
01-Aug-06,-9.139587
06-Aug-06,-9.103935
11-Aug-06,-9.47135
16-Aug-06,-9.792129
21-Aug-06,-9.906898
26-Aug-06,-9.989615
31-Aug-06,-9.866104
05-Sep-06,-10.024475
10-Sep-06,-10.184135
12-Sep-06,-10.186625
14-Sep-06,-10.142094
16-Sep-06,-10.17488
18-Sep-06,-10.107276
20-Sep-06,-10.067131
22-Sep-06,-10.04651
24-Sep-06,-10.099776
26-Sep-06,-10.071224
28-Sep-06,-9.855807
30-Sep-06,-9.848417
02-Oct-06,-9.749151
23-Nov-06,-10.368317
25-Nov-06,-10.403958
27-Nov-06,-10.486109
29-Nov-06,-10.47387
01-Dec-06,-10.542833
03-Dec-06,-10.789005
05-Dec-06,-10.94662
07-Dec-06,-11.245484
09-Dec-06,-11.398979
11-Dec-06,-11.355302
13-Dec-06,-10.778182
15-Dec-06,-9.863057
17-Dec-06,-10.162474
19-Dec-06,-10.311266
21-Dec-06,-10.300167
23-Dec-06,-10.372568
25-Dec-06,-10.432375
27-Dec-06,-10.38526
29-Dec-06,-10.32838
31-Dec-06,-10.143745
02-Jan-07,-10.233005
04-Jan-07,-10.657891
06-Jan-07,-11.064276
08-Jan-07,-11.239995
10-Jan-07,-11.46876
12-Jan-07,-11.421057
14-Jan-07,-11.759625
16-Jan-07,-11.805411
18-Jan-07,-11.744349
20-Jan-07,-11.591156
22-Jan-07,-11.534979
24-Jan-07,-11.488193
26-Jan-07,-11.350958
28-Jan-07,-11.238995
30-Jan-07,-11.15313
01-Feb-07,-11.019479
03-Feb-07,-10.762344
05-Feb-07,-10.29138
07-Feb-07,-10.125755
09-Feb-07,-10.291005
11-Feb-07,-10.5395
13-Feb-07,-10.518927
15-Feb-07,-10.599745
17-Feb-07,-10.51376
19-Feb-07,-10.63279
21-Feb-07,-10.58504
23-Feb-07,-10.64077
25-Feb-07,-10.56702
27-Feb-07,-10.89793
01-Mar-07,-10.78205
03-Mar-07,-11.1061
05-Mar-07,-11.35261
07-Mar-07,-11.30737
09-Mar-07,-11.24333
11-Mar-07,-11.05347
13-Mar-07,-10.95036
15-Mar-07,-10.86494
17-Mar-07,-10.72734
19-Mar-07,-10.51867
21-Mar-07,-10.79592
23-Mar-07,-10.99156
25-Mar-07,-10.87373
27-Mar-07,-10.87042
29-Mar-07,-11.10256
31-Mar-07,-11.30991
02-Apr-07,-11.45853
04-Apr-07,-11.48751
06-Apr-07,-11.57743
08-Apr-07,-11.59338
10-Apr-07,-11.63224
12-Apr-07,-11.83414
14-Apr-07,-11.90915
16-Apr-07,-11.89078
18-Apr-07,-11.63392
20-Apr-07,-11.67885
21-Apr-07,-11.87398
23-Apr-07,-11.95459
25-Apr-07,-12.06059
27-Apr-07,-12.42566
29-Apr-07,-12.65698
02-May-07,-12.81414
04-May-07,-13.01414
06-May-07,-13.01928
08-May-07,-12.98806
10-May-07,-12.82335
12-May-07,-12.75089
14-May-07,-12.66236
16-May-07,-12.5243
18-May-07,-12.30647
20-May-07,-12.17773
22-May-07,-12.11346
24-May-07,-11.98374
26-May-07,-11.76251
28-May-07,-11.36721
30-May-07,-11.03959
01-Jun-07,-10.62097
03-Jun-07,-10.66566
05-Jun-07,-10.70449
07-Jun-07,-10.64164
09-Jun-07,-10.7407
11-Jun-07,-10.83005
13-Jun-07,-10.78024
15-Jun-07,-10.76666
17-Jun-07,-10.82785
19-Jun-07,-10.94924
21-Jun-07,-10.9938
23-Jun-07,-10.99477
25-Jun-07,-10.9249
27-Jun-07,-10.91915
29-Jun-07,-10.93494
01-Jul-07,-10.97341
03-Jul-07,-11.00298
05-Jul-07,-11.16352
07-Jul-07,-11.25495
09-Jul-07,-11.24495
11-Jul-07,-11.03792
13-Jul-07,-10.98851
15-Jul-07,-11.11483
17-Jul-07,-11.18542
19-Jul-07,-11.28117
21-Jul-07,-11.24244
23-Jul-07,-11.1371
25-Jul-07,-11.01216
27-Jul-07,-10.81994
29-Jul-07,-10.66174
31-Jul-07,-10.47706
02-Aug-07,-10.34733
04-Aug-07,-10.38675
06-Aug-07,-10.33136
08-Aug-07,-10.32762
10-Aug-07,-10.19999
12-Aug-07,-10.10184
14-Aug-07,-9.96923
16-Aug-07,-9.74857
18-Aug-07,-9.66251
20-Aug-07,-9.51226
22-Aug-07,-9.48856
24-Aug-07,-9.52169
26-Aug-07,-9.55251
28-Aug-07,-9.55528
30-Aug-07,-9.60137
01-Sep-07,-9.68181
03-Sep-07,-9.7039
05-Sep-07,-9.69422
07-Sep-07,-9.62495
09-Sep-07,-9.61466
11-Sep-07,-9.55057
13-Sep-07,-9.6456
15-Sep-07,-9.9154
17-Sep-07,-10.08173
19-Sep-07,-10.32583
21-Sep-07,-10.35678
23-Sep-07,-10.43739
25-Sep-07,-10.43531
27-Sep-07,-10.5817
29-Sep-07,-10.60135
01-Oct-07,-10.69078
03-Oct-07,-10.65495
05-Oct-07,-10.58504
07-Oct-07,-10.46309
09-Oct-07,-10.40948
11-Oct-07,-10.29197
13-Oct-07,-10.12541
15-Oct-07,-9.8197
17-Oct-07,-9.6735
19-Oct-07,-9.71004
21-Oct-07,-9.54488
23-Oct-07,-9.45272
25-Oct-07,-9.57512
27-Oct-07,-9.61724
29-Oct-07,-9.63029
31-Oct-07,-9.5937
02-Nov-07,-9.11479
04-Nov-07,-9.41917
06-Nov-07,-9.48881
08-Nov-07,-9.42274
10-Nov-07,-9.67024
12-Nov-07,-9.74933
14-Nov-07,-9.86866
16-Nov-07,-9.96633
18-Nov-07,-9.95436
20-Nov-07,-9.97125
22-Nov-07,-9.80697
24-Nov-07,-9.88246
26-Nov-07,-9.99569
28-Nov-07,-10.0373
30-Nov-07,-9.95104
02-Dec-07,-9.90693
04-Dec-07,-10.03704
06-Dec-07,-9.66637
08-Dec-07,-9.75682
10-Dec-07,-9.94966
12-Dec-07,-10.41469
14-Dec-07,-10.58501
16-Dec-07,-10.81828
18-Dec-07,-10.99645
20-Dec-07,-11.07024
22-Dec-07,-10.87075
24-Dec-07,-10.8108
26-Dec-07,-10.9071
28-Dec-07,-10.90518
30-Dec-07,-10.17107
01-Jan-08,-9.96299
02-Jan-08,-9.96992
04-Jan-08,-10.27647
06-Jan-08,-10.50008
08-Jan-08,-10.5173
10-Jan-08,-10.66267
12-Jan-08,-10.7437
14-Jan-08,-11.0783
16-Jan-08,-11.02085
18-Jan-08,-10.95784
20-Jan-08,-10.82107
22-Jan-08,-10.61383
24-Jan-08,-10.56531
26-Jan-08,-10.36999
28-Jan-08,-10.34753
30-Jan-08,-10.32614
01-Feb-08,-10.38216
03-Feb-08,-9.86889
05-Feb-08,-10.23154
07-Feb-08,-10.63301
09-Feb-08,-10.87601
11-Feb-08,-11.07328
13-Feb-08,-11.13464
15-Feb-08,-10.90577
17-Feb-08,-11.16104
19-Feb-08,-11.23503
21-Feb-08,-11.24832
23-Feb-08,-11.16178
25-Feb-08,-11.44094
27-Feb-08,-11.44451
29-Feb-08,-11.44257
02-Mar-08,-11.10796
04-Mar-08,-11.06527
06-Mar-08,-11.14181
08-Mar-08,-11.06972
10-Mar-08,-11.00202
12-Mar-08,-11.09078
14-Mar-08,-11.33189
16-Mar-08,-11.51501
18-Mar-08,-11.57381
20-Mar-08,-11.54525
22-Mar-08,-11.33435
24-Mar-08,-11.65762
26-Mar-08,-11.69198
28-Mar-08,-11.92502
30-Mar-08,-11.99222
01-Apr-08,-12.09576
03-Apr-08,-12.14422
05-Apr-08,-12.16947
07-Apr-08,-12.07991
09-Apr-08,-12.21447
11-Apr-08,-12.18585
13-Apr-08,-12.26022
15-Apr-08,-12.38444
17-Apr-08,-12.42584
19-Apr-08,-12.34513
21-Apr-08,-12.40028
23-Apr-08,-12.33551
25-Apr-08,-12.11035
27-Apr-08,-11.94361
29-Apr-08,-11.77658
01-May-08,-11.67199
03-May-08,-11.68177
05-May-08,-11.6091
07-May-08,-11.58439
09-May-08,-11.49278
11-May-08,-11.4417
13-May-08,-11.38903
15-May-08,-11.30907
17-May-08,-11.17181
19-May-08,-11.09322
21-May-08,-11.00695
23-May-08,-10.9537
25-May-08,-10.94842
27-May-08,-10.97426
29-May-08,-11.12741
31-May-08,-11.35039
02-Jun-08,-11.42618
04-Jun-08,-11.48616
06-Jun-08,-11.61822
08-Jun-08,-11.74077
10-Jun-08,-11.85038
12-Jun-08,-11.64373
14-Jun-08,-11.38879
16-Jun-08,-11.10378
18-Jun-08,-10.93427
20-Jun-08,-10.79133
22-Jun-08,-10.74644
24-Jun-08,-10.59828
26-Jun-08,-10.21658
28-Jun-08,-10.27954
30-Jun-08,-10.58439
02-Jul-08,-10.70483
04-Jul-08,-10.34336
06-Jul-08,-10.23764
08-Jul-08,-10.18297
10-Jul-08,-10.46073
12-Jul-08,-10.40486
14-Jul-08,-10.41601
16-Jul-08,-10.44124
18-Jul-08,-10.32614
20-Jul-08,-10.52202
22-Jul-08,-10.78228
24-Jul-08,-11.04862
26-Jul-08,-11.18786
28-Jul-08,-11.29833
30-Jul-08,-11.03365
02-Aug-08,-11.21202
04-Aug-08,-11.36239
06-Aug-08,-11.53328
08-Aug-08,-11.61626
10-Aug-08,-11.61212
12-Aug-08,-11.5526
14-Aug-08,-11.69255
16-Aug-08,-11.77323
18-Aug-08,-11.72002
20-Aug-08,-11.77523
22-Aug-08,-11.90198
24-Aug-08,-11.95253
26-Aug-08,-11.95915
28-Aug-08,-11.87366
30-Aug-08,-11.44047
01-Sep-08,-11.34389
03-Sep-08,-11.25372
05-Sep-08,-11.21456
07-Sep-08,-11.16302
09-Sep-08,-11.18353
11-Sep-08,-11.05353
13-Sep-08,-10.87505
15-Sep-08,-10.96773
17-Sep-08,-10.86418
19-Sep-08,-10.93859
21-Sep-08,-11.05625
23-Sep-08,-10.79708
25-Sep-08,-10.39751
27-Sep-08,-10.07657
29-Sep-08,-9.79442
01-Oct-08,-9.43865
03-Oct-08,-9.43147
05-Oct-08,-9.64923
07-Oct-08,-9.76555
09-Oct-08,-9.7411
11-Oct-08,-9.57657
13-Oct-08,-9.54105
15-Oct-08,-9.66825
17-Oct-08,-9.7697
19-Oct-08,-9.87065
21-Oct-08,-9.64096
23-Oct-08,-9.50083
25-Oct-08,-9.24062
27-Oct-08,-9.06641
29-Oct-08,-9.03889
31-Oct-08,-9.05141
02-Nov-08,-9.0561
04-Nov-08,-8.94763
06-Nov-08,-8.90132
08-Nov-08,-9.04253
10-Nov-08,-8.75729
12-Nov-08,-8.78143
14-Nov-08,-8.86658
16-Nov-08,-8.85244
18-Nov-08,-8.9429
20-Nov-08,-9.06356
22-Nov-08,-9.23255
24-Nov-08,-9.37267
26-Nov-08,-9.48309
28-Nov-08,-9.12407
30-Nov-08,-8.74784
02-Dec-08,-9.05778
04-Dec-08,-9.88424
06-Dec-08,-10.38641
08-Dec-08,-10.7216
10-Dec-08,-11.02597
12-Dec-08,-11.73066
14-Dec-08,-11.50954
16-Dec-08,-11.86524
18-Dec-08,-12.28864
20-Dec-08,-12.10604
22-Dec-08,-12.05588
24-Dec-08,-11.60667
26-Dec-08,-11.17495
28-Dec-08,-10.8648
30-Dec-08,-10.55402
01-Jan-09,-10.32846
02-Jan-09,-10.39565
03-Jan-09,-10.33627
04-Jan-09,-10.23415
05-Jan-09,-9.98167
06-Jan-09,-9.91065
07-Jan-09,-10.10154
08-Jan-09,-10.10531
09-Jan-09,-10.10377
10-Jan-09,-10.02383
11-Jan-09,-10.47213
12-Jan-09,-10.10267
13-Jan-09,-9.85848
14-Jan-09,-10.349
15-Jan-09,-10.98542
16-Jan-09,-11.41492
17-Jan-09,-11.94483
18-Jan-09,-11.89879
19-Jan-09,-12.24892
20-Jan-09,-12.75606
21-Jan-09,-13.34985
22-Jan-09,-13.42752
23-Jan-09,-13.29154
24-Jan-09,-13.27546
25-Jan-09,-13.46585
26-Jan-09,-12.9365
27-Jan-09,-12.81992
28-Jan-09,-13.28319
29-Jan-09,-13.61898
30-Jan-09,-13.7354
31-Jan-09,-13.90087
01-Feb-09,-13.58621
02-Feb-09,-14.16465
03-Feb-09,-14.05621
04-Feb-09,-13.57512
05-Feb-09,-13.002
06-Feb-09,-12.79219
07-Feb-09,-12.42215
