Date,Horden
12-Dec-94,-131.19
12-Dec-94,-131.19
23-Jan-95,-131.19
13-Feb-95,-129.69
13-Mar-95,-224.69
26-Apr-95,-223.69
30-May-95,-221.44
28-Jun-95,-219.19
24-Jul-95,-216.89
08-Aug-95,-175.79
22-Sep-95,-175.69
08-Jul-96,-260.19
17-Oct-96,-251.69
14-Nov-96,-244.69
07-Jan-97,-237.59
15-Jan-97,-234.19
01-Feb-97,-229.79
01-Mar-97,-223.44
01-Apr-97,-216.69
01-May-97,-211.24
20-Jun-97,-205.89
16-Jul-97,-201.69
04-Aug-97,-200.59
01-Sep-97,-196.39
01-Oct-97,-192.99
03-Oct-97,-192.99
11-Nov-97,-187.09
08-Dec-97,-183.49
14-Jan-98,-177.99
10-Feb-98,-174.49
06-Mar-98,-170.09
15-Apr-98,-164.69
13-May-98,-160.99
26-Jun-98,-151.29
20-Jul-98,-146.29
27-Aug-98,-141.49
18-Sep-98,-138.09
08-Oct-98,-135.79
23-Nov-98,-130.09
08-Dec-98,-128.79
18-Jan-99,-124.49
18-Feb-99,-119.69
12-Mar-99,-119.09
20-Apr-99,-115.69
25-May-99,-111.49
18-Jun-99,-109.99
19-Jul-99,-107.34
20-Aug-99,-103.89
20-Sep-99,-101.5
06-Oct-99,-100.39
17-Nov-99,-97.34
08-Dec-99,-95.39
11-Jan-00,-94.04
15-Feb-00,-90.89
21-Mar-00,-90.89
20-Apr-00,-88.29
20-May-00,-84.69
04-Jun-00,-86.39
09-Jul-00,-80.04
12-Sep-00,-77.24
07-Oct-00,-73.89
06-Nov-00,-71.11
31-Dec-00,-66.59
04-Feb-01,-62.39
06-Mar-01,-60.79
05-Apr-01,-58.29
20-May-01,-55.79
14-Jun-01,-53.69
09-Jul-01,-53.59
24-Jul-01,-52.01
29-Jul-01,-51.69
03-Aug-01,-51.33
08-Aug-01,-51.04
13-Aug-01,-50.77
18-Aug-01,-50.46
23-Aug-01,-50.27
28-Aug-01,-49.99
02-Sep-01,-49.68
07-Sep-01,-49.44
12-Sep-01,-49.20
17-Sep-01,-48.93
22-Sep-01,-48.75
27-Sep-01,-48.42
02-Oct-01,-48.02
07-Oct-01,-47.84
12-Oct-01,-47.61
17-Oct-01,-47.31
22-Oct-01,-47.06
27-Oct-01,-46.74
01-Nov-01,-46.59
06-Nov-01,-46.15
11-Nov-01,-46.10
16-Nov-01,-45.89
21-Nov-01,-45.54
26-Nov-01,-45.22
01-Dec-01,-44.96
06-Dec-01,-44.78
11-Dec-01,-44.59
16-Dec-01,-44.31
21-Dec-01,-43.90
26-Dec-01,-43.35
10-Jan-02,-43.10
15-Jan-02,-42.73
20-Jan-02,-42.44
25-Jan-02,-42.15
30-Jan-02,-41.87
04-Feb-02,-41.60
09-Feb-02,-41.34
14-Feb-02,-41.28
19-Feb-02,-40.99
24-Feb-02,-40.58
01-Mar-02,-40.43
06-Mar-02,-40.17
11-Mar-02,-39.87
16-Mar-02,-39.70
21-Mar-02,-39.47
26-Mar-02,-39.23
31-Mar-02,-38.91
05-Apr-02,-38.71
10-Apr-02,-38.43
15-Apr-02,-38.22
25-May-02,-36.18
30-May-02,-36.06
04-Jun-02,-35.78
09-Jun-02,-35.51
14-Jun-02,-35.29
19-Jun-02,-35.06
24-Jun-02,-34.85
29-Jun-02,-34.62
04-Jul-02,-34.38
09-Jul-02,-34.10
14-Jul-02,-34.01
19-Jul-02,-33.73
24-Jul-02,-33.42
29-Jul-02,-33.28
03-Aug-02,-33.01
08-Aug-02,-32.72
13-Aug-02,-32.53
18-Aug-02,-32.27
23-Aug-02,-32.09
28-Aug-02,-31.88
02-Sep-02,-31.66
07-Sep-02,-31.36
12-Sep-02,-31.27
17-Sep-02,-30.94
22-Sep-02,-30.73
27-Sep-02,-30.55
02-Oct-02,-30.31
07-Oct-02,-30.11
12-Oct-02,-29.96
17-Oct-02,-29.59
22-Oct-02,-29.32
27-Oct-02,-29.15
01-Nov-02,-29.07
06-Nov-02,-28.78
11-Nov-02,-28.57
16-Nov-02,-28.41
21-Nov-02,-28.27
26-Nov-02,-28.06
01-Dec-02,-27.94
06-Dec-02,-27.83
11-Dec-02,-27.67
16-Dec-02,-27.42
20-Jan-03,-25.81
25-Jan-03,-25.82
30-Jan-03,-25.51
04-Feb-03,-25.32
09-Feb-03,-25.18
14-Feb-03,-25.10
19-Feb-03,-24.81
24-Feb-03,-24.63
01-Mar-03,-24.38
06-Mar-03,-24.13
11-Mar-03,-23.96
16-Mar-03,-23.92
21-Mar-03,-23.63
26-Mar-03,-23.40
31-Mar-03,-23.10
05-Apr-03,-23.10
10-Apr-03,-22.82
15-Apr-03,-22.66
20-Apr-03,-22.44
25-Apr-03,-22.17
30-Apr-03,-21.89
05-May-03,-21.80
10-May-03,-21.63
15-May-03,-21.42
20-May-03,-21.20
25-May-03,-21.07
30-May-03,-20.85
04-Jun-03,-20.64
09-Jun-03,-20.48
14-Jun-03,-20.30
19-Jun-03,-20.12
24-Jun-03,-19.97
29-Jun-03,-19.70
04-Jul-03,-19.59
09-Jul-03,-19.43
14-Jul-03,-19.21
19-Jul-03,-19.07
24-Jul-03,-18.84
29-Jul-03,-18.67
03-Aug-03,-18.57
08-Aug-03,-18.38
13-Aug-03,-18.16
18-Aug-03,-18.02
23-Aug-03,-17.80
28-Aug-03,-17.62
02-Sep-03,-17.57
07-Sep-03,-17.29
12-Sep-03,-17.19
17-Sep-03,-17.02
22-Sep-03,-16.80
27-Sep-03,-16.65
02-Oct-03,-16.46
07-Oct-03,-16.24
12-Oct-03,-16.24
17-Oct-03,-16.12
22-Oct-03,-15.90
27-Oct-03,-15.66
01-Nov-03,-15.44
06-Nov-03,-15.51
11-Nov-03,-15.41
16-Nov-03,-15.28
21-Nov-03,-15.08
26-Nov-03,-14.96
01-Dec-03,-14.86
06-Dec-03,-14.75
11-Dec-03,-14.46
16-Dec-03,-14.36
21-Dec-03,-15.00
26-Dec-03,-15.71
31-Dec-03,-16.07
05-Jan-04,-15.97
10-Jan-04,-16.22
15-Jan-04,-16.50
20-Jan-04,-16.69
25-Jan-04,-16.82
30-Jan-04,-16.07
04-Feb-04,-14.98
09-Feb-04,-14.51
14-Feb-04,-14.17
19-Feb-04,-13.77
24-Feb-04,-13.35
29-Feb-04,-13.27
05-Mar-04,-13.04
10-Mar-04,-12.90
15-Mar-04,-12.62
20-Mar-04,-12.37
25-Mar-04,-12.40
30-Mar-04,-12.22
04-Apr-04,-11.95
09-Apr-04,-11.88
14-Apr-04,-11.72
19-Apr-04,-11.42
24-Apr-04,-11.39
29-Apr-04,-11.28
04-May-04,-10.97
09-May-04,-10.91
14-May-04,-10.88
19-May-04,-10.65
24-May-04,-10.59
29-May-04,-10.45
03-Jun-04,-10.22
08-Jun-04,-10.13
13-Jun-04,-9.98
18-Jun-04,-9.77
23-Jun-04,-9.81
28-Jun-04,-10.11
03-Jul-04,-10.26
08-Jul-04,-10.34
13-Jul-04,-10.26
18-Jul-04,-10.90
23-Jul-04,-11.30
28-Jul-04,-11.77
02-Aug-04,-12.27
07-Aug-04,-12.44
12-Aug-04,-12.55
17-Aug-04,-12.75
22-Aug-04,-12.94
27-Aug-04,-12.90
01-Sep-04,-13.06
06-Sep-04,-12.99
11-Sep-04,-12.79
16-Sep-04,-12.53
21-Sep-04,-12.72
26-Sep-04,-12.89
01-Oct-04,-12.63
06-Oct-04,-13.36
11-Oct-04,-13.90
16-Oct-04,-14.06
21-Oct-04,-14.21
26-Oct-04,-14.39
31-Oct-04,-14.14
05-Nov-04,-13.35
10-Nov-04,-11.41
15-Nov-04,-10.33
20-Nov-04,-9.56
25-Nov-04,-8.93
30-Nov-04,-8.58
05-Dec-04,-9.50
10-Dec-04,-10.62
15-Dec-04,-10.77
20-Dec-04,-11.73
25-Dec-04,-12.08
30-Dec-04,-12.37
04-Jan-05,-12.54
09-Jan-05,-12.68
14-Jan-05,-12.73
19-Jan-05,-12.79
24-Jan-05,-13.18
29-Jan-05,-13.40
03-Feb-05,-13.57
08-Feb-05,-13.64
13-Feb-05,-13.74
18-Feb-05,-13.80
23-Feb-05,-13.89
28-Feb-05,-14.08
05-Mar-05,-14.11
10-Mar-05,-14.08
15-Mar-05,-14.09
20-Mar-05,-14.17
25-Mar-05,-14.18
30-Mar-05,-14.30
04-Apr-05,-14.18
09-Apr-05,-14.11
14-Apr-05,-14.09
19-Apr-05,-14.06
24-Apr-05,-14.11
29-Apr-05,-14.10
04-May-05,-14.12
09-May-05,-14.43
14-May-05,-14.55
19-May-05,-14.58
24-May-05,-14.58
29-May-05,-14.73
03-Jun-05,-14.66
08-Jun-05,-14.80
13-Jun-05,-14.72
18-Jun-05,-14.89
23-Jun-05,-14.97
28-Jun-05,-15.09
03-Jul-05,-14.98
08-Jul-05,-15.14
13-Jul-05,-15.18
18-Jul-05,-14.99
23-Jul-05,-15.01
28-Jul-05,-14.07
02-Aug-05,-13.32
07-Aug-05,-13.26
12-Aug-05,-13.10
17-Aug-05,-13.31
22-Aug-05,-13.92
27-Aug-05,-14.10
01-Sep-05,-14.26
06-Sep-05,-14.34
11-Sep-05,-14.42
16-Sep-05,-14.38
21-Sep-05,-14.49
26-Sep-05,-14.37
01-Oct-05,-13.90
06-Oct-05,-13.57
11-Oct-05,-13.13
20-Nov-05,-11.86
25-Nov-05,-11.90
30-Nov-05,-10.69
05-Dec-05,-8.72
10-Dec-05,-8.64
15-Dec-05,-8.90
20-Dec-05,-9.50
25-Dec-05,-10.93
30-Dec-05,-11.45
04-Jan-06,-12.32
09-Jan-06,-12.51
14-Jan-06,-12.76
19-Jan-06,-12.96
24-Jan-06,-13.21
29-Jan-06,-13.24
03-Feb-06,-13.15
08-Feb-06,-12.95
13-Feb-06,-12.92
18-Feb-06,-13.02
23-Feb-06,-12.96
28-Feb-06,-12.52
05-Mar-06,-12.72
10-Mar-06,-12.97
15-Mar-06,-13.09
20-Mar-06,-13.01
25-Mar-06,-12.87
30-Mar-06,-12.75
04-Apr-06,-12.83
09-Apr-06,-12.74
14-Apr-06,-11.85
19-Apr-06,-11.56
24-Apr-06,-12.20
29-Apr-06,-12.49
04-May-06,-12.63
09-May-06,-12.63
14-May-06,-12.62
19-May-06,-12.55
24-May-06,-12.59
29-May-06,-12.63
03-Jun-06,-12.74
08-Jun-06,-12.17
13-Jun-06,-12.21
18-Jun-06,-12.46
23-Jun-06,-12.53
28-Jun-06,-12.02
03-Jul-06,-10.96
08-Jul-06,-10.48
13-Jul-06,-10.34
18-Jul-06,-10.12
23-Jul-06,-9.83
28-Jul-06,-9.73
02-Aug-06,-9.60
07-Aug-06,-9.85
12-Aug-06,-10.92
17-Aug-06,-11.38
22-Aug-06,-11.64
27-Aug-06,-11.53
01-Sep-06,-11.58
06-Sep-06,-11.86
11-Sep-06,-12.01
14-Sep-06,-12.01
19-Sep-06,-11.95
24-Sep-06,-11.89
29-Sep-06,-11.49
04-Oct-06,-11.42
09-Oct-06,-11.28
14-Oct-06,-11.85
19-Oct-06,-12.28
24-Oct-06,-12.49
29-Oct-06,-12.73
03-Nov-06,-13.10
06-Nov-06,-12.51
08-Nov-06,-13.17
10-Nov-06,-13.17
12-Nov-06,-12.98
14-Nov-06,-12.83
16-Nov-06,-13.15
18-Nov-06,-13.40
20-Nov-06,-13.50
22-Nov-06,-13.39
24-Nov-06,-13.41
26-Nov-06,-13.51
28-Nov-06,-13.50
30-Nov-06,-13.50
02-Dec-06,-14.03
04-Dec-06,-14.59
06-Dec-06,-14.84
08-Dec-06,-15.02
10-Dec-06,-15.29
14-Dec-06,-14.42
03-Jan-07,-13.70
05-Jan-07,-14.18
07-Jan-07,-14.69
11-Jan-07,-14.88
13-Jan-07,-15.13
15-Jan-07,-15.49
17-Jan-07,-14.91
19-Jan-07,-14.70
21-Jan-07,-14.36
23-Jan-07,-14.02
25-Jan-07,-13.42
27-Jan-07,-13.74
29-Jan-07,-14.04
02-Mar-07,-14.05
04-Mar-07,-14.56
06-Mar-07,-14.60
08-Mar-07,-13.79
10-Mar-07,-13.89
12-Mar-07,-12.99
14-Mar-07,-12.95
16-Mar-07,-12.82
18-Mar-07,-13.01
20-Mar-07,-12.28
22-Mar-07,-13.72
24-Mar-07,-13.79
26-Mar-07,-13.37
28-Mar-07,-14.30
30-Mar-07,-14.38
01-Apr-07,-14.79
03-Apr-07,-14.92
05-Apr-07,-14.98
07-Apr-07,-15.08
09-Apr-07,-14.97
11-Apr-07,-15.19
13-Apr-07,-15.31
15-Apr-07,-15.34
17-Apr-07,-15.02
19-Apr-07,-14.66
21-Apr-07,-15.45
23-Apr-07,-15.51
25-Apr-07,-15.61
27-Apr-07,-16.25
29-Apr-07,-16.50
01-May-07,-16.61
03-May-07,-16.97
05-May-07,-17.02
07-May-07,-16.81
09-May-07,-16.17
11-May-07,-16.10
13-May-07,-15.91
15-May-07,-15.77
17-May-07,-15.28
19-May-07,-15.05
21-May-07,-14.89
23-May-07,-14.71
25-May-07,-14.59
27-May-07,-13.90
29-May-07,-13.18
31-May-07,-12.59
02-Jun-07,-12.10
04-Jun-07,-12.57
06-Jun-07,-12.52
08-Jun-07,-12.65
10-Jun-07,-13.09
12-Jun-07,-13.18
14-Jun-07,-13.27
16-Jun-07,-13.34
18-Jun-07,-13.49
20-Jun-07,-13.63
22-Jun-07,-13.65
24-Jun-07,-13.66
26-Jun-07,-13.57
28-Jun-07,-13.66
30-Jun-07,-13.72
02-Jul-07,-13.76
04-Jul-07,-13.96
06-Jul-07,-14.11
08-Jul-07,-14.17
10-Jul-07,-13.79
12-Jul-07,-13.68
14-Jul-07,-13.98
16-Jul-07,-14.09
18-Jul-07,-14.12
20-Jul-07,-14.16
22-Jul-07,-14.03
24-Jul-07,-13.80
26-Jul-07,-13.54
28-Jul-07,-13.23
30-Jul-07,-12.69
01-Aug-07,-12.48
03-Aug-07,-12.69
05-Aug-07,-12.56
07-Aug-07,-12.55
09-Aug-07,-12.44
11-Aug-07,-12.43
13-Aug-07,-12.22
15-Aug-07,-11.73
17-Aug-07,-11.39
19-Aug-07,-11.10
21-Aug-07,-11.01
23-Aug-07,-11.44
25-Aug-07,-11.54
27-Aug-07,-11.63
29-Aug-07,-11.76
31-Aug-07,-11.97
02-Sep-07,-12.04
04-Sep-07,-11.96
06-Sep-07,-11.72
08-Sep-07,-12.03
10-Sep-07,-11.89
12-Sep-07,-11.89
14-Sep-07,-12.61
16-Sep-07,-13.03
18-Sep-07,-13.31
20-Sep-07,-13.40
22-Sep-07,-13.51
24-Sep-07,-13.41
26-Sep-07,-13.22
28-Sep-07,-12.43
30-Sep-07,-13.07
02-Oct-07,-13.65
22-Nov-07,-14.39
04-Dec-07,-12.74
06-Dec-07,-13.49
08-Dec-07,-13.64
12-Dec-07,-14.53
14-Dec-07,-15.20
16-Dec-07,-15.44
18-Dec-07,-15.74
20-Dec-07,-15.77
22-Dec-07,-15.01
24-Dec-07,-14.26
26-Dec-07,-14.32
14-May-08,-16.22
16-May-08,-15.99
18-May-08,-15.84
20-May-08,-16.36
22-May-08,-16.50
24-May-08,-16.44
26-May-08,-16.39
28-May-08,-16.96
30-May-08,-17.28
01-Jun-08,-17.16
03-Jun-08,-17.56
05-Jun-08,-18.42
07-Jun-08,-18.00
09-Jun-08,-18.08
11-Jun-08,-17.54
13-Jun-08,-17.19
15-Jun-08,-16.74
17-Jun-08,-16.65
19-Jun-08,-16.55
21-Jun-08,-16.59
23-Jun-08,-16.04
25-Jun-08,-14.83
27-Jun-08,-16.73
29-Jun-08,-17.04
01-Jul-08,-17.27
03-Jul-08,-16.33
05-Jul-08,-16.24
07-Jul-08,-16.40
09-Jul-08,-17.35
11-Jul-08,-17.74
13-Jul-08,-17.70
15-Jul-08,-17.68
17-Jul-08,-17.62
19-Jul-08,-18.30
21-Jul-08,-18.53
23-Jul-08,-18.83
25-Jul-08,-19.07
27-Jul-08,-19.18
29-Jul-08,-18.34
31-Jul-08,-18.95
02-Aug-08,-19.22
04-Aug-08,-19.41
06-Aug-08,-19.56
08-Aug-08,-19.63
10-Aug-08,-19.63
12-Aug-08,-19.50
14-Aug-08,-19.71
16-Aug-08,-19.83
18-Aug-08,-19.83
20-Aug-08,-19.89
22-Aug-08,-20.03
24-Aug-08,-20.05
26-Aug-08,-20.01
11-Sep-08,-16.64
13-Sep-08,-16.93
15-Sep-08,-17.05
17-Sep-08,-16.96
19-Sep-08,-17.21
21-Sep-08,-17.33
23-Sep-08,-16.24
25-Sep-08,-15.74
27-Sep-08,-15.57
29-Sep-08,-15.29
01-Oct-08,-14.75
03-Oct-08,-14.94
05-Oct-08,-15.76
07-Oct-08,-15.44
09-Oct-08,-15.41
11-Oct-08,-15.34
13-Oct-08,-15.44
15-Oct-08,-15.85
17-Oct-08,-16.30
19-Oct-08,-16.47
21-Oct-08,-15.61
23-Oct-08,-15.41
25-Oct-08,-15.16
27-Oct-08,-14.99
29-Oct-08,-14.95
31-Oct-08,-14.81
02-Nov-08,-14.63
04-Nov-08,-14.26
06-Nov-08,-14.61
08-Nov-08,-14.68
10-Nov-08,-14.31
12-Nov-08,-14.21
14-Nov-08,-14.29
16-Nov-08,-14.30
18-Nov-08,-14.47
20-Nov-08,-14.44
22-Nov-08,-14.45
24-Nov-08,-14.25
26-Nov-08,-14.00
28-Nov-08,-13.42
30-Nov-08,-13.00
02-Dec-08,-13.91
04-Dec-08,-15.03
06-Dec-08,-15.12
08-Dec-08,-15.53
10-Dec-08,-16.12
12-Dec-08,-17.22
14-Dec-08,-16.53
16-Dec-08,-16.93
18-Dec-08,-17.60
20-Dec-08,-17.69
22-Dec-08,-17.46
24-Dec-08,-16.91
26-Dec-08,-16.28
28-Dec-08,-15.94
30-Dec-08,-15.60
01-Jan-09,-15.26
02-Jan-09,-15.16
03-Jan-09,-15.05
04-Jan-09,-14.94
05-Jan-09,-14.52
06-Jan-09,-14.62
07-Jan-09,-15.22
08-Jan-09,-15.48
09-Jan-09,-15.93
10-Jan-09,-15.09
11-Jan-09,-14.50
12-Jan-09,-13.89
13-Jan-09,-14.07
14-Jan-09,-14.84
15-Jan-09,-15.90
16-Jan-09,-16.19
17-Jan-09,-16.73
18-Jan-09,-16.91
19-Jan-09,-17.39
20-Jan-09,-17.63
21-Jan-09,-18.14
22-Jan-09,-18.34
23-Jan-09,-18.34
24-Jan-09,-18.49
25-Jan-09,-18.50
26-Jan-09,-17.46
27-Jan-09,-17.31
28-Jan-09,-18.23
29-Jan-09,-18.87
30-Jan-09,-18.57
31-Jan-09,-18.66
01-Feb-09,-18.73
02-Feb-09,-18.62
03-Feb-09,-18.43
04-Feb-09,-18.06
05-Feb-09,-17.77
06-Feb-09,-17.54
07-Feb-09,-17.29
08-Feb-09,-17.14
09-Feb-09,-16.90
10-Feb-09,-16.68
11-Feb-09,-16.60
12-Feb-09,-16.58
13-Feb-09,-16.50
14-Feb-09,-16.40
15-Feb-09,-16.28
16-Feb-09,-15.44
17-Feb-09,-15.33
18-Feb-09,-15.61
19-Feb-09,-15.52
20-Feb-09,-15.47
21-Feb-09,-15.35
22-Feb-09,-15.30
23-Feb-09,-15.31
24-Feb-09,-15.23
25-Feb-09,-15.12
26-Feb-09,-15.11
27-Feb-09,-15.09
28-Feb-09,-15.04
01-Mar-09,-14.94
02-Mar-09,-14.70
03-Mar-09,-15.08
04-Mar-09,-15.57
05-Mar-09,-15.87
06-Mar-09,-16.07
07-Mar-09,-16.28
08-Mar-09,-16.25
09-Mar-09,-16.37
10-Mar-09,-16.47
11-Mar-09,-16.71
12-Mar-09,-16.69
13-Mar-09,-16.91
14-Mar-09,-16.82
15-Mar-09,-16.97
16-Mar-09,-17.04
17-Mar-09,-17.18
18-Mar-09,-17.08
19-Mar-09,-16.69
20-Mar-09,-16.59
21-Mar-09,-16.87
22-Mar-09,-16.94
23-Mar-09,-16.48
24-Mar-09,-16.93
25-Mar-09,-16.87
26-Mar-09,-16.91
27-Mar-09,-16.93
28-Mar-09,-16.91
29-Mar-09,-17.23
30-Mar-09,-17.37
31-Mar-09,-17.57
01-Apr-09,-17.67
02-Apr-09,-17.13
03-Apr-09,-17.45
04-Apr-09,-18.03
05-Apr-09,-18.32
06-Apr-09,-18.49
07-Apr-09,-18.50
08-Apr-09,-17.87
09-Apr-09,-17.44
10-Apr-09,-17.38
11-Apr-09,-17.25
12-Apr-09,-17.33
13-Apr-09,-16.80
14-Apr-09,-16.65
15-Apr-09,-17.70
16-Apr-09,-18.19
17-Apr-09,-18.23
18-Apr-09,-17.76
19-Apr-09,-17.25
20-Apr-09,-17.16
21-Apr-09,-17.15
22-Apr-09,-17.30
23-Apr-09,-17.22
24-Apr-09,-17.24
25-Apr-09,-17.22
26-Apr-09,-17.25
27-Apr-09,-17.10
28-Apr-09,-17.45
29-Apr-09,-18.29
30-Apr-09,-18.84
01-May-09,-18.97
02-May-09,-19.44
03-May-09,-19.68
04-May-09,-18.62
05-May-09,-17.94
06-May-09,-18.07
07-May-09,-18.22
08-May-09,-18.38
09-May-09,-18.42
10-May-09,-18.53
11-May-09,-18.79
12-May-09,-18.71
13-May-09,-18.73
14-May-09,-18.66
15-May-09,-18.57
16-May-09,-18.35
17-May-09,-18.10
18-May-09,-18.22
19-May-09,-18.76
20-May-09,-18.25
21-May-09,-18.40
22-May-09,-18.75
23-May-09,-18.84
24-May-09,-18.89
25-May-09,-18.93
26-May-09,-18.87
27-May-09,-18.94
28-May-09,-18.99
29-May-09,-19.11
30-May-09,-19.13
31-May-09,-19.14
01-Jun-09,-19.13
02-Jun-09,-19.16
03-Jun-09,-19.24
04-Jun-09,-19.30
05-Jun-09,-19.33
06-Jun-09,-19.33
07-Jun-09,-19.39
08-Jun-09,-19.49
09-Jun-09,-19.57
10-Jun-09,-19.65
11-Jun-09,-19.70
12-Jun-09,-19.85
13-Jun-09,-20.02
14-Jun-09,-20.11
15-Jun-09,-20.16
16-Jun-09,-20.25
17-Jun-09,-20.32
18-Jun-09,-20.47
19-Jun-09,-20.66
20-Jun-09,-20.93
21-Jun-09,-21.21
22-Jun-09,-21.47
23-Jun-09,-21.68
24-Jun-09,-21.86
25-Jun-09,-21.91
26-Jun-09,-21.95
27-Jun-09,-22.02
28-Jun-09,-22.10
29-Jun-09,-22.13
30-Jun-09,-20.36
01-Jul-09,-18.77
02-Jul-09,-17.58
03-Jul-09,-16.40
04-Jul-09,-15.43
05-Jul-09,-14.65
06-Jul-09,-16.04
07-Jul-09,-16.72
08-Jul-09,-16.62
09-Jul-09,-16.55
10-Jul-09,-16.61
11-Jul-09,-16.70
12-Jul-09,-16.57
13-Jul-09,-16.47
14-Jul-09,-16.37
15-Jul-09,-16.15
16-Jul-09,-16.04
