Date,Sherburn_Hill
12-Nov-94,-34.08
10-Dec-94,-33.38
14-Jan-95,-34.48
11-Feb-95,-37.38
11-Mar-95,-35.78
25-Mar-95,-36.48
29-Apr-95,-36.88
13-May-95,-29.58
27-May-95,-39.38
17-Jun-95,-37.68
08-Jul-95,-36.68
15-Jul-95,-29.88
05-Aug-95,-31.78
02-Sep-95,-32.08
09-Sep-95,-34.68
23-Sep-95,-39.08
07-Oct-95,-35.38
21-Oct-95,-38.18
11-Nov-95,-41.38
02-Dec-95,-41.38
23-Dec-95,-40.88
30-Dec-95,-32.28
06-Jan-96,-36.38
27-Jan-96,-34.78
10-Feb-96,-35.88
02-Mar-96,-37.38
09-Mar-96,-37.18
16-Mar-96,-32.68
06-Apr-96,-34.68
13-Apr-96,-35.58
04-May-96,-33.98
25-May-96,-35.88
15-Jun-96,-34.38
29-Jun-96,-38.58
20-Jul-96,-38.08
17-Aug-96,-45.08
07-Sep-96,-41.38
28-Sep-96,-44.78
19-Oct-96,-41.78
02-Nov-96,-41.38
16-Nov-96,-35.68
07-Dec-96,-41.68
28-Dec-96,-43.38
04-Jan-97,-43.68
11-Jan-97,-43.18
18-Jan-97,-42.58
25-Jan-97,-43.08
01-Feb-97,-43.28
08-Feb-97,-43.38
15-Feb-97,-40.28
22-Feb-97,-41.98
01-Mar-97,-41.88
08-Mar-97,-41.58
15-Mar-97,-41.68
22-Mar-97,-42.88
29-Mar-97,-42.58
05-Apr-97,-42.88
12-Apr-97,-42.68
19-Apr-97,-41.88
26-Apr-97,-41.78
03-May-97,-42.08
10-May-97,-41.78
17-May-97,-41.68
24-May-97,-38.98
14-Jun-97,-41.18
12-Jul-97,-38.38
16-Aug-97,-39.48
13-Sep-97,-39.78
11-Oct-97,-42.18
15-Nov-97,-43.98
22-Nov-97,-44.18
29-Nov-97,-44.18
06-Dec-97,-44.18
13-Dec-97,-44.18
20-Dec-97,-44.18
27-Dec-97,-44.08
03-Jan-98,-44.38
10-Jan-98,-44.38
17-Jan-98,-44.38
24-Jan-98,-44.58
31-Jan-98,-44.18
07-Feb-98,-43.68
07-Feb-98,-43.68
14-Feb-98,-43.68
21-Feb-98,-43.48
28-Feb-98,-43.58
07-Mar-98,-42.38
14-Mar-98,-42.88
21-Mar-98,-42.78
28-Mar-98,-41.38
04-Apr-98,-41.38
18-Apr-98,-40.98
09-May-98,-38.88
23-May-98,-36.08
06-Jun-98,-31.38
20-Jun-98,-36.38
18-Jul-98,-37.88
25-Jul-98,-38.38
01-Aug-98,-38.58
08-Aug-98,-38.58
21-Aug-98,-38.88
28-Aug-98,-39.08
04-Sep-98,-34.08
11-Sep-98,-37.38
18-Sep-98,-37.68
25-Sep-98,-38.38
02-Oct-98,-34.58
09-Oct-98,-32.88
16-Oct-98,-30.88
23-Oct-98,-35.28
30-Oct-98,-37.98
06-Nov-98,-29.38
13-Nov-98,-26.08
20-Nov-98,-23.68
27-Nov-98,-21.48
04-Dec-98,-19.48
11-Dec-98,-18.68
18-Dec-98,-18.08
24-Dec-98,-17.38
30-Dec-98,-16.78
08-Jan-99,-16.38
15-Jan-99,-15.78
22-Jan-99,-15.18
29-Jan-99,-14.58
05-Feb-99,-13.58
12-Feb-99,-12.78
19-Feb-99,-11.78
26-Feb-99,-11.58
05-Mar-99,-11.28
12-Mar-99,-11.08
19-Mar-99,-8.78
26-Mar-99,-7.88
01-Apr-99,-6.88
09-Apr-99,-6.38
16-Apr-99,-5.78
23-Apr-99,-3.78
30-Apr-99,-4.28
07-May-99,-3.68
14-May-99,-3.58
21-May-99,-2.78
28-May-99,-2.48
04-Jun-99,-1.78
11-Jun-99,-1.58
18-Jun-99,-1.38
25-Jun-99,-0.88
02-Jul-99,-0.48
09-Jul-99,-0.28
16-Jul-99,0.82
23-Jul-99,0.92
30-Jul-99,1.62
06-Aug-99,1.72
13-Aug-99,2.02
20-Aug-99,2.32
27-Aug-99,2.82
03-Sep-99,3.22
10-Sep-99,3.02
17-Sep-99,4.32
24-Sep-99,4.32
01-Oct-99,5.02
08-Oct-99,4.92
15-Oct-99,5.12
22-Oct-99,5.62
29-Oct-99,5.62
05-Nov-99,5.12
12-Nov-99,5.62
19-Nov-99,6.42
26-Nov-99,6.62
03-Dec-99,6.82
10-Dec-99,7.12
17-Dec-99,7.02
24-Dec-99,7.32
31-Dec-99,7.82
07-Jan-00,7.92
14-Jan-00,8.02
21-Jan-00,8.62
28-Jan-00,8.82
04-Feb-00,8.02
11-Feb-00,8.92
18-Feb-00,9.22
25-Feb-00,9.22
03-Mar-00,9.52
10-Mar-00,9.62
17-Mar-00,9.52
24-Mar-00,9.92
31-Mar-00,10.12
07-Apr-00,10.22
14-Apr-00,10.32
20-Apr-00,10.82
28-Apr-00,11.42
05-May-00,11.72
12-May-00,11.92
19-May-00,11.42
26-May-00,12.32
02-Jun-00,12.32
09-Jun-00,12.42
16-Jun-00,12.42
23-Jun-00,12.42
30-Jun-00,13.62
07-Jul-00,13.42
14-Jul-00,13.62
21-Jul-00,-16.88
24-Jul-00,-20.83
28-Jul-00,-21.08
04-Aug-00,-21.38
11-Aug-00,-21.58
18-Aug-00,-21.68
25-Aug-00,-21.78
01-Sep-00,-21.68
08-Sep-00,-23.38
15-Sep-00,-21.78
22-Sep-00,-22.78
29-Sep-00,-22.38
06-Oct-00,-22.48
13-Oct-00,-22.48
20-Oct-00,-22.88
27-Oct-00,-22.88
03-Nov-00,-20.28
10-Nov-00,-22.78
17-Nov-00,-22.18
24-Nov-00,-21.88
01-Dec-00,-22.18
08-Dec-00,-22.68
15-Dec-00,-22.88
22-Dec-00,-22.78
29-Dec-00,-22.28
05-Jan-01,-22.38
12-Jan-01,-22.38
19-Jan-01,-22.08
26-Jan-01,-21.48
02-Feb-01,-21.98
09-Feb-01,-21.58
16-Feb-01,-21.18
23-Feb-01,-20.78
02-Mar-01,-19.98
09-Mar-01,-19.38
16-Mar-01,-19.38
23-Mar-01,-18.68
30-Mar-01,-18.48
06-Apr-01,-17.88
12-Apr-01,-17.68
20-Apr-01,-16.98
27-Apr-01,-16.28
04-May-01,-15.58
11-May-01,-14.98
18-May-01,-14.18
25-May-01,-13.58
01-Jun-01,-12.78
08-Jun-01,-12.08
15-Jun-01,-11.28
22-Jun-01,-10.68
29-Jun-01,-9.98
06-Jul-01,-8.68
13-Jul-01,-8.58
20-Jul-01,-8.58
27-Jul-01,-7.28
03-Aug-01,-6.58
10-Aug-01,-6.08
17-Aug-01,-5.08
24-Aug-01,-4.88
31-Aug-01,-4.38
07-Sep-01,-3.98
14-Sep-01,-3.48
21-Sep-01,-3.18
