Date,Silksworth
23-Nov-05,-67.08
25-Nov-05,-66.95
27-Nov-05,-66.92
29-Nov-05,-66.92
01-Dec-05,-66.87
03-Dec-05,-66.81
05-Dec-05,-66.84
07-Dec-05,-66.86
09-Dec-05,-66.89
11-Dec-05,-66.90
13-Dec-05,-66.90
15-Dec-05,-66.81
17-Dec-05,-66.80
19-Dec-05,-66.79
21-Dec-05,-66.81
23-Dec-05,-66.79
25-Dec-05,-66.80
27-Dec-05,-66.78
29-Dec-05,-66.74
31-Dec-05,-66.67
02-Jan-06,-66.75
04-Jan-06,-66.79
06-Jan-06,-66.77
08-Jan-06,-66.77
10-Jan-06,-66.74
12-Jan-06,-66.76
14-Jan-06,-66.74
16-Jan-06,-66.72
18-Jan-06,-66.73
18-Jan-06,-66.73
20-Jan-06,-66.73
20-Jan-06,-66.73
22-Jan-06,-66.81
22-Jan-06,-66.81
24-Jan-06,-66.80
24-Jan-06,-66.80
26-Jan-06,-66.81
26-Jan-06,-66.81
28-Jan-06,-66.81
28-Jan-06,-66.81
30-Jan-06,-66.82
30-Jan-06,-66.82
01-Feb-06,-66.79
01-Feb-06,-66.79
03-Feb-06,-66.81
03-Feb-06,-66.81
05-Feb-06,-66.83
05-Feb-06,-66.83
07-Feb-06,-66.79
07-Feb-06,-66.79
09-Feb-06,-66.81
09-Feb-06,-66.81
11-Feb-06,-66.83
11-Feb-06,-66.83
13-Feb-06,-66.81
13-Feb-06,-66.81
15-Feb-06,-66.75
15-Feb-06,-66.75
17-Feb-06,-66.73
17-Feb-06,-66.73
19-Feb-06,-66.80
19-Feb-06,-66.80
21-Feb-06,-66.87
21-Feb-06,-66.87
23-Feb-06,-66.88
23-Feb-06,-66.88
25-Feb-06,-66.88
25-Feb-06,-66.88
27-Feb-06,-66.86
27-Feb-06,-66.86
01-Mar-06,-66.82
01-Mar-06,-66.82
03-Mar-06,-66.81
03-Mar-06,-66.81
05-Mar-06,-66.84
05-Mar-06,-66.84
07-Mar-06,-66.87
07-Mar-06,-66.87
09-Mar-06,-66.83
09-Mar-06,-66.83
11-Mar-06,-66.89
11-Mar-06,-66.89
13-Mar-06,-66.91
13-Mar-06,-66.91
15-Mar-06,-66.92
15-Mar-06,-66.92
17-Mar-06,-66.95
17-Mar-06,-66.95
19-Mar-06,-66.93
19-Mar-06,-66.93
21-Mar-06,-66.93
21-Mar-06,-66.93
23-Mar-06,-66.92
23-Mar-06,-66.92
25-Mar-06,-66.88
25-Mar-06,-66.88
27-Mar-06,-66.86
27-Mar-06,-66.86
29-Mar-06,-66.89
29-Mar-06,-66.89
31-Mar-06,-66.89
31-Mar-06,-66.89
02-Apr-06,-66.91
02-Apr-06,-66.91
04-Apr-06,-66.97
04-Apr-06,-66.97
06-Apr-06,-66.95
06-Apr-06,-66.95
08-Apr-06,-66.94
08-Apr-06,-66.94
10-Apr-06,-66.99
10-Apr-06,-66.99
12-Apr-06,-66.96
12-Apr-06,-66.96
14-Apr-06,-66.99
14-Apr-06,-66.99
16-Apr-06,-67.00
16-Apr-06,-67.00
18-Apr-06,-67.01
18-Apr-06,-67.01
20-Apr-06,-67.02
20-Apr-06,-67.02
22-Apr-06,-67.05
22-Apr-06,-67.05
24-Apr-06,-67.05
24-Apr-06,-67.05
26-Apr-06,-67.06
26-Apr-06,-67.06
28-Apr-06,-67.10
28-Apr-06,-67.10
30-Apr-06,-67.07
