QS	NUMB	REGNO	RT	GRID_REFER	EASTING	NORTHING	X	Y	CONFIDENTI	STRTHEIGHT	NAME	LENGTH	BGS_ID
NT26SW	81	NT26SW81	BJ	NT_24964_61241	324964	661241	324964	661241	N	166.6	AUCHENDINNY	461	785804
NO30SW	99	NO30SW99	BJ	NO_32300_00785	332300	700785	332300	700785	N	40	BALFOUR	206	784142
NS52SW	38	NS52SW38	BJ	NS_51196_20054	251196	620054	251196	620054	N	0	BARONY_COLLIERY_2/69_U/G	96	735769
NT26SE	209	NT26SE209	BJ	NT_27240_64920	327240	664920	327240	664920	N	152.4	BILSTON_GLEN_COLLIERY	-2	803293
NT26SE	178	NT26SE178	BJ	NT_29180_63041	329180	663041	329180	663041	N	-485	BILSTON_GLEN_U/G_BORE	89	803262
NT77SE	9	NT77SE9	BJ	NT_75798_73168	375798	673168	375798	673168	N	34	BIRNIEKNOWES_BORE	508	656383
NS56NW	58	NS56NW58	BJ	NS_50030_68230	250030	668230	250030	668230	N	6	BLYTHSWOOD_ESTATE_NO1_BORE	117	1038725
NS98NE	194	NS98NE194	BJ	NS_97800_89100	297800	689100	297800	689100	N	41	BOGSIDE_COLLIERY	-2	784947
NT39SW	44	NT39SW44	BJ	NT_30394_94222	330394	694222	330394	694222	N	62.5	BORELAND_BORE_DYSART	1006	759201
NS68SW	1	NS68SW1	BJ	NS_64475_83680	264475	683680	264475	683680	N	269.4	CLACHIE_BRIDGE_IGS	300	605098
NS99NE	126	NS99NE126	BJ	NS_97699_95033	297699	695033	297699	695033	N	76	COMRIE_COLLIERY_1/82_UP_BORE	96	744508
NS99SE	170	NS99SE170	BJ	NS_97659_94643	297659	694643	297659	694643	N	68	COMRIE_COLLIERY_NO2/74_UP_BORE	90	755948
NT36NE	133	NT36NE133	BJ	NT_37740_67740	337740	667740	337740	667740	N	166	COUSLAND_5	584.61	842690
NT36NE	241	NT36NE241	BJ	NT_38345_68035	338345	668035	338345	668035	N	169.65	COUSLAND_6	582	842798
NS86SW	330	NS86SW330	BJ	NS_82670_62120	282670	662120	282670	662120	Y	248.7	CRAIGHEAD_1	-1	876627
NS83NE	98	NS83NE98	BJ	NS_86900_35400	286900	635400	286900	635400	N	213	DOUGLAS_COLLIERY_SHAFT	-2	727960
NT37SW	246	NT37SW246	BJ	NT_32647_72971	332647	672971	332647	672971	N	9	EASTFIELD_1A	1028	971730
NS83SE	39	NS83SE39	BJ	NS_85041_31706	285041	631706	285041	631706	N	229.77	EGGERTON_BORE	967.27	748896
NT39SW	50	NT39SW50	BJ	NT_32034_92250	332034	692250	332034	692250	N	-530.35	FRANCES_COLLIERY_NO.2/70	-2	759207
NT39SW	43	NT39SW43	BJ	NT_32065_92415	332065	692415	332065	692415	N	-404	FRANCES_PIT	123.9	759200
NT39SW	41	NT39SW41	BJ	NT_32080_92405	332080	692405	332080	692405	N	-280	FRANCES_PIT_SEA_MINE	121.87	759198
NS99SW	238	NS99SW238	BJ	NS_92512_94835	292512	694835	292512	694835	N	72	GARTENKEIR_MINE_1	33	825570
NS89NE	56	NS89NE56	BJ	NS_87170_96325	287170	696325	287170	696325	N	0	GLENOCHIL_BORE	30	774696
NS89NE	108	NS89NE108	BJ	NS_87400_96000	287400	696000	287400	696000	N	16	GLENOCHIL_COLLIERY	-2	774791
NO20SE	385	NO20SE385	BJ	NO_25617_03144	325617	703144	325617	703144	N	158.85	GLENROTHES	567	1013133
NS98SE	13	NS98SE13/B	BJ	NS_95135_83866	295135	683866	295135	683866	N	-920	GRANGEMOUTH_DOCK_BORE	-2	866500
NS65NE	1	NS65NE1	BJ	NS_66960_59680	266960	659680	266960	659680	N	39	HALLSIDE_COLLIERY	451	959113
NS52SW	51	NS52SW51	BJ	NS_53461_21280	253461	621280	253461	621280	N	0	HIGHHOUSE_1/73_UP	51	735782
NS41NE	141	NS41NE141	BJ	NS_48842_18908	248842	618908	248842	618908	N	-305.8	KILLOCH_COLLY_U/G_UP_3/68	31	731901
NS42SE	10	NS42SE10	BJ	NS_48000_20480	248000	620480	248000	620480	N	157	KILLOCH_NO.2_SHAFT	737	643105
NS41NE	151	NS41NE151	BJ	NS_48184_19658	248184	619658	248184	619658	N	-353.8	KILLOCH_U/G_2/73	-2	731911
NS42SE	46	NS42SE46	BJ	NS_48862_21677	248862	621677	248862	621677	N	0	KILLOCH_U/G_UP_1/80	28	643141
NT36SW	191	NT36SW191	BJ	NT_32076_63824	332076	663824	332076	663824	N	-489	LADY_VICT_U/G_UP_1/71	50	904823
NT36NW	291	NT36NW291	BJ	NT_32836_66431	332836	666431	332836	666431	N	-637	LADY_VICTORIA_U/G_UP_BH1/78	68	951495
NT06NW	1011	NT06NW1011	BJ	NT_01866_67936	301866	667936	301866	667936	N	144.3	LIVINGSTON_-_DEANS_16	4.95	1047027
NT09SE	170	NT09SE170	BJ	NT_07899_90413	307899	690413	307899	690413	N	0	LOCHEHEAD_1	17	830680
NT39NW	134	NT39NW134	BJ	NT_30405_97275	330405	697275	330405	697275	Y	50.29	MACKIES_MILL_BORE	-1	859051
NT95NE	5	NT95NE5	BJ	NT_97973_56858	397973	656858	397973	656858	N	67	MARSHALL_MEADOWS_BORE	321.62	644206
NS56NE	1755	NS56NE1755	BJ	NS_57178_68558	257178	668558	257178	668558	N	45	MARYHILL_BOREHOLE	306	1088944
NT36SE	18	NT36SE18	BJ	NT_36396_64619	336396	664619	336396	664619	N	229.5	MIDLOTHIAN_6	696	844496
NT36NW	209	NT36NW209	BJ	NT_32421_68808	332421	668808	332421	668808	N	-832	MONKTONHALL_COLL_NO._9_SECTION	20	951412
NS98NW	195	NS98NW195	BJ	NS_93068_89113	293068	689113	293068	689113	N	8.48	PIPER_SINK_BORE	415	877440
NS96NW	464	NS96NW464/10	OE	NS_91900_65040	291900	665040	291900	665040	N	175.49	POLKEMMET_10	5.79	910384
NS96SW	74	NS96SW74	BJ	NS_91935_63590	291935	663590	291935	663590	N	0	POLKEMMET_COLL_NO.6_UG	480	842005
NT06NE	227	NT06NE227	BJ	NT_07338_69793	307338	669793	307338	669793	N	121.9	PUMPHERSTON_1	1173	997583
