Date,Lumley_6th_Abstraction
04-Mar-95,23
04-Mar-95,23
11-Mar-95,19
18-Mar-95,28
25-Mar-95,4
01-Apr-95,27
08-Apr-95,34
15-Apr-95,27
22-Apr-95,27
29-Apr-95,23
06-May-95,27
13-May-95,23
20-May-95,31
27-May-95,28
03-Jun-95,24
10-Jun-95,21
17-Jun-95,40
24-Jun-95,28
01-Jul-95,28
08-Jul-95,28
15-Jul-95,28
22-Jul-95,20
29-Jul-95,32
12-Aug-95,28
19-Aug-95,32
26-Aug-95,24
02-Sep-95,29
09-Sep-95,25
16-Sep-95,4
23-Sep-95,3
30-Sep-95,35
07-Oct-95,12
14-Oct-95,16
21-Oct-95,17
28-Oct-95,29
04-Nov-95,29
11-Nov-95,42
18-Nov-95,29
25-Nov-95,25
02-Dec-95,29
09-Dec-95,33
16-Dec-95,29
23-Dec-95,25
30-Dec-95,33
06-Jan-96,29
13-Jan-96,25
20-Jan-96,33
27-Jan-96,29
03-Feb-96,29
10-Feb-96,33
17-Feb-96,25
24-Feb-96,29
02-Mar-96,29
09-Mar-96,29
16-Mar-96,25
23-Mar-96,37
30-Mar-96,17
06-Apr-96,28
13-Apr-96,25
20-Apr-96,37
27-Apr-96,25
04-May-96,29
11-May-96,29
18-May-96,29
25-May-96,29
01-Jun-96,21
08-Jun-96,37
15-Jun-96,25
22-Jun-96,27
29-Jun-96,32
06-Jul-96,32
13-Jul-96,32
20-Jul-96,36
27-Jul-96,27
03-Aug-96,32
10-Aug-96,31
17-Aug-96,38
24-Aug-96,32
31-Aug-96,32
07-Sep-96,32
14-Sep-96,36
21-Sep-96,27
28-Sep-96,32
05-Oct-96,32
12-Oct-96,33
19-Oct-96,33
26-Oct-96,33
02-Nov-96,38
09-Nov-96,33
16-Nov-96,28
23-Nov-96,33
30-Nov-96,32
07-Dec-96,28
14-Dec-96,29
21-Dec-96,37
28-Dec-96,30
04-Jan-97,42
11-Jan-97,42.1
18-Jan-97,23.2
25-Jan-97,32.8
01-Feb-97,32.8
08-Feb-97,32.7
15-Feb-97,37.4
22-Feb-97,32
