Date,Chatershaugh_No2_Shaft
13-Feb-95,-288.72
13-Feb-95,-288.72
13-Mar-95,-354.72
26-Apr-95,-352.72
30-May-95,-347.52
28-Jun-95,-344.22
24-Jul-95,-341.97
08-Aug-95,-332.12
22-Sep-95,-332.02
20-Oct-95,-318.32
24-Nov-95,-322.82
01-Dec-95,-322.92
08-Dec-95,-322.72
21-Dec-95,-322.52
28-Dec-95,-322.42
04-Jan-96,-311.72
11-Jan-96,-308.02
12-Feb-96,-298.72
07-Mar-96,-292.72
15-Apr-96,-282.62
13-May-96,-276.12
12-Jun-96,-270.32
08-Jul-96,-260.02
12-Sep-96,-254.72
17-Oct-96,-250.72
14-Nov-96,-246.72
19-Nov-96,-247.52
07-Jan-97,-239.32
15-Jan-97,-237.22
01-Feb-97,-232.92
01-Mar-97,-226.72
01-Apr-97,-219.72
01-May-97,-214.82
20-Jun-97,-209.72
16-Jul-97,-204.72
04-Aug-97,-204.32
01-Sep-97,-200.02
01-Oct-97,-196.72
03-Oct-97,-196.72
11-Nov-97,-189.72
09-Dec-97,-185.92
10-Jan-98,-180.12
10-Feb-98,-176.82
06-Mar-98,-173.62
15-Apr-98,-167.52
13-May-98,-163.02
26-Jun-98,-155.32
20-Jul-98,-150.62
27-Aug-98,-146.62
18-Sep-98,-144.22
08-Oct-98,-141.52
23-Nov-98,-135.82
08-Dec-98,-134.82
02-Jan-99,-74.17
07-Jan-99,-74.12
12-Jan-99,-73.88
17-Jan-99,-73.78
22-Jan-99,-73.70
27-Jan-99,-73.55
01-Feb-99,-73.38
06-Feb-99,-73.13
11-Feb-99,-73.12
16-Feb-99,-72.87
21-Feb-99,-72.74
26-Feb-99,-72.60
03-Mar-99,-72.38
08-Mar-99,-72.41
13-Mar-99,-72.28
18-Mar-99,-72.03
23-Mar-99,-71.86
28-Mar-99,-71.78
02-Apr-99,-71.64
07-Apr-99,-71.43
12-Apr-99,-71.19
17-Apr-99,-71.13
22-Apr-99,-70.92
27-Apr-99,-70.89
02-May-99,-70.73
07-May-99,-70.53
12-May-99,-70.50
17-May-99,-70.43
22-May-99,-70.24
27-May-99,-70.18
01-Jun-99,-70.01
06-Jun-99,-69.95
11-Jun-99,-69.94
16-Jun-99,-69.76
21-Jun-99,-69.66
26-Jun-99,-69.48
01-Jul-99,-69.46
06-Jul-99,-69.47
11-Jul-99,-69.25
16-Jul-99,-69.17
21-Jul-99,-69.15
26-Jul-99,-69.10
31-Jul-99,-68.91
05-Aug-99,-68.83
10-Aug-99,-68.79
15-Aug-99,-68.61
20-Aug-99,-68.69
25-Aug-99,-68.52
30-Aug-99,-68.51
04-Sep-99,-68.41
09-Sep-99,-68.40
14-Sep-99,-68.30
19-Sep-99,-68.21
24-Sep-99,-68.20
29-Sep-99,-68.09
04-Oct-99,-68.21
09-Oct-99,-68.03
14-Oct-99,-67.93
19-Oct-99,-67.79
24-Oct-99,-67.65
29-Oct-99,-67.66
03-Nov-99,-67.56
08-Nov-99,-67.65
13-Nov-99,-67.41
18-Nov-99,-67.34
23-Nov-99,-67.21
28-Nov-99,-67.14
03-Dec-99,-67.03
08-Dec-99,-66.89
13-Dec-99,-66.93
18-Dec-99,-66.88
23-Dec-99,-66.66
28-Dec-99,-66.82
02-Jan-00,-66.72
07-Jan-00,-66.63
12-Jan-00,-66.59
17-Jan-00,-66.55
22-Jan-00,-66.37
27-Jan-00,-66.21
01-Feb-00,-66.26
06-Feb-00,-66.08
11-Feb-00,-66.10
16-Feb-00,-65.93
21-Feb-00,-65.97
26-Feb-00,-65.78
02-Mar-00,-65.75
07-Mar-00,-65.67
12-Mar-00,-65.61
17-Mar-00,-65.57
22-Mar-00,-65.33
27-Mar-00,-65.36
01-Apr-00,-65.15
06-Apr-00,-65.25
11-Apr-00,-64.95
16-Apr-00,-64.95
21-Apr-00,-64.93
26-Apr-00,-64.83
01-May-00,-64.84
06-May-00,-64.67
11-May-00,-64.62
16-May-00,-64.43
21-May-00,-64.43
26-May-00,-64.31
31-May-00,-64.30
05-Jun-00,-64.19
10-Jun-00,-64.05
15-Jun-00,-64.02
20-Jun-00,-63.80
25-Jun-00,-63.82
30-Jun-00,-63.60
05-Jul-00,-63.47
10-Jul-00,-63.27
15-Jul-00,-63.24
20-Jul-00,-63.13
25-Jul-00,-62.94
30-Jul-00,-62.88
04-Aug-00,-62.79
09-Aug-00,-62.63
14-Aug-00,-62.53
19-Aug-00,-62.46
24-Aug-00,-62.36
29-Aug-00,-62.22
03-Sep-00,-62.14
08-Sep-00,-62.04
13-Sep-00,-61.86
18-Sep-00,-61.78
08-Oct-00,-60.88
07-Nov-00,-60.38
12-Dec-00,-59.23
17-Dec-00,-59.28
22-Dec-00,-58.94
27-Dec-00,-58.63
01-Jan-01,-58.42
06-Jan-01,-58.29
11-Jan-01,-58.24
16-Jan-01,-57.96
21-Jan-01,-57.64
26-Jan-01,-57.44
31-Jan-01,-57.41
05-Feb-01,-57.02
10-Feb-01,-57.02
15-Feb-01,-56.88
20-Feb-01,-56.60
25-Feb-01,-56.30
02-Mar-01,-56.14
07-Mar-01,-55.97
12-Mar-01,-55.78
17-Mar-01,-55.68
22-Mar-01,-55.45
27-Mar-01,-55.26
01-Apr-01,-55.13
06-Apr-01,-54.91
11-Apr-01,-54.89
16-Apr-01,-54.63
21-Apr-01,-54.44
26-Apr-01,-54.27
01-May-01,-54.20
06-May-01,-54.10
11-May-01,-53.88
16-May-01,-53.65
21-May-01,-53.61
26-May-01,-53.40
31-May-01,-53.26
05-Jun-01,-53.12
10-Jun-01,-53.02
15-Jun-01,-52.88
20-Jun-01,-52.78
25-Jun-01,-52.59
30-Jun-01,-52.45
05-Jul-01,-52.26
10-Jul-01,-52.09
15-Jul-01,-52.01
20-Jul-01,-51.85
25-Jul-01,-51.73
30-Jul-01,-51.58
04-Aug-01,-51.38
09-Aug-01,-51.27
14-Aug-01,-51.11
19-Aug-01,-50.98
08-Sep-01,-50.40
13-Sep-01,-50.22
18-Sep-01,-50.15
23-Sep-01,-50.00
28-Sep-01,-49.80
03-Oct-01,-49.65
08-Oct-01,-49.54
13-Oct-01,-49.49
18-Oct-01,-49.33
23-Oct-01,-49.19
28-Oct-01,-49.06
02-Nov-01,-49.00
07-Nov-01,-48.76
12-Nov-01,-48.69
17-Nov-01,-48.58
22-Nov-01,-48.39
27-Nov-01,-48.19
02-Dec-01,-48.09
07-Dec-01,-48.05
12-Dec-01,-47.91
17-Dec-01,-47.74
22-Dec-01,-47.45
27-Dec-01,-47.27
01-Jan-02,-47.30
06-Jan-02,-47.14
11-Jan-02,-46.94
16-Jan-02,-46.73
21-Jan-02,-46.50
26-Jan-02,-46.41
31-Jan-02,-46.29
05-Feb-02,-46.13
10-Feb-02,-45.98
15-Feb-02,-46.00
20-Feb-02,-45.67
25-Feb-02,-45.47
02-Mar-02,-45.48
07-Mar-02,-45.29
12-Mar-02,-45.17
17-Mar-02,-44.94
22-Mar-02,-44.92
27-Mar-02,-44.74
01-Apr-02,-44.50
06-May-02,-43.27
11-May-02,-43.07
16-May-02,-42.92
21-May-02,-42.67
26-May-02,-42.52
31-May-02,-42.45
05-Jun-02,-42.20
10-Jun-02,-42.04
15-Jun-02,-41.89
20-Jun-02,-41.75
25-Jun-02,-41.60
30-Jun-02,-41.38
05-Jul-02,-41.28
10-Jul-02,-41.13
15-Jul-02,-41.02
20-Jul-02,-40.83
25-Jul-02,-40.64
30-Jul-02,-40.50
04-Aug-02,-40.35
09-Aug-02,-40.17
14-Aug-02,-40.07
19-Aug-02,-39.91
24-Aug-02,-39.80
29-Aug-02,-39.61
03-Sep-02,-39.47
08-Sep-02,-39.28
13-Sep-02,-39.25
18-Sep-02,-39.03
23-Sep-02,-38.89
28-Sep-02,-38.75
03-Oct-02,-38.59
08-Oct-02,-38.42
13-Oct-02,-38.27
18-Oct-02,-38.14
23-Oct-02,-37.92
28-Oct-02,-37.94
02-Nov-02,-37.76
07-Nov-02,-37.61
12-Nov-02,-37.37
17-Nov-02,-37.34
22-Nov-02,-37.13
27-Nov-02,-37.04
02-Dec-02,-36.94
21-Jan-03,-34.78
26-Jan-03,-34.72
31-Jan-03,-34.45
05-Feb-03,-34.24
10-Feb-03,-34.13
15-Feb-03,-34.02
20-Feb-03,-33.71
25-Feb-03,-33.50
02-Mar-03,-33.27
07-Mar-03,-33.08
12-Mar-03,-33.01
17-Mar-03,-32.87
22-Mar-03,-32.61
27-Mar-03,-32.42
01-Apr-03,-32.26
06-Apr-03,-32.16
11-Apr-03,-31.92
16-Apr-03,-31.83
21-Apr-03,-31.62
26-Apr-03,-31.38
01-May-03,-31.27
06-May-03,-31.16
11-May-03,-30.99
16-May-03,-30.80
21-May-03,-30.63
26-May-03,-30.53
31-May-03,-30.31
05-Jun-03,-30.16
10-Jun-03,-30.01
15-Jun-03,-29.92
20-Jun-03,-29.79
25-Jun-03,-29.75
30-Jun-03,-29.62
05-Jul-03,-29.64
10-Jul-03,-29.56
15-Jul-03,-29.33
20-Jul-03,-29.16
25-Jul-03,-28.97
30-Jul-03,-28.85
04-Aug-03,-28.74
09-Aug-03,-28.55
14-Aug-03,-28.40
19-Aug-03,-28.21
24-Aug-03,-28.11
29-Aug-03,-27.92
03-Sep-03,-27.83
08-Sep-03,-27.61
13-Sep-03,-27.55
18-Sep-03,-27.33
23-Sep-03,-27.22
28-Sep-03,-27.05
03-Oct-03,-26.91
08-Oct-03,-26.75
13-Oct-03,-26.73
18-Oct-03,-26.53
23-Oct-03,-26.37
28-Oct-03,-26.14
02-Nov-03,-25.99
07-Nov-03,-26.05
12-Nov-03,-25.82
17-Nov-03,-25.69
22-Nov-03,-25.52
27-Nov-03,-25.35
02-Dec-03,-25.37
07-Dec-03,-25.25
12-Dec-03,-25.02
17-Dec-03,-24.99
22-Dec-03,-24.86
27-Dec-03,-24.65
01-Jan-04,-24.65
06-Jan-04,-24.45
11-Jan-04,-24.27
16-Jan-04,-24.24
21-Jan-04,-24.16
26-Jan-04,-24.01
31-Jan-04,-23.84
05-Feb-04,-23.77
10-Feb-04,-23.75
15-Feb-04,-23.59
20-Feb-04,-23.42
25-Feb-04,-23.19
01-Mar-04,-23.18
11-Mar-04,-22.71
16-Mar-04,-22.67
21-Mar-04,-22.48
26-Mar-04,-22.42
31-Mar-04,-22.22
05-Apr-04,-22.04
10-Apr-04,-21.96
15-Apr-04,-21.72
20-Apr-04,-21.50
25-Apr-04,-21.49
30-Apr-04,-21.25
05-May-04,-21.00
10-May-04,-21.02
15-May-04,-20.90
20-May-04,-20.73
25-May-04,-20.59
30-May-04,-20.42
04-Jun-04,-20.30
09-Jun-04,-20.14
14-Jun-04,-20.06
19-Jun-04,-19.84
24-Jun-04,-19.72
29-Jun-04,-19.64
04-Jul-04,-19.50
09-Jul-04,-19.36
14-Jul-04,-19.23
19-Jul-04,-19.09
24-Jul-04,-19.00
29-Jul-04,-18.88
03-Aug-04,-18.74
08-Aug-04,-18.59
13-Aug-04,-18.47
18-Aug-04,-18.29
23-Aug-04,-18.23
28-Aug-04,-18.10
02-Sep-04,-18.01
07-Sep-04,-17.91
12-Sep-04,-17.56
17-Sep-04,-17.49
22-Sep-04,-17.36
27-Sep-04,-17.25
02-Oct-04,-17.05
07-Oct-04,-16.95
12-Oct-04,-16.79
17-Oct-04,-16.60
22-Oct-04,-16.45
27-Oct-04,-16.34
01-Nov-04,-16.31
06-Nov-04,-16.16
11-Nov-04,-16.00
16-Nov-04,-15.84
21-Nov-04,-15.70
26-Nov-04,-15.57
01-Dec-04,-15.43
06-Dec-04,-15.36
11-Dec-04,-15.20
16-Dec-04,-14.94
21-Dec-04,-14.83
26-Dec-04,-14.65
31-Dec-04,-14.57
05-Jan-05,-14.39
10-Jan-05,-14.20
15-Jan-05,-14.15
15-Apr-05,-11.25
20-Apr-05,-11.17
25-Apr-05,-11.00
30-Apr-05,-10.83
05-May-05,-10.67
10-May-05,-10.54
15-May-05,-10.36
20-May-05,-10.13
25-May-05,-9.99
30-May-05,-9.86
04-Jun-05,-9.67
09-Jun-05,-9.59
14-Jun-05,-9.33
19-Jun-05,-9.23
24-Jun-05,-9.07
29-Jun-05,-8.88
04-Jul-05,-8.70
09-Jul-05,-8.62
14-Jul-05,-8.43
19-Jul-05,-8.24
24-Jul-05,-8.08
29-Jul-05,-7.93
03-Aug-05,-7.81
08-Aug-05,-7.65
13-Aug-05,-7.49
18-Aug-05,-7.35
23-Aug-05,-7.16
28-Aug-05,-7.05
02-Sep-05,-6.93
07-Sep-05,-6.74
12-Sep-05,-6.63
17-Sep-05,-6.50
22-Sep-05,-6.33
27-Sep-05,-6.15
02-Oct-05,-6.07
07-Oct-05,-5.91
12-Oct-05,-5.75
17-Oct-05,-5.64
22-Oct-05,-5.41
27-Oct-05,-5.30
01-Nov-05,-5.16
06-Nov-05,-5.07
11-Nov-05,-4.99
16-Nov-05,-4.86
21-Nov-05,-4.81
26-Nov-05,-4.63
01-Dec-05,-4.56
06-Dec-05,-4.83
11-Dec-05,-5.19
16-Dec-05,-5.28
21-Dec-05,-5.47
26-Dec-05,-5.65
31-Dec-05,-5.72
05-Jan-06,-6.00
10-Jan-06,-6.10
15-Jan-06,-6.17
20-Jan-06,-6.32
25-Jan-06,-6.48
30-Jan-06,-6.54
04-Feb-06,-6.60
09-Feb-06,-6.64
14-Feb-06,-6.64
19-Feb-06,-6.76
24-Feb-06,-6.94
01-Mar-06,-6.88
06-Mar-06,-6.96
11-Mar-06,-7.05
16-Mar-06,-7.16
21-Mar-06,-7.14
26-Mar-06,-7.07
02-Apr-06,-7.19
04-Apr-06,-7.31
06-Apr-06,-7.29
08-Apr-06,-7.25
10-Apr-06,-7.34
12-Apr-06,-7.31
14-Apr-06,-7.31
16-Apr-06,-7.34
18-Apr-06,-7.36
20-Apr-06,-7.38
22-Apr-06,-7.43
24-Apr-06,-7.44
26-Apr-06,-7.44
28-Apr-06,-7.51
30-Apr-06,-7.47
02-May-06,-7.38
04-May-06,-7.45
06-May-06,-7.48
08-May-06,-7.48
10-May-06,-7.50
12-May-06,-7.48
14-May-06,-7.48
16-May-06,-7.44
18-May-06,-7.41
20-May-06,-7.35
22-May-06,-7.37
24-May-06,-7.45
26-May-06,-7.48
11-Jun-06,-7.49
13-Jun-06,-7.49
28-May-06,-7.48
15-Jun-06,-7.52
17-Jun-06,-7.50
19-Jun-06,-7.45
30-May-06,-7.50
21-Jun-06,-7.44
23-Jun-06,-7.49
25-Jun-06,-7.52
27-Jun-06,-7.55
01-Jun-06,-7.54
29-Jun-06,-7.55
01-Jul-06,-7.57
03-Jul-06,-7.56
05-Jul-06,-7.55
03-Jun-06,-7.54
07-Jul-06,-7.53
09-Jul-06,-7.52
11-Jul-06,-7.57
05-Jun-06,-7.53
13-Jul-06,-7.61
15-Jul-06,-7.66
17-Jul-06,-7.62
19-Jul-06,-7.60
07-Jun-06,-7.53
21-Jul-06,-7.58
23-Jul-06,-7.58
25-Jul-06,-7.61
09-Jun-06,-7.52
27-Jul-06,-7.60
29-Jul-06,-7.58
31-Jul-06,-7.56
02-Aug-06,-7.55
08-Aug-06,-7.67
04-Aug-06,-7.63
06-Aug-06,-7.66
10-Aug-06,-7.62
12-Aug-06,-7.63
14-Aug-06,-7.63
16-Aug-06,-7.60
18-Aug-06,-7.60
20-Aug-06,-7.63
22-Aug-06,-7.68
24-Aug-06,-7.65
26-Aug-06,-7.65
28-Aug-06,-7.66
30-Aug-06,-7.68
01-Sep-06,-7.69
03-Sep-06,-7.64
05-Sep-06,-7.73
07-Sep-06,-7.67
09-Sep-06,-7.78
11-Sep-06,-7.75
13-Sep-06,-7.71
15-Sep-06,-7.70
17-Sep-06,-7.73
19-Sep-06,-7.71
21-Sep-06,-7.71
23-Sep-06,-7.74
25-Sep-06,-7.73
27-Sep-06,-7.72
29-Sep-06,-7.61
01-Oct-06,-7.65
03-Oct-06,-7.58
05-Oct-06,-7.61
07-Oct-06,-7.60
09-Oct-06,-7.65
11-Oct-06,-7.70
13-Oct-06,-7.63
15-Oct-06,-7.73
17-Oct-06,-7.60
19-Oct-06,-7.51
21-Oct-06,-7.45
23-Oct-06,-7.43
25-Oct-06,-7.48
27-Oct-06,-7.49
29-Oct-06,-7.64
31-Oct-06,-7.54
02-Nov-06,-7.56
04-Nov-06,-7.62
06-Nov-06,-7.59
08-Nov-06,-7.52
10-Nov-06,-7.56
12-Nov-06,-7.53
14-Nov-06,-7.50
21-Nov-06,-8.43
13-Dec-06,-8.58
05-Jan-07,-8.58
24-Jan-07,-8.10
26-Jan-07,-8.00
28-Jan-07,-7.89
30-Jan-07,-7.76
01-Feb-07,-7.72
03-Feb-07,-7.72
05-Feb-07,-7.56
07-Feb-07,-7.35
09-Feb-07,-7.22
11-Feb-07,-7.11
13-Feb-07,-6.99
15-Feb-07,-6.96
17-Feb-07,-6.97
19-Feb-07,-7.02
21-Feb-07,-6.96
23-Feb-07,-6.93
25-Feb-07,-6.92
27-Feb-07,-6.98
01-Mar-07,-6.87
03-Mar-07,-6.96
05-Mar-07,-6.95
07-Mar-07,-6.91
09-Mar-07,-7.01
11-Mar-07,-7.03
13-Mar-07,-6.99
15-Mar-07,-7.00
17-Mar-07,-6.92
19-Mar-07,-6.80
21-Mar-07,-6.89
23-Mar-07,-6.88
25-Mar-07,-6.88
27-Mar-07,-6.83
29-Mar-07,-6.77
31-Mar-07,-6.78
02-Apr-07,-6.79
04-Apr-07,-6.72
06-Apr-07,-6.65
08-Apr-07,-6.61
10-Apr-07,-6.52
12-Apr-07,-6.50
14-Apr-07,-6.44
16-Apr-07,-6.38
18-Apr-07,-6.31
20-Apr-07,-6.22
21-Apr-07,-6.19
23-Apr-07,-6.09
25-Apr-07,-6.00
27-Apr-07,-5.97
29-Apr-07,-5.90
01-May-07,-5.77
03-May-07,-5.67
05-May-07,-5.57
07-May-07,-5.42
09-May-07,-5.32
11-May-07,-5.21
13-May-07,-5.13
14-May-07,-5.10
16-May-07,-5.05
18-May-07,-4.95
20-May-07,-4.86
22-May-07,-4.83
24-May-07,-4.74
26-May-07,-4.74
28-May-07,-4.86
30-May-07,-4.94
01-Jun-07,-5.06
03-Jun-07,-5.18
05-Jun-07,-5.27
07-Jun-07,-5.31
09-Jun-07,-5.36
11-Jun-07,-5.42
13-Jun-07,-5.68
13-Jun-07,-5.45
15-Jun-07,-5.50
17-Jun-07,-5.55
19-Jun-07,-5.66
21-Jun-07,-5.71
23-Jun-07,-5.77
25-Jun-07,-5.82
27-Jun-07,-5.88
29-Jun-07,-5.93
01-Jul-07,-5.98
02-Jul-07,-6.00
03-Jul-07,-6.02
04-Jul-07,-6.07
05-Jul-07,-6.13
06-Jul-07,-6.13
07-Jul-07,-6.20
08-Jul-07,-6.25
09-Jul-07,-6.25
10-Jul-07,-6.28
11-Jul-07,-6.30
12-Jul-07,-6.31
13-Jul-07,-6.33
14-Jul-07,-6.34
15-Jul-07,-6.40
16-Jul-07,-6.41
17-Jul-07,-6.43
18-Jul-07,-6.48
19-Jul-07,-6.53
20-Jul-07,-6.55
21-Jul-07,-6.54
22-Jul-07,-6.54
23-Jul-07,-6.55
24-Jul-07,-6.59
25-Jul-07,-6.62
26-Jul-07,-6.60
27-Jul-07,-6.65
28-Jul-07,-6.70
29-Jul-07,-6.75
30-Jul-07,-6.80
31-Jul-07,-6.82
02-Aug-07,-6.82
04-Aug-07,-6.88
06-Aug-07,-6.89
08-Aug-07,-6.97
10-Aug-07,-7.00
12-Aug-07,-6.88
14-Aug-07,-6.78
16-Aug-07,-6.82
18-Aug-07,-6.92
20-Aug-07,-6.95
22-Aug-07,-7.05
24-Aug-07,-7.09
26-Aug-07,-7.14
28-Aug-07,-7.18
30-Aug-07,-7.19
01-Sep-07,-7.22
03-Sep-07,-7.26
05-Sep-07,-7.36
07-Sep-07,-7.41
09-Sep-07,-7.42
11-Sep-07,-7.44
13-Sep-07,-7.50
15-Sep-07,-7.52
