Date,Hawthorn
23-Jan-95,-173.85
23-Jan-95,-173.85
13-Feb-95,-173.85
13-Mar-95,-177.85
26-Apr-95,-177.85
30-May-95,-272.45
28-Jun-95,-274.25
24-Jul-95,-273.10
08-Aug-95,-286.15
22-Sep-95,-285.85
26-Oct-95,-276.85
24-Nov-95,-275.85
01-Dec-95,-281.55
08-Dec-95,-280.85
21-Dec-95,-280.55
28-Dec-95,-280.25
04-Jan-96,-279.85
11-Jan-96,-279.65
12-Feb-96,-279.25
07-Mar-96,-277.45
15-Apr-96,-275.85
13-May-96,-274.55
12-Jun-96,-272.95
08-Jul-96,-271.65
12-Sep-96,-262.85
17-Oct-96,-258.85
19-Nov-96,-255.85
07-Jan-97,-248.65
15-Jan-97,-245.55
01-Feb-97,-241.85
01-Apr-97,-230.65
01-May-97,-225.65
20-Jun-97,-219.65
16-Jul-97,-215.95
04-Aug-97,-215.95
01-Sep-97,-212.85
01-Oct-97,-209.15
11-Nov-97,-203.35
08-Dec-97,-198.65
14-Jan-98,-193.05
10-Feb-98,-189.15
06-Mar-98,-185.15
04-Apr-98,-179.55
13-May-98,-175.35
26-Jun-98,-169.75
20-Jul-98,-164.95
27-Aug-98,-160.85
18-Sep-98,-160.15
08-Oct-98,-157.85
23-Nov-98,-155.95
08-Dec-98,-155.65
19-Jan-99,-150.25
18-Feb-99,-146.85
23-Mar-99,-143.35
20-Apr-99,-140.95
26-May-99,-137.15
18-Jun-99,-135.95
19-Jul-99,-134.30
20-Aug-99,-132.05
20-Sep-99,-129.35
18-Oct-99,-126.55
17-Nov-99,-123.85
13-Dec-99,-122.15
11-Jan-00,-120.55
17-Feb-00,-119.85
18-Mar-00,-117.05
27-Apr-00,-115.97
22-May-00,-111.35
06-Jun-00,-110.77
11-Jul-00,-106.25
10-Aug-00,-100.75
14-Sep-00,-100.75
19-Oct-00,-99.75
08-Nov-00,-97.75
13-Dec-00,-96.25
12-Jan-01,-93.75
08-Mar-01,-89.65
22-May-01,-85.15
11-Jun-01,-83.80
26-Jul-01,-82.15
31-Jul-01,-81.94
05-Aug-01,-81.60
10-Aug-01,-81.41
15-Aug-01,-81.17
20-Aug-01,-80.98
25-Aug-01,-80.79
30-Aug-01,-80.45
04-Sep-01,-80.13
09-Sep-01,-79.81
14-Sep-01,-79.43
19-Sep-01,-79.20
24-Sep-01,-78.85
29-Sep-01,-78.35
04-Oct-01,-77.97
09-Oct-01,-77.64
14-Oct-01,-77.38
19-Oct-01,-76.95
24-Oct-01,-76.59
29-Oct-01,-76.26
03-Nov-01,-75.97
08-Nov-01,-75.53
13-Nov-01,-75.29
18-Nov-01,-74.93
23-Nov-01,-74.47
28-Nov-01,-74.04
03-Dec-01,-73.77
08-Dec-01,-73.57
13-Dec-01,-73.23
18-Dec-01,-72.80
23-Dec-01,-72.24
28-Dec-01,-72.44
02-Jan-02,-72.86
06-Feb-02,-68.80
11-Feb-02,-68.04
16-Feb-02,-66.95
21-Feb-02,-65.97
26-Feb-02,-65.42
03-Mar-02,-65.23
08-Mar-02,-64.71
13-Mar-02,-64.39
18-Mar-02,-63.95
23-Mar-02,-63.80
28-Mar-02,-63.42
02-Apr-02,-62.97
07-Apr-02,-62.78
12-Apr-02,-62.34
17-Apr-02,-61.99
22-Apr-02,-61.71
27-Apr-02,-61.12
02-May-02,-60.87
07-May-02,-60.62
12-May-02,-60.16
17-May-02,-59.87
22-May-02,-59.38
27-May-02,-59.10
01-Jun-02,-58.89
06-Jun-02,-58.46
11-Jun-02,-58.15
16-Jun-02,-57.85
21-Jun-02,-57.58
26-Jun-02,-57.27
01-Jul-02,-56.78
06-Jul-02,-56.52
11-Jul-02,-56.24
16-Jul-02,-56.00
21-Jul-02,-55.60
26-Jul-02,-55.27
31-Jul-02,-54.91
05-Aug-02,-54.60
10-Aug-02,-54.21
15-Aug-02,-53.95
20-Aug-02,-53.63
25-Aug-02,-53.36
30-Aug-02,-53.01
04-Sep-02,-52.77
19-Sep-02,-51.74
24-Sep-02,-51.50
29-Sep-02,-51.21
04-Oct-02,-50.91
09-Oct-02,-50.59
14-Oct-02,-50.30
19-Oct-02,-50.02
24-Oct-02,-49.64
29-Oct-02,-49.58
03-Nov-02,-49.29
08-Nov-02,-49.08
13-Nov-02,-48.90
23-Nov-02,-48.45
13-Dec-02,-47.45
17-Jan-03,-45.05
26-Feb-03,-42.45
23-Mar-03,-41.15
22-Apr-03,-39.35
07-May-03,-38.45
06-Jun-03,-37.55
06-Jul-03,-35.15
10-Aug-03,-33.95
09-Sep-03,-32.49
14-Sep-03,-32.31
19-Sep-03,-31.92
24-Sep-03,-31.72
29-Sep-03,-31.44
04-Oct-03,-31.15
09-Oct-03,-30.96
14-Oct-03,-30.85
19-Oct-03,-30.53
24-Oct-03,-30.31
29-Oct-03,-29.92
03-Nov-03,-29.76
08-Nov-03,-29.69
13-Nov-03,-29.35
18-Nov-03,-29.13
23-Nov-03,-28.85
28-Nov-03,-28.60
03-Dec-03,-28.57
08-Dec-03,-28.33
13-Dec-03,-28.04
18-Dec-03,-27.83
23-Dec-03,-27.67
28-Dec-03,-27.42
02-Jan-04,-27.39
07-Jan-04,-27.12
12-Jan-04,-26.90
17-Jan-04,-26.86
22-Jan-04,-26.78
27-Jan-04,-26.58
01-Feb-04,-26.34
06-Feb-04,-26.18
11-Feb-04,-26.07
16-Feb-04,-25.82
21-Feb-04,-25.51
26-Feb-04,-25.12
02-Mar-04,-25.00
07-Mar-04,-24.78
12-Mar-04,-24.41
17-Mar-04,-24.15
22-Mar-04,-23.90
27-Mar-04,-23.75
01-Apr-04,-23.43
06-Apr-04,-23.22
11-Apr-04,-23.07
16-Apr-04,-22.69
21-Apr-04,-22.52
26-Apr-04,-22.38
01-May-04,-22.07
06-May-04,-21.79
11-May-04,-21.76
16-May-04,-21.58
21-May-04,-21.36
26-May-04,-21.14
31-May-04,-20.91
05-Jun-04,-20.70
10-Jun-04,-20.48
15-Jun-04,-20.29
20-Jun-04,-19.99
25-Jun-04,-19.80
30-Jun-04,-19.65
05-Jul-04,-19.53
10-Jul-04,-19.34
15-Jul-04,-19.16
20-Jul-04,-19.04
25-Jul-04,-18.94
30-Jul-04,-18.85
04-Aug-04,-18.76
09-Aug-04,-18.60
14-Aug-04,-18.50
19-Aug-04,-18.38
