Date,Lumley_6th
12-Nov-94,-89.01
10-Dec-94,-90.01
07-Jan-95,-92.71
28-Jan-95,-88.01
18-Feb-95,-88.01
11-Mar-95,-87.11
25-Mar-95,-84.61
08-Apr-95,-84.71
22-Apr-95,-84.21
06-May-95,-84.11
20-May-95,-82.81
10-Jun-95,-82.61
01-Jul-95,-83.21
22-Jul-95,-82.51
29-Jul-95,-83.01
05-Aug-95,-80.51
12-Aug-95,-81.41
26-Aug-95,-82.31
09-Sep-95,-82.61
16-Sep-95,-80.01
23-Sep-95,-79.01
30-Sep-95,-80.51
07-Oct-95,-79.41
14-Oct-95,-79.51
21-Oct-95,-80.71
28-Oct-95,-80.01
04-Nov-95,-81.61
11-Nov-95,-82.01
02-Dec-95,-83.01
16-Dec-95,-84.01
06-Jan-96,-84.81
03-Feb-96,-85.01
24-Feb-96,-85.51
09-Mar-96,-85.71
16-Mar-96,-90.01
23-Mar-96,-85.01
20-Apr-96,-83.81
11-May-96,-83.21
01-Jun-96,-83.21
22-Jun-96,-83.11
29-Jun-96,-83.51
13-Jul-96,-84.01
03-Aug-96,-85.01
10-Aug-96,-88.51
17-Aug-96,-85.11
14-Sep-96,-85.91
28-Sep-96,-86.01
19-Oct-96,-86.21
09-Nov-96,-87.51
30-Nov-96,-88.71
14-Dec-96,-80.11
21-Dec-96,-88.31
11-Jan-97,-89.71
18-Jan-97,-88.81
25-Jan-97,-89.21
01-Feb-97,-88.71
08-Feb-97,-89.31
15-Feb-97,-90.01
22-Feb-97,-89.81
01-Mar-97,-90.01
08-Mar-97,-90.21
15-Mar-97,-89.31
22-Mar-97,-88.81
29-Mar-97,-88.81
05-Apr-97,-88.71
12-Apr-97,-88.71
19-Apr-97,-88.71
26-Apr-97,-88.51
03-May-97,-88.01
10-May-97,-88.01
17-May-97,-87.71
24-May-97,-87.01
31-May-97,-86.91
07-Jun-97,-86.91
14-Jun-97,-87.61
28-Jun-97,-86.51
05-Jul-97,-86.31
12-Jul-97,-86.11
19-Jul-97,-85.71
26-Jul-97,-86.21
02-Aug-97,-86.21
09-Aug-97,-85.91
16-Aug-97,-85.61
23-Aug-97,-84.11
30-Aug-97,-84.21
06-Sep-97,-84.21
13-Sep-97,-85.41
20-Sep-97,-85.61
27-Sep-97,-86.41
04-Oct-97,-85.61
11-Oct-97,-85.91
18-Oct-97,-85.91
25-Oct-97,-86.11
01-Nov-97,-86.11
08-Nov-97,-86.31
15-Nov-97,-86.61
22-Nov-97,-86.41
29-Nov-97,-86.61
06-Dec-97,-86.51
13-Dec-97,-86.71
20-Dec-97,-86.61
10-Jan-98,-86.61
17-Jan-98,-87.31
24-Jan-98,-87.41
31-Jan-98,-87.41
07-Feb-98,-86.61
14-Feb-98,-84.71
21-Feb-98,-83.61
28-Feb-98,-83.51
07-Mar-98,-83.61
14-Mar-98,-83.31
21-Mar-98,-82.91
28-Mar-98,-83.41
04-Apr-98,-82.41
11-Apr-98,-81.81
18-Apr-98,-82.01
25-Apr-98,-82.41
02-May-98,-82.81
16-May-98,-82.21
23-May-98,-81.41
30-May-98,-80.21
06-Jun-98,-79.61
13-Jun-98,-78.71
20-Jun-98,-79.41
27-Jun-98,-79.41
04-Jul-98,-77.81
11-Jul-98,-77.61
18-Jul-98,-77.01
25-Jul-98,-79.71
01-Aug-98,-75.51
08-Aug-98,-76.51
15-Aug-98,-76.51
21-Aug-98,-77.11
28-Aug-98,-77.01
04-Sep-98,-77.21
11-Sep-98,-75.71
18-Sep-98,-76.51
25-Sep-98,-77.21
02-Oct-98,-76.71
09-Oct-98,-76.71
16-Oct-98,-76.21
23-Oct-98,-76.21
30-Oct-98,-76.01
06-Nov-98,-76.01
13-Nov-98,-75.51
20-Nov-98,-74.91
27-Nov-98,-74.61
04-Dec-98,-74.21
11-Dec-98,-73.91
18-Dec-98,-74.41
24-Dec-98,-73.91
30-Dec-98,-74.01
08-Jan-99,-72.81
15-Jan-99,-74.21
22-Jan-99,-72.21
29-Jan-99,-73.81
05-Feb-99,-72.11
12-Feb-99,-71.01
19-Feb-99,-70.61
26-Feb-99,-70.31
05-Mar-99,-70.11
12-Mar-99,-69.51
19-Mar-99,-69.21
26-Mar-99,-68.91
01-Apr-99,-68.41
09-Apr-99,-68.81
16-Apr-99,-69.61
23-Apr-99,-69.81
30-Apr-99,-70.01
07-May-99,-70.21
14-May-99,-70.11
21-May-99,-70.11
28-May-99,-70.21
04-Jun-99,-69.81
11-Jun-99,-70.01
18-Jun-99,-70.01
25-Jun-99,-69.61
02-Jul-99,-69.51
09-Jul-99,-69.41
16-Jul-99,-69.01
23-Jul-99,-69.21
30-Jul-99,-69.01
06-Aug-99,-69.01
13-Aug-99,-69.01
20-Aug-99,-68.91
27-Aug-99,-68.81
03-Sep-99,-68.61
10-Sep-99,-68.61
17-Sep-99,-67.11
24-Sep-99,-68.31
01-Oct-99,-68.31
08-Oct-99,-68.31
15-Oct-99,-68.11
22-Oct-99,-68.01
29-Oct-99,-68.01
05-Nov-99,-68.41
12-Nov-99,-67.51
19-Nov-99,-67.71
26-Nov-99,-67.51
03-Dec-99,-67.41
10-Dec-99,-67.41
17-Dec-99,-67.21
24-Dec-99,-67.81
31-Dec-99,-67.01
07-Jan-00,-66.91
14-Jan-00,-66.81
21-Jan-00,-66.81
28-Jan-00,-66.71
04-Feb-00,-67.21
11-Feb-00,-66.61
18-Feb-00,-66.21
25-Feb-00,-66.11
03-Mar-00,-66.01
10-Mar-00,-66.01
17-Mar-00,-65.81
24-Mar-00,-65.61
31-Mar-00,-66.41
07-Apr-00,-65.31
14-Apr-00,-65.11
20-Apr-00,-64.91
28-Apr-00,-64.81
05-May-00,-64.11
12-May-00,-63.91
19-May-00,-64.41
26-May-00,-63.51
02-Jun-00,-63.41
09-Jun-00,-63.91
16-Jun-00,-63.71
23-Jun-00,-62.91
30-Jun-00,-59.91
07-Jul-00,-62.51
14-Jul-00,-62.41
21-Jul-00,-63.11
28-Jul-00,-62.41
04-Aug-00,-62.61
11-Aug-00,-62.11
18-Aug-00,-62.01
25-Aug-00,-61.21
01-Sep-00,-61.01
08-Sep-00,-61.11
15-Sep-00,-59.81
22-Sep-00,-59.21
29-Sep-00,-59.41
06-Oct-00,-59.41
13-Oct-00,-59.21
20-Oct-00,-58.81
27-Oct-00,-57.71
03-Nov-00,-58.11
10-Nov-00,-57.91
17-Nov-00,-56.91
24-Nov-00,-57.21
01-Dec-00,-56.51
08-Dec-00,-55.81
15-Dec-00,-55.61
22-Dec-00,-55.11
29-Dec-00,-54.61
05-Jan-01,-54.21
12-Jan-01,-53.91
19-Jan-01,-53.51
25-Jan-01,-53.40
26-Jan-01,-52.81
02-Feb-01,-52.21
09-Feb-01,-52.21
16-Feb-01,-52.81
23-Feb-01,-52.41
02-Mar-01,-51.51
09-Mar-01,-51.21
16-Mar-01,-50.91
23-Mar-01,-50.41
30-Mar-01,-50.51
