Date,Nicholsons
12-Nov-94,-69.12
19-Nov-94,-71.27
10-Dec-94,-65.12
07-Jan-95,-65.12
11-Feb-95,-67.62
25-Feb-95,-73.92
11-Mar-95,-72.62
18-Mar-95,-78.72
08-Apr-95,-76.32
15-Apr-95,-79.92
29-Apr-95,-76.22
20-May-95,-78.72
10-Jun-95,-78.82
24-Jun-95,-66.12
08-Jul-95,-75.12
15-Jul-95,-68.62
22-Jul-95,-72.22
12-Aug-95,-64.32
02-Sep-95,-62.72
30-Sep-95,-64.82
21-Oct-95,-65.12
11-Nov-95,-63.82
02-Dec-95,-63.42
30-Dec-95,-63.92
13-Jan-96,-63.62
03-Feb-96,-63.72
24-Feb-96,-64.12
16-Mar-96,-65.12
13-Apr-96,-64.12
04-May-96,-67.52
25-May-96,-65.92
08-Jun-96,-68.22
15-Jun-96,-66.82
22-Jun-96,-72.22
29-Jun-96,-67.12
13-Jul-96,-71.12
03-Aug-96,-77.12
17-Aug-96,-73.12
31-Aug-96,-77.92
07-Sep-96,-77.12
14-Sep-96,-65.12
05-Oct-96,-76.62
12-Oct-96,-78.52
02-Nov-96,-68.32
30-Nov-96,-71.62
14-Dec-96,-71.12
11-Jan-97,-68.32
01-Feb-97,-70.22
22-Feb-97,-68.42
15-Mar-97,-68.42
05-Apr-97,-69.92
19-Apr-97,-69.12
10-May-97,-68.82
07-Jun-97,-71.12
28-Jun-97,-68.02
19-Jul-97,-68.82
09-Aug-97,-69.32
23-Aug-97,-65.42
06-Sep-97,-70.32
20-Sep-97,-71.12
11-Oct-97,-72.22
25-Oct-97,-70.02
01-Nov-97,-66.32
08-Nov-97,-69.12
15-Nov-97,-69.42
22-Nov-97,-68.62
29-Nov-97,-69.12
06-Dec-97,-69.12
13-Dec-97,-69.22
20-Dec-97,-69.12
27-Dec-97,-69.22
03-Jan-98,-66.12
10-Jan-98,-68.82
17-Jan-98,-70.12
24-Jan-98,-69.42
31-Jan-98,-69.32
07-Feb-98,-70.72
14-Feb-98,-69.12
21-Feb-98,-69.02
28-Feb-98,-70.12
07-Mar-98,-70.62
14-Mar-98,-69.62
21-Mar-98,-69.22
28-Mar-98,-70.12
04-Apr-98,-67.92
11-Apr-98,-64.12
18-Apr-98,-67.62
25-Apr-98,-69.32
02-May-98,-67.42
09-May-98,-65.02
16-May-98,-68.12
23-May-98,-67.12
30-May-98,-65.12
06-Jun-98,-63.62
13-Jun-98,-65.52
20-Jun-98,-83.32
27-Jun-98,-65.72
04-Jul-98,-67.32
11-Jul-98,-67.52
18-Jul-98,-63.42
25-Jul-98,-63.12
01-Aug-98,-62.82
08-Aug-98,-61.42
15-Aug-98,-60.92
21-Aug-98,-60.82
28-Aug-98,-60.52
04-Sep-98,-60.12
11-Sep-98,-60.62
18-Sep-98,-59.22
25-Sep-98,-59.42
02-Oct-98,-59.92
09-Oct-98,-58.72
16-Oct-98,-58.32
23-Oct-98,-58.32
30-Oct-98,-58.62
06-Nov-98,-58.72
13-Nov-98,-58.62
20-Nov-98,-58.82
27-Nov-98,-58.32
04-Dec-98,-58.32
11-Dec-98,-57.32
18-Dec-98,-58.62
24-Dec-98,-58.52
30-Dec-98,-58.92
08-Jan-99,-58.12
15-Jan-99,-58.42
22-Jan-99,-58.72
29-Jan-99,-58.62
05-Feb-99,-58.12
12-Feb-99,-58.92
19-Feb-99,-58.62
26-Feb-99,-58.62
05-Mar-99,-58.52
12-Mar-99,-58.62
19-Mar-99,-58.32
