Borehole name,Grid reference,Northing (Y),Easting (X),Depth,Temp,T grad,Type,Ref
Spilmersford,NT 4570 6902,669020,345700,877,27.8,20.9,BHT,Burley&Gale_1981
Midlothian,NT 363 647,664700,336300,747,37.8,39.1,LOG,Burley&Gale_1982
Birnieknowes,NT 7580 7317,673170,375800,372,23.9,39.2,LOG,Burley&Gale_1983
Marshall Meadow,NT 9797 5686,656860,397970,227,11.5,10.6,EQM,Burley&Gale_1984
Cousland No.5,NT 3774 6773,667730,337740,585,17.8,15.0,BHT,Burley&Gale_1985
Cousland No.6,NT 3835 6801,668010,338350,582,23.9,25.6,BHT,Burley&Gale_1986
Pumpherston,NT 0733 6979,669790,307330,1175,36.7,23.3,BHT,Burley&Gale_1987
Lochead,NT 3219 9659,696590,332190,1167,30.4,17.7,BHT,Burley&Gale_1988
Boreland,NT 3040 9420,694200,330400,1007,29.8,20.1,EQM,Burley&Gale_1989
Mackies Mill,NT 3050 9795,697950,330500,960,33.3,24.6,BHT,Burley&Gale_1990
Thornton Bridge,NT 2889 9722,697220,328890,665,28,27.5,BHT,Burley&Gale_1991
Thornton Farm,NT 2969 9761,697610,329690,1055,38,26.8,BHT,Burley&Gale_1992
Eastfield,NT 3264 7297,672970,332640,1028,26,15.6,BHT,Burley&Gale_1993
Bilston Glen Colliery,NT 2996 6320,663200,329960,670,15,8.7,MWT,Burley&Gale_1994
Lady Victoria Colliery,NT 3294 6666,666660,332940,768,18,10.8,MWT,Burley&Gale_1995
Auchendinny,NT 2496 6125,661250,324960,459,18,19.6,BHT,Burley&Gale_1996
Wellsgreen,NT 3342 9833,698330,333420,1485,42.3,22.0,LOG,Burley&Gale_1997
Livingston,NT 018 691,667936,301866,640,27,28.1,EQM,Burley&Gale_1998
Stewart,NT 3633 6476,664760,336330,942,37.9,34.9,BHT,Burley&Gale_1999
Frances,NT 3214 9050,690500,332140,841,29,23.8,VST,Burley&Gale_2000
Monktonhall,NT 3242 7053,670530,332420,866,25.5,18.2,VST,Burley&Gale_2001
Seafield,NT 3150 8923,689230,331500,789,29,25.3,VST,Burley&Gale_2002
Staithes No1,NZ 76961852,518520,476960,1173,37.4,23.7,BHT,Burley&Gale_2003
Woodland,NZ 0910 2780,527800,409100,197,16.1,39.6,EQM,Burley&Gale_2004
Woodland,NZ 0910 2780,527800,409100,283,20.1,41.7,EQM,Burley&Gale_2005
Woodland,NZ 0910 2780,527800,409100,368,24.8,44.8,EQM,Burley&Gale_2006
Woodland,NZ 0910 2780,527800,409100,488,29.7,43.9,EQM,Burley&Gale_2007
Throckley No 1,NZ 1456 6762,567620,414560,591,24.7,25.9,LOG,Burley&Gale_2008
Newton Mulgrave,NZ 7739 1360,513600,477390,1357,59.4,37.4,DST,Burley&Gale_2009
Newton Mulgrave,NZ 7739 1360,513600,477390,1465,64.4,38,DST,Burley&Gale_2010
Newton Mulgrave,NZ 7739 1360,513600,477390,1476,71.1,42.3,DST,Burley&Gale_2011
Ralph Cross,NZ 6759 0243,502430,467590,940,37.8,32.1,BHT,Burley&Gale_2012
Ralph Cross,NZ 6759 0243,502430,467590,1632,50,26,BHT,Burley&Gale_2013
Whitey Bay,NZ 3498 7485,574850,434980,1052,32.2,21.1,BHT,Burley&Gale_2014
Seal sands,NZ 5382 38,523800,453800,4170,104,22.6,BHT,Burley&Gale_2015
YP1,NZ 9226 0878,508780,492260,1351,41,23.3,BHT,Burley&Gale_2016
YP2,NZ 9399 0637,506370,493990,1264,42.2,26.3,BHT,Burley&Gale_2017
YP3,NZ 9181 0669,506690,491810,1360,45,26.3,BHT,Burley&Gale_2018
YP4,NZ 9245 0801,508010,492450,1387,42.2,23.6,BHT,Burley&Gale_2019
YP5,NZ 8957 0685,506850,489570,1311,39,22.8,BHT,Burley&Gale_2020
YP6,NZ 8960 0894,508940,489600,1341,42.2,24.2,BHT,Burley&Gale_2021
YP7,NZ 9437 0737,507370,494370,1317,44,26.4,BHT,Burley&Gale_2022
YP8,NZ 9154 0792,507920,491540,1413,45,25.1,BHT,Burley&Gale_2023
YP12,NZ 9663 0130,501300,496630,1372,4,23,BHT,Burley&Gale_2024
Eskdale No 11,NZ 8544 0424,504240,485440,1481,71.1,42.4,BHT,Burley&Gale_2025
Eskdale No 12,NZ 8570 82,508200,485700,1219,33.3,19.6,LOG,Burley&Gale_2026
Eskdale No 12,NZ 8570 82,508200,485700,1219,43.3,27.8,LOG,Burley&Gale_2027
Eskdale No 12,NZ 8570 82,508200,485700,1219,44.7,29,LOG,Burley&Gale_2028
Eskdale No 12,NZ 8570 82,508200,485700,1695,43.3,20,LOG,Burley&Gale_2029
Eskdale No 12,NZ 8570 82,508200,485700,1873,41.1,16.9,BHT,Burley&Gale_2030
Hapton,NZ 3966 6562,565620,439660,1322,44.8,26.4,DST,Burley&Gale_2031
Hapton,NZ 3966 6562,565620,439660,1768,68.9,33.4,LOG,Burley&Gale_2032
Robin Hoods Bay,NZ 9478 0403,504030,494780,1638,46.7,22.6,BHT,Burley&Gale_2033
Kirkleatham 1,NZ 5879 2127,521270,458790,191,16.1,32.5,EQM,Burley&Gale_2034
