ZONE,T="TIME=3.162240000000e+07"
50,5.757180932
50.1,5.761086372
50.2,5.764983364
50.3,5.76887191
50.4,5.772752013
50.5,5.77662368
50.6,5.780486916
50.7,5.784341729
50.8,5.788188129
50.9,5.792026127
51,5.795855734
51.1,5.799676965
51.2,5.803489834
51.3,5.807294358
51.4,5.811090555
51.5,5.814878443
51.6,5.818658045
51.7,5.82242938
51.8,5.826192474
51.9,5.829947351
52,5.833694036
52.1,5.837432557
52.2,5.841162942
52.3,5.844885222
52.4,5.848599428
52.5,5.852305592
52.6,5.856003747
52.7,5.85969393
52.8,5.863376175
52.9,5.86705052
53,5.870717004
53.1,5.874375666
53.2,5.878026548
53.3,5.88166969
53.4,5.885305136
53.5,5.888932929
53.6,5.892553116
53.7,5.896165742
53.8,5.899770854
53.9,5.903368501
54,5.906958731
54.1,5.910541594
54.2,5.914117142
54.3,5.917685426
54.4,5.921246499
54.5,5.924800414
54.6,5.928347226
54.7,5.93188699
54.8,5.935419761
54.9,5.938945597
55,5.942464555
55.1,5.945976692
55.2,5.949482068
55.3,5.952980742
55.4,5.956472774
55.5,5.959958224
55.6,5.963437154
55.7,5.966909625
55.8,5.9703757
55.9,5.97383544
56,5.97728891
56.1,5.980736172
56.2,5.984177291
56.3,5.98761233
56.4,5.991041356
56.5,5.994464432
56.6,5.997881624
56.7,6.001292997
56.8,6.004698618
56.9,6.008098552
57,6.011492865
57.1,6.014881625
57.2,6.018264897
57.3,6.021642749
57.4,6.025015246
57.5,6.028382457
57.6,6.031744447
57.7,6.035101284
57.8,6.038453035
57.9,6.041799767
58,6.045141546
58.1,6.048478439
58.2,6.051810514
58.3,6.055137837
58.4,6.058460473
58.5,6.061778491
58.6,6.065091955
58.7,6.068400932
58.8,6.071705488
58.9,6.075005687
59,6.078301596
59.1,6.08159328
59.2,6.084880803
59.3,6.08816423
59.4,6.091443624
59.5,6.09471905
59.6,6.09799057
59.7,6.101258249
59.8,6.104522149
59.9,6.107782331
60,6.111038858
60.1,6.114291791
60.2,6.117541191
60.3,6.120787119
60.4,6.124029635
60.5,6.127268797
60.6,6.130504666
60.7,6.133737299
60.8,6.136966755
60.9,6.140193091
61,6.143416364
61.1,6.14663663
61.2,6.149853945
61.3,6.153068365
61.4,6.156279944
61.5,6.159488735
61.6,6.162694793
61.7,6.165898171
61.8,6.16909892
61.9,6.172297091
62,6.175492737
62.1,6.178685908
62.2,6.181876652
62.3,6.18506502
62.4,6.188251058
62.5,6.191434817
62.6,6.194616341
62.7,6.197795678
62.8,6.200972874
62.9,6.204147974
63,6.207321021
63.1,6.21049206
63.2,6.213661134
63.3,6.216828285
63.4,6.219993555
63.5,6.223156985
63.6,6.226318615
63.7,6.229478485
63.8,6.232636635
63.9,6.235793101
64,6.238947922
64.1,6.242101135
64.2,6.245252776
64.3,6.24840288
64.4,6.251551483
64.5,6.254698619
64.6,6.257844321
64.7,6.260988621
64.8,6.264131553
64.9,6.267273148
65,6.270413436
65.1,6.273552448
65.2,6.276690214
65.3,6.279826761
65.4,6.282962119
65.5,6.286096314
65.6,6.289229374
65.7,6.292361324
65.8,6.295492191
65.9,6.298622
66,6.301750774
66.1,6.304878537
66.2,6.308005312
66.3,6.311131121
66.4,6.314255987
66.5,6.31737993
66.6,6.320502971
66.7,6.32362513
66.8,6.326746425
66.9,6.329866876
67,6.3329865
67.1,6.336105315
67.2,6.339223337
67.3,6.342340584
67.4,6.345457069
67.5,6.348572809
67.6,6.351687818
67.7,6.354802109
67.8,6.357915696
67.9,6.361028592
68,6.364140808
68.1,6.367252356
68.2,6.370363246
68.3,6.37347349
68.4,6.376583096
68.5,6.379692075
68.6,6.382800434
