ZONE,T="TIME=3.162240000000e+07"
0,9.00000352
2,9.062003637
4,9.124003978
6,9.186004522
8,9.248005233
10,9.310006073
12,9.372007002
14,9.434007984
16,9.496008962
18,9.558009763
20,9.620009682
22,9.682006121
24,9.743990585
26,9.805938267
28,9.867783612
30,9.929368229
32,9.990339219
34,10.04996588
36,10.10683186
38,10.15834656
40,10.19999918
42,10.22427438
44,10.21902815
46,10.16672051
48,10.05481536
50,9.903248016
51,9.830105455
52,9.768072224
53,9.720653133
54,9.688266403
55,9.669438713
56,9.661985243
57,9.663703427
58,9.672650953
59,9.687211723
60,9.706080096
61,9.728219695
62,9.752818389
63,9.779246962
64,9.807023548
65,9.835783959
66,9.865257391
67,9.895246957
68,9.925614474
69,9.956269083
70,9.987159359
71,10.01826867
72,10.04961365
73,10.08124573
74,10.11325575
75,10.14578192
76,10.17902111
77,10.21324413
78,10.24881518
79,10.2862161
80,10.32607614
81,10.36920741
82,10.41664631
83,10.46969848
84,10.52998004
85,10.59943332
86,10.68026094
87,10.77464779
88,10.88406729
89,11.00810142
90,11.14324561
92,11.41882026
94,11.65474319
96,11.83108944
98,11.96041354
100,12.06028327
102,12.14288887
106,12.28261519
110,12.40966323
114,12.53401157
118,12.65801071
122,12.78200345
126,12.90600255
130,13.03000202
134,13.15400145
138,13.27800101
142,13.40200069
146,13.52600048
150,13.65000041
