ZONE,T="TIME=3.162240000000e+07"
0,6.157170371
0.1,6.16451562
0.2,6.179971128
0.3,6.202981112
0.4,6.233009163
0.5,6.269538129
0.6,6.31206997
0.7,6.360125585
0.8,6.413244604
0.9,6.470985159
1,6.532923633
1.1,6.598654381
1.2,6.667789438
1.3,6.739958207
1.4,6.814807125
1.5,6.891999327
1.6,6.971214283
1.7,7.052147438
1.8,7.134509829
1.9,7.218027704
2,7.302442126
2.1,7.38750858
2.2,7.472996566
2.3,7.558689197
2.4,7.644382785
2.5,7.729886438
2.6,7.815021645
2.7,7.89962187
2.8,7.983532139
2.9,8.066608636
3,8.1487183
3.1,8.229738423
3.2,8.309556255
3.3,8.38806861
3.4,8.46518148
3.5,8.540809654
3.6,8.614876344
3.7,8.687312813
3.8,8.758058015
3.9,8.827058239
4,8.894266761
4.1,8.959643503
4.2,9.023154703
4.3,9.084772589
4.4,9.144475061
4.5,9.202245385
4.6,9.258071893
4.7,9.311947691
4.8,9.363870378
4.9,9.41384177
5,9.461867634
5.1,9.507957434
5.2,9.552124082
5.3,9.594383694
5.4,9.634755364
5.5,9.67326094
5.6,9.709924807
5.7,9.744773684
5.8,9.777836423
5.9,9.80914382
6,9.838728436
6.1,9.866624418
6.2,9.892867335
6.3,9.917494019
6.4,9.940542413
6.5,9.962051425
6.6,9.982060793
6.7,10.00061096
6.8,10.01774292
6.9,10.03349816
7,10.04791849
7.1,10.06104597
7.2,10.07292279
7.3,10.08359122
7.4,10.09309346
7.5,10.10147161
7.6,10.10876758
7.7,10.11502301
7.8,10.12027919
7.9,10.12457704
8,10.12795703
8.1,10.13045912
8.2,10.1321227
8.3,10.1329866
8.4,10.133089
8.5,10.1324674
8.6,10.1311586
8.7,10.12919868
8.8,10.12662294
8.9,10.1234659
9,10.1197613
9.1,10.11554202
9.2,10.11084014
9.3,10.10568687
9.4,10.10011257
9.5,10.09414674
9.6,10.08781802
9.7,10.08115415
9.8,10.07418201
9.9,10.06692761
10,10.05941609
10.1,10.05167171
10.2,10.04371788
10.3,10.03557715
10.4,10.02727121
10.5,10.01882094
10.6,10.01024635
10.7,10.00156668
10.8,9.992800315
10.9,9.983964879
11,9.975077204
11.1,9.966153359
11.2,9.957208661
11.3,9.94825769
11.4,9.939314309
11.5,9.930391673
11.6,9.921502254
11.7,9.912657852
11.8,9.903869612
11.9,9.895148045
12,9.886503043
12.1,9.877943898
12.2,9.869479316
12.3,9.861117441
12.4,9.852865866
12.5,9.844731656
12.6,9.836721361
12.7,9.828841037
12.8,9.821096261
12.9,9.813492152
13,9.806033381
13.1,9.798724195
13.2,9.79156843
13.3,9.784569527
13.4,9.777730549
13.5,9.771054197
13.6,9.764542826
13.7,9.758198458
13.8,9.752022801
13.9,9.746017257
14,9.740182945
14.1,9.734520707
14.2,9.729031125
14.3,9.723714537
14.4,9.718571043
14.5,9.713600525
14.6,9.708802655
14.7,9.704176906
14.8,9.699722569
14.9,9.695438756
15,9.691324419
15.1,9.687378354
15.2,9.683599216
15.3,9.679985526
15.4,9.67653568
15.5,9.67324796
15.6,9.670120542
15.7,9.667151505
15.8,9.664338836
15.9,9.661680441
16,9.659174155
16.1,9.656817741
16.2,9.654608903
16.3,9.652545294
16.4,9.650624515
16.5,9.648844129
16.6,9.647201661
16.7,9.645694605
16.8,9.644320433
16.9,9.643076591
17,9.641960515
17.1,9.640969625
17.2,9.640101337
17.3,9.63935306
17.4,9.638722208
17.5,9.638206194
17.6,9.637802441
17.7,9.637508382
17.8,9.637321463
17.9,9.637239144
18,9.637258906
18.1,9.637378248
18.2,9.637594694
18.3,9.637905791
18.4,9.638309113
18.5,9.638802264
18.6,9.639382877
18.7,9.640048615
18.8,9.640797174
18.9,9.641626286
19,9.642533715
19.1,9.643517262
19.2,9.644574766
19.3,9.6457041
19.4,9.646903178
19.5,9.648169951
19.6,9.649502409
19.7,9.650898581
19.8,9.652356536
19.9,9.653874382
20,9.655450269
20.1,9.657082384
20.2,9.658768956
20.3,9.660508251
20.4,9.662298579
20.5,9.664138286
20.6,9.666025759
20.7,9.667959422
20.8,9.669937741
20.9,9.671959218
21,9.674022393
21.1,9.676125845
21.2,9.67826819
21.3,9.680448078
21.4,9.682664198
21.5,9.684915273
21.6,9.687200063
21.7,9.689517361
21.8,9.691865994
21.9,9.694244822
22,9.696652739
22.1,9.69908867
22.2,9.701551571
22.3,9.70404043
22.4,9.706554265
22.5,9.709092122
22.6,9.711653078
22.7,9.714236236
22.8,9.716840729
22.9,9.719465715
23,9.722110377
23.1,9.724773926
23.2,9.727455597
23.3,9.730154648
23.4,9.732870362
23.5,9.735602044
23.6,9.738349022
23.7,9.741110643
23.8,9.743886278
23.9,9.746675316
24,9.749477168
24.1,9.75229126
24.2,9.75511704
24.3,9.757953973
24.4,9.760801539
24.5,9.763659238
24.6,9.766526582
24.7,9.769403101
24.8,9.772288339
24.9,9.775181855
25,9.77808322
25.1,9.780992019
25.2,9.78390785
25.3,9.786830322
25.4,9.789759056
25.5,9.792693685
25.6,9.79563385
25.7,9.798579204
25.8,9.801529409
25.9,9.804484136
26,9.807443064
26.1,9.810405881
26.2,9.813372281
26.3,9.816341967
26.4,9.819314647
26.5,9.822290037
26.6,9.825267856
26.7,9.828247832
26.8,9.831229694
26.9,9.83421318
27,9.837198028
27.1,9.840183981
27.2,9.843170787
27.3,9.846158195
27.4,9.849145957
27.5,9.852133828
27.6,9.855121562
27.7,9.858108918
27.8,9.861095654
27.9,9.864081528
28,9.867066299
28.1,9.870049728
28.2,9.873031571
28.3,9.876011587
28.4,9.878989532
28.5,9.881965162
28.6,9.884938228
28.7,9.887908481
28.8,9.89087567
28.9,9.893839539
29,9.89679983
29.1,9.899756281
29.2,9.902708626
29.3,9.905656594
29.4,9.90859991
29.5,9.911538293
29.6,9.914471458
29.7,9.917399113
29.8,9.920320959
29.9,9.923236693
30,9.926146002
30.1,9.929048568
30.2,9.931944066
30.3,9.934832159
30.4,9.937712507
30.5,9.940584756
30.6,9.943448547
30.7,9.946303509
30.8,9.949149263
30.9,9.951985416
31,9.95481157
31.1,9.957627311
31.2,9.960432216
31.3,9.96322585
31.4,9.966007763
31.5,9.968777497
31.6,9.971534577
31.7,9.974278516
31.8,9.977008812
31.9,9.979724951
32,9.982426402
32.1,9.985112619
32.2,9.98778304
32.3,9.990437088
32.4,9.993074169
32.5,9.99569367
32.6,9.998294964
32.7,10.0008774
32.8,10.00344032
32.9,10.00598304
33,10.00850484
33.1,10.01100501
33.2,10.0134828
33.3,10.01593745
33.4,10.01836817
33.5,10.02077415
33.6,10.02315455
33.7,10.02550853
33.8,10.02783521
33.9,10.03013367
34,10.032403
34.1,10.03464224
34.2,10.03685041
34.3,10.03902651
