ZONE,T="TIME=3.162240000000e+07"
50,5.739683004
50.1,5.744256902
50.2,5.748809831
50.3,5.753341801
50.4,5.757852829
50.5,5.762342937
50.6,5.766812156
50.7,5.77126052
50.8,5.775688073
50.9,5.780094863
51,5.784480947
51.1,5.788846385
51.2,5.793191246
51.3,5.797515604
51.4,5.801819539
51.5,5.806103138
51.6,5.810366493
51.7,5.814609702
51.8,5.81883287
51.9,5.823036106
52,5.827219526
52.1,5.831383252
52.2,5.835527408
52.3,5.839652128
52.4,5.843757548
52.5,5.847843809
52.6,5.85191106
52.7,5.85595945
52.8,5.859989138
52.9,5.864000283
53,5.867993051
53.1,5.871967611
53.2,5.875924138
53.3,5.879862807
53.4,5.883783802
53.5,5.887687306
53.6,5.891573508
53.7,5.8954426
53.8,5.899294777
53.9,5.903130237
54,5.906949181
54.1,5.910751812
54.2,5.914538337
54.3,5.918308963
54.4,5.922063903
54.5,5.925803368
54.6,5.929527573
54.7,5.933236734
54.8,5.93693107
54.9,5.9406108
55,5.944276144
55.1,5.947927325
55.2,5.951564565
55.3,5.955188087
55.4,5.958798116
55.5,5.962394876
55.6,5.965978593
55.7,5.969549491
55.8,5.973107796
55.9,5.976653733
56,5.980187526
56.1,5.983709401
56.2,5.987219582
56.3,5.990718291
56.4,5.994205752
56.5,5.997682186
56.6,6.001147814
56.7,6.004602857
56.8,6.008047532
56.9,6.011482056
57,6.014906645
57.1,6.018321514
57.2,6.021726875
57.3,6.025122939
57.4,6.028509914
57.5,6.031888008
57.6,6.035257425
57.7,6.038618369
57.8,6.04197104
57.9,6.045315637
58,6.048652356
58.1,6.05198139
58.2,6.055302932
58.3,6.05861717
58.4,6.061924291
58.5,6.065224477
58.6,6.068517911
58.7,6.071804771
58.8,6.075085232
58.9,6.078359468
59,6.081627649
59.1,6.084889941
59.2,6.08814651
59.3,6.091397517
59.4,6.094643121
59.5,6.097883478
59.6,6.10111874
59.7,6.104349058
59.8,6.107574579
59.9,6.110795447
60,6.114011803
60.1,6.117223785
60.2,6.12043153
60.3,6.123635168
60.4,6.126834831
60.5,6.130030644
60.6,6.133222731
60.7,6.136411214
60.8,6.13959621
60.9,6.142777834
61,6.145956199
61.1,6.149131415
61.2,6.152303589
61.3,6.155472824
61.4,6.158639223
61.5,6.161802884
61.6,6.164963903
61.7,6.168122374
61.8,6.171278388
61.9,6.174432034
62,6.177583398
62.1,6.180732562
62.2,6.183879609
62.3,6.187024618
62.4,6.190167664
62.5,6.193308822
62.6,6.196448163
62.7,6.199585759
62.8,6.202721676
62.9,6.205855979
63,6.208988733
63.1,6.212119998
63.2,6.215249833
63.3,6.218378297
63.4,6.221505445
63.5,6.22463133
63.6,6.227756004
63.7,6.230879517
63.8,6.234001918
63.9,6.237123252
64,6.240243566
64.1,6.243362903
64.2,6.246481303
64.3,6.249598809
64.4,6.252715457
64.5,6.255831287
64.6,6.258946332
64.7,6.26206063
64.8,6.265174211
64.9,6.26828711
65,6.271399355
65.1,6.274510977
65.2,6.277622005
65.3,6.280732465
65.4,6.283842383
65.5,6.286951785
65.6,6.290060695
65.7,6.293169135
65.8,6.296277127
65.9,6.299384694
66,6.302491854
66.1,6.305598628
66.2,6.308705033
66.3,6.311811088
66.4,6.314916809
66.5,6.318022213
66.6,6.321127314
66.7,6.324232128
66.8,6.327336668
66.9,6.330440948
67,6.33354498
67.1,6.336648777
67.2,6.339752349
67.3,6.342855708
67.4,6.345958864
67.5,6.349061827
67.6,6.352164606
67.7,6.35526721
67.8,6.358369647
67.9,6.361471925
68,6.36457405
68.1,6.367676031
68.2,6.370777874
68.3,6.373879584
68.4,6.376981168
68.5,6.38008263
68.6,6.383183976
68.7,6.38628521
68.8,6.389386336
68.9,6.392487358
69,6.39558828
69.1,6.398689104
69.2,6.401789835
69.3,6.404890473
69.4,6.407991022
69.5,6.411091484
69.6,6.414191859
69.7,6.417292149
69.8,6.420392356
69.9,6.42349248
70,6.426592521
70.1,6.42969248
70.2,6.432792356
70.3,6.435892149
70.4,6.438991859
70.5,6.442091484
70.6,6.445191022
70.7,6.448290473
70.8,6.451389835
70.9,6.454489105
71,6.45758828
71.1,6.460687358
71.2,6.463786336
71.3,6.46688521
71.4,6.469983976
71.5,6.47308263
71.6,6.476181168
71.7,6.479279584
71.8,6.482377874
71.9,6.485476031
72,6.48857405
72.1,6.491671925
72.2,6.494769647
72.3,6.49786721
72.4,6.500964606
72.5,6.504061827
72.6,6.507158865
72.7,6.510255708
72.8,6.513352349
72.9,6.516448777
73,6.51954498
73.1,6.522640948
73.2,6.525736668
73.3,6.528832128
73.4,6.531927314
73.5,6.535022213
73.6,6.53811681
73.7,6.541211088
73.8,6.544305034
73.9,6.547398628
74,6.550491854
74.1,6.553584694
74.2,6.556677128
74.3,6.559769135
74.4,6.562860695
74.5,6.565951785
74.6,6.569042383
74.7,6.572132465
74.8,6.575222005
74.9,6.578310978
75,6.581399355
75.1,6.58448711
75.2,6.587574212
75.3,6.59066063
75.4,6.593746333
75.5,6.596831287
75.6,6.599915458
75.7,6.602998809
75.8,6.606081304
75.9,6.609162903
76,6.612243567
76.1,6.615323253
76.2,6.618401918
76.3,6.621479517
76.4,6.624556004
76.5,6.62763133
76.6,6.630705445
76.7,6.633778298
76.8,6.636849834
76.9,6.639919998
77,6.642988733
77.1,6.646055979
77.2,6.649121676
77.3,6.652185759
77.4,6.655248164
77.5,6.658308822
77.6,6.661367664
77.7,6.664424618
77.8,6.66747961
77.9,6.670532563
78,6.673583398
78.1,6.676632035
78.2,6.679678389
78.3,6.682722375
78.4,6.685763904
78.5,6.688802884
78.6,6.691839224
78.7,6.694872825
78.8,6.69790359
78.9,6.700931416
79,6.7039562
79.1,6.706977834
79.2,6.70999621
79.3,6.713011214
79.4,6.716022732
79.5,6.719030644
79.6,6.722034831
79.7,6.725035169
79.8,6.72803153
79.9,6.731023786
80,6.734011803
80.1,6.736995447
80.2,6.739974579
80.3,6.742949059
80.4,6.745918741
80.5,6.748883478
80.6,6.751843121
80.7,6.754797518
80.8,6.75774651
80.9,6.760689942
81,6.763627649
81.1,6.766559469
81.2,6.769485233
81.3,6.772404772
81.4,6.775317912
81.5,6.778224478
81.6,6.781124291
81.7,6.784017171
81.8,6.786902933
81.9,6.789781391
82,6.792652356
82.1,6.795515638
82.2,6.798371041
82.3,6.80121837
82.4,6.804057426
82.5,6.806888008
82.6,6.809709915
82.7,6.812522939
82.8,6.815326876
82.9,6.818121515
83,6.820906646
83.1,6.823682056
83.2,6.826447532
83.3,6.829202857
83.4,6.831947815
83.5,6.834682186
83.6,6.837405752
