ZONE,T="TIME=3.162240000000e+07"
0,9.000002753
2,9.062002921
4,9.124003406
6,9.186004153
8,9.24800509
10,9.310006145
12,9.37200726
14,9.434008392
16,9.496009519
18,9.558010626
20,9.620011706
22,9.68201275
24,9.744013785
26,9.806014995
28,9.868016559
30,9.930014273
32,9.991973248
34,10.05372395
36,10.11464838
38,10.17291046
40,10.22387428
42,10.25737948
44,10.25353293
46,10.17996601
48,10.01007053
50,9.773671734
51,9.660020839
52,9.565127153
53,9.494470377
54,9.448047003
55,9.422598349
56,9.413792519
57,9.417490524
58,9.43023131
59,9.449314139
60,9.472723777
61,9.499007959
62,9.527151881
63,9.556467003
64,9.58649963
65,9.616959561
66,9.64766675
67,9.678513028
68,9.709435742
69,9.740400433
70,9.771390195
71,9.802399986
72,9.833434849
73,9.864511691
74,9.895664972
75,9.926957346
76,9.958496982
77,9.990463928
78,10.02314839
79,10.05700405
80,10.09271947
81,10.13130943
82,10.17422622
83,10.22348506
84,10.2817867
85,10.35259218
86,10.4400405
87,10.54846355
88,10.68112001
89,10.8380134
90,11.01366399
92,11.37406227
94,11.66795808
96,11.86552982
98,11.9934005
100,12.08397636
102,12.15724182
106,12.28606682
110,12.41004588
114,12.53399993
118,12.65800481
122,12.78200349
126,12.90600262
130,13.03000195
134,13.15400138
138,13.27800094
142,13.4020006
146,13.52600037
150,13.65000029
