ZONE,T="TIME=3.162240000000e+07"
50,8.998372659
51,9.036592448
52,9.086610051
53,9.142360636
54,9.198003649
55,9.250162453
56,9.297832791
57,9.341301671
58,9.381292539
59,9.418583561
60,9.453866553
61,9.487705963
62,9.520538799
63,9.552690146
64,9.584393455
65,9.615810825
66,9.647051068
67,9.678184682
68,9.709255505
69,9.740289231
70,9.771299113
71,9.802289217
72,9.833255478
73,9.864184641
74,9.895051015
75,9.925810761
76,9.956393382
77,9.986690065
78,10.01653871
79,10.04570587
80,10.07386646
81,10.10058347
82,10.12529245
83,10.14730158
84,10.1658327
85,10.18016237
86,10.19000357
87,10.19636056
88,10.20260998
89,10.21459237
90,10.23837259
