ZONE,T="TIME=9.486720000000e+08"
0,8.592357393
0.1,8.595452195
0.2,8.598536603
0.3,8.601610617
0.4,8.604674235
0.5,8.607727458
0.6,8.610770285
0.7,8.613802716
0.8,8.61682475
0.9,8.619836387
1,8.622837626
1.1,8.625828465
1.2,8.628808905
1.3,8.631778944
1.4,8.634738581
1.5,8.637687815
1.6,8.640626644
1.7,8.643555068
1.8,8.646473084
1.9,8.649380692
2,8.65227789
2.1,8.655164675
2.2,8.658041047
2.3,8.660907003
2.4,8.663762541
2.5,8.66660766
2.6,8.669442357
2.7,8.672266629
2.8,8.675080476
2.9,8.677883894
3,8.680676881
3.1,8.683459434
3.2,8.68623155
3.3,8.688993228
3.4,8.691744463
3.5,8.694485254
3.6,8.697215597
3.7,8.699935489
3.8,8.702644927
3.9,8.705343908
4,8.708032428
4.1,8.710710484
4.2,8.713378072
4.3,8.716035189
4.4,8.718681831
4.5,8.721317995
4.6,8.723943677
4.7,8.726558871
4.8,8.729163576
4.9,8.731757786
5,8.734341497
5.1,8.736914706
5.2,8.739477407
5.3,8.742029596
5.4,8.744571269
5.5,8.747102421
5.6,8.749623047
5.7,8.752133144
5.8,8.754632704
5.9,8.757121725
6,8.7596002
6.1,8.762068125
6.2,8.764525495
6.3,8.766972303
6.4,8.769408545
6.5,8.771834216
6.6,8.774249309
6.7,8.77665382
6.8,8.779047742
6.9,8.78143107
7,8.783803797
7.1,8.786165919
7.2,8.788517428
7.3,8.790858319
7.4,8.793188585
7.5,8.795508221
7.6,8.797817219
7.7,8.800115574
7.8,8.802403278
7.9,8.804680326
8,8.80694671
8.1,8.809202425
8.2,8.811447462
8.3,8.813681815
8.4,8.815905476
8.5,8.81811844
8.6,8.820320699
8.7,8.822512244
8.8,8.82469307
8.9,8.826863169
9,8.829022532
9.1,8.831171153
9.2,8.833309024
9.3,8.835436137
9.4,8.837552484
9.5,8.839658058
9.6,8.84175285
9.7,8.843836852
9.8,8.845910056
9.9,8.847972455
10,8.850024039
10.1,8.8520648
10.2,8.85409473
10.3,8.85611382
10.4,8.858122062
10.5,8.860119447
10.6,8.862105965
10.7,8.86408161
10.8,8.86604637
10.9,8.868000238
11,8.869943204
11.1,8.871875259
11.2,8.873796394
11.3,8.8757066
11.4,8.877605867
11.5,8.879494185
11.6,8.881371546
11.7,8.883237939
11.8,8.885093355
11.9,8.886937784
12,8.888771216
12.1,8.890593641
12.2,8.89240505
12.3,8.894205432
12.4,8.895994777
12.5,8.897773074
12.6,8.899540315
12.7,8.901296487
12.8,8.903041581
12.9,8.904775586
13,8.906498492
13.1,8.908210288
13.2,8.909910963
13.3,8.911600506
13.4,8.913278907
13.5,8.914946154
13.6,8.916602237
13.7,8.918247144
13.8,8.919880864
13.9,8.921503386
14,8.923114699
14.1,8.924714792
14.2,8.926303652
14.3,8.927881268
14.4,8.929447629
14.5,8.931002723
14.6,8.932546539
14.7,8.934079063
14.8,8.935600286
14.9,8.937110194
15,8.938608775
15.1,8.940096018
15.2,8.941571911
15.3,8.94303644
15.4,8.944489595
15.5,8.945931362
15.6,8.947361729
15.7,8.948780684
15.8,8.950188213
15.9,8.951584305
16,8.952968947
16.1,8.954342126
16.2,8.955703829
16.3,8.957054043
16.4,8.958392755
16.5,8.959719952
16.6,8.961035622
16.7,8.962339751
16.8,8.963632325
16.9,8.964913332
17,8.966182758
17.1,8.967440589
17.2,8.968686813
17.3,8.969921416
17.4,8.971144384
17.5,8.972355703
17.6,8.97355536
17.7,8.97474334
17.8,8.975919631
17.9,8.977084218
18,8.978237088
18.1,8.979378225
18.2,8.980507616
18.3,8.981625248
18.4,8.982731105
18.5,8.983825173
18.6,8.984907439
18.7,8.985977887
18.8,8.987036503
18.9,8.988083273
19,8.989118182
19.1,8.990141216
19.2,8.99115236
19.3,8.992151598
19.4,8.993138917
19.5,8.994114301
19.6,8.995077736
19.7,8.996029206
19.8,8.996968697
19.9,8.997896193
20,8.998811679
20.1,8.999715141
20.2,9.000606562
20.3,9.001485927
20.4,9.002353222
20.5,9.003208431
20.6,9.004051537
20.7,9.004882527
20.8,9.005701383
20.9,9.006508091
21,9.007302635
21.1,9.008084999
21.2,9.008855168
21.3,9.009613124
21.4,9.010358854
21.5,9.011092339
21.6,9.011813566
21.7,9.012522517
21.8,9.013219177
21.9,9.013903529
22,9.014575557
22.1,9.015235245
22.2,9.015882577
22.3,9.016517536
22.4,9.017140106
22.5,9.01775027
22.6,9.018348013
22.7,9.018933316
22.8,9.019506165
22.9,9.020066542
23,9.020614431
23.1,9.021149814
23.2,9.021672676
23.3,9.022182999
23.4,9.022680766
23.5,9.023165961
23.6,9.023638567
23.7,9.024098566
23.8,9.024545942
23.9,9.024980677
24,9.025402755
24.1,9.025812158
24.2,9.026208869
24.3,9.026592871
24.4,9.026964147
24.5,9.027322679
24.6,9.02766845
24.7,9.028001442
24.8,9.028321638
24.9,9.028629021
25,9.028923573
25.1,9.029205276
25.2,9.029474113
25.3,9.029730067
25.4,9.029973119
25.5,9.030203251
25.6,9.030420447
25.7,9.030624688
25.8,9.030815957
25.9,9.030994235
26,9.031159505
26.1,9.031311749
26.2,9.031450948
26.3,9.031577086
26.4,9.031690143
26.5,9.031790102
26.6,9.031876944
26.7,9.031950652
26.8,9.032011207
26.9,9.032058591
27,9.032092786
27.1,9.032113774
27.2,9.032121536
27.3,9.032116053
27.4,9.032097309
27.5,9.032065283
27.6,9.032019959
27.7,9.031961316
27.8,9.031889338
27.9,9.031804005
28,9.031705298
28.1,9.0315932
28.2,9.031467691
28.3,9.031328754
28.4,9.031176368
28.5,9.031010517
28.6,9.03083118
28.7,9.03063834
28.8,9.030431977
28.9,9.030212073
29,9.029978608
29.1,9.029731565
29.2,9.029470924
29.3,9.029196666
29.4,9.028908773
29.5,9.028607225
29.6,9.028292004
29.7,9.02796309
29.8,9.027620465
29.9,9.027264109
30,9.026894004
30.1,9.026510131
30.2,9.02611247
30.3,9.025701002
30.4,9.025275709
30.5,9.024836571
30.6,9.024383568
30.7,9.023916683
30.8,9.023435895
30.9,9.022941185
31,9.022432535
31.1,9.021909924
31.2,9.021373334
31.3,9.020822746
31.4,9.020258139
31.5,9.019679496
31.6,9.019086796
31.7,9.01848002
31.8,9.017859148
31.9,9.017224163
32,9.016575043
32.1,9.01591177
32.2,9.015234325
32.3,9.014542687
32.4,9.013836837
32.5,9.013116757
32.6,9.012382426
32.7,9.011633826
32.8,9.010870936
32.9,9.010093737
33,9.00930221
33.1,9.008496336
33.2,9.007676093
33.3,9.006841465
33.4,9.005992429
33.5,9.005128968
33.6,9.004251062
33.7,9.003358691
33.8,9.002451835
33.9,9.001530475
34,9.000594592
34.1,8.999644165
34.2,8.998679176
34.3,8.997699604
34.4,8.996705431
34.5,8.995696636
34.6,8.994673201
34.7,8.993635104
34.8,8.992582328
34.9,8.991514852
35,8.990432656
35.1,8.989335722
35.2,8.988224029
35.3,8.987097558
35.4,8.985956289
