ZONE,T="TIME=9.486720000000e+08"
50,6.009182065
50.1,6.012307762
50.2,6.015433331
50.3,6.018558771
50.4,6.021684082
50.5,6.024809265
50.6,6.027934318
50.7,6.031059243
50.8,6.034184039
50.9,6.037308706
51,6.040433245
51.1,6.043557654
51.2,6.046681935
51.3,6.049806087
51.4,6.05293011
51.5,6.056054004
51.6,6.05917777
51.7,6.062301406
51.8,6.065424914
51.9,6.068548293
52,6.071671543
52.1,6.074794665
52.2,6.077917658
52.3,6.081040521
52.4,6.084163256
52.5,6.087285863
52.6,6.09040834
52.7,6.093530688
52.8,6.096652908
52.9,6.099774999
53,6.102896961
53.1,6.106018795
53.2,6.109140499
53.3,6.112262075
53.4,6.115383522
53.5,6.11850484
53.6,6.121626029
53.7,6.12474709
53.8,6.127868021
53.9,6.130988824
54,6.134109498
54.1,6.137230043
54.2,6.14035046
54.3,6.143470747
54.4,6.146590906
54.5,6.149710936
54.6,6.152830837
54.7,6.15595061
54.8,6.159070253
54.9,6.162189768
55,6.165309154
55.1,6.168428411
55.2,6.171547539
55.3,6.174666539
55.4,6.17778541
55.5,6.180904152
55.6,6.184022765
55.7,6.187141249
55.8,6.190259604
55.9,6.193377831
56,6.196495929
56.1,6.199613898
56.2,6.202731738
56.3,6.205849449
56.4,6.208967032
56.5,6.212084486
56.6,6.215201811
56.7,6.218319007
56.8,6.221436074
56.9,6.224553013
57,6.227669823
57.1,6.230786504
57.2,6.233903056
57.3,6.237019479
57.4,6.240135773
57.5,6.243251939
57.6,6.246367976
57.7,6.249483884
57.8,6.252599663
57.9,6.255715314
58,6.258830835
58.1,6.261946228
58.2,6.265061492
58.3,6.268176627
58.4,6.271291634
58.5,6.274406511
58.6,6.27752126
58.7,6.28063588
58.8,6.283750371
58.9,6.286864734
59,6.289978967
59.1,6.293093072
59.2,6.296207048
59.3,6.299320895
59.4,6.302434613
59.5,6.305548203
59.6,6.308661663
59.7,6.311774995
59.8,6.314888198
59.9,6.318001272
60,6.321114218
60.1,6.324227034
60.2,6.327339722
60.3,6.330452281
60.4,6.333564711
60.5,6.336677013
60.6,6.339789185
60.7,6.342901229
60.8,6.346013144
60.9,6.34912493
61,6.352236587
61.1,6.355348116
61.2,6.358459516
61.3,6.361570787
61.4,6.364681929
61.5,6.367792942
61.6,6.370903826
61.7,6.374014582
61.8,6.377125209
61.9,6.380235707
62,6.383346076
62.1,6.386456317
62.2,6.389566428
62.3,6.392676411
62.4,6.395786265
62.5,6.39889599
62.6,6.402005586
62.7,6.405115054
62.8,6.408224393
62.9,6.411333603
63,6.414442684
63.1,6.417551636
63.2,6.42066046
63.3,6.423769154
63.4,6.42687772
63.5,6.429986157
63.6,6.433094466
63.7,6.436202645
63.8,6.439310696
63.9,6.442418617
64,6.44552641
64.1,6.448634075
64.2,6.45174161
64.3,6.454849017
64.4,6.457956294
64.5,6.461063443
64.6,6.464170464
64.7,6.467277355
64.8,6.470384117
64.9,6.473490751
65,6.476597256
65.1,6.479703632
65.2,6.482809879
65.3,6.485915998
65.4,6.489021988
65.5,6.492127848
65.6,6.495233581
65.7,6.498339184
65.8,6.501444658
65.9,6.504550004
66,6.507655221
66.1,6.510760309
66.2,6.513865268
66.3,6.516970098
66.4,6.5200748
66.5,6.523179373
66.6,6.526283817
66.7,6.529388132
66.8,6.532492318
66.9,6.535596376
67,6.538700304
67.1,6.541804104
67.2,6.544907775
67.3,6.548011318
67.4,6.551114731
