ZONE,T="TIME=9.462000000000e+08"
0,8.911566628
2,8.973033576
4,9.033430972
6,9.092748513
8,9.150969183
10,9.208069492
12,9.264019859
14,9.318785157
16,9.372325482
18,9.424597225
20,9.47555451
22,9.525151129
24,9.573343076
26,9.620091826
28,9.665368499
30,9.709159002
32,9.751470182
34,9.79233689
36,9.831829669
38,9.870062497
40,9.907199705
42,9.943460929
44,9.979122796
46,10.01451623
48,10.0500187
50,10.08604162
51,10.10438218
52,10.12301422
53,10.1419912
54,10.16136539
55,10.18118731
56,10.20150529
57,10.22236511
58,10.2438096
59,10.2658785
60,10.28860821
61,10.31203174
62,10.33617866
63,10.36107511
64,10.38674386
65,10.41320439
66,10.44047296
67,10.46856275
68,10.4974839
69,10.52724362
70,10.55784627
71,10.58929337
72,10.62158362
73,10.65471292
74,10.68867428
75,10.72345779
76,10.75905054
77,10.79543649
78,10.83259643
79,10.87050783
80,10.90914483
81,10.9484781
82,10.98847493
83,11.02909918
84,11.07031143
85,11.11206911
86,11.15432678
87,11.19703642
88,11.24014783
89,11.28360911
90,11.32736715
92,11.41555873
94,11.50429653
96,11.59317258
98,11.6818132
100,11.76989168
102,11.85713612
106,12.02834708
110,12.19438828
114,12.35486888
118,12.50986921
122,12.6597357
126,12.8049307
130,12.945937
134,13.08320262
138,13.21711144
142,13.34796874
146,13.47599471
150,13.60132195
