ZONE,T="TIME=9.462000000000e+08"
50,9.455956367
51,9.486966873
52,9.5179981
53,9.549049182
54,9.580118711
55,9.611204788
56,9.642305088
57,9.673416939
58,9.704537407
59,9.735663389
60,9.766791699
61,9.797919153
62,9.829042655
63,9.860159259
64,9.891266241
65,9.922361142
66,9.953441819
67,9.984506477
68,10.01555369
69,10.04658244
70,10.07759209
71,10.10858244
72,10.13955369
73,10.17050648
74,10.20144182
75,10.23236114
76,10.26326624
77,10.29415926
78,10.32504265
79,10.35591915
80,10.3867917
81,10.41766339
82,10.44853741
83,10.47941694
84,10.51030509
85,10.54120479
86,10.57211871
87,10.60304918
88,10.6339981
89,10.66496687
90,10.69595637
