ZONE,T="TIME=9.486720000000e+08"
0,3.126172615
0.1,3.13535681
0.2,3.156176989
0.3,3.18785485
0.4,3.229639073
0.5,3.280805161
0.6,3.340655238
0.7,3.408517801
0.8,3.483747437
0.9,3.5657245
1,3.653854759
1.1,3.747569009
1.2,3.846322667
1.3,3.949595327
1.4,4.056890306
1.5,4.167734165
1.6,4.281676208
1.7,4.398287974
1.8,4.517162708
1.9,4.637914826
2,4.760179365
2.1,4.88361143
2.2,5.007885632
2.3,5.132695519
2.4,5.257753013
2.5,5.38278783
2.6,5.507546916
2.7,5.631793869
2.8,5.755308374
2.9,5.877885636
3,5.999335814
3.1,6.119483466
3.2,6.238166995
3.3,6.355238105
3.4,6.47056126
3.5,6.584013154
3.6,6.695482187
3.7,6.804867956
3.8,6.912080745
3.9,7.017041033
4,7.119679012
4.1,7.21993411
4.2,7.317754534
4.3,7.413096811
4.4,7.505925358
4.5,7.596212044
4.6,7.683935781
4.7,7.769082118
4.8,7.851642846
4.9,7.931615619
5,8.009003587
5.1,8.083815038
5.2,8.156063055
5.3,8.225765182
5.4,8.292943104
5.5,8.357622341
5.6,8.419831946
5.7,8.479604225
5.8,8.536974458
5.9,8.591980641
6,8.644663231
6.1,8.695064906
6.2,8.743230338
6.3,8.789205967
6.4,8.833039798
6.5,8.874781201
6.6,8.914480718
6.7,8.952189885
6.8,8.987961066
6.9,9.021847285
7,9.053902077
7.1,9.084179347
7.2,9.112733229
7.3,9.139617963
7.4,9.164887775
7.5,9.188596764
7.6,9.2107988
7.7,9.231547425
7.8,9.250895762
7.9,9.268896434
8,9.285601484
8.1,9.301062307
8.2,9.315329581
8.3,9.328453209
8.4,9.340482266
8.5,9.351464948
8.6,9.361448527
8.7,9.370479317
8.8,9.378602632
8.9,9.38586276
9,9.392302934
9.1,9.397965312
9.2,9.402890955
9.3,9.407119814
9.4,9.410690715
9.5,9.413641355
9.6,9.416008288
9.7,9.417826931
9.8,9.419131554
9.9,9.419955287
10,9.420330125
10.1,9.420286928
10.2,9.419855435
10.3,9.419064272
10.4,9.41794096
10.5,9.416511933
10.6,9.414802551
10.7,9.412837112
10.8,9.410638875
10.9,9.408230073
11,9.405631937
11.1,9.40286471
11.2,9.399947671
11.3,9.396899158
11.4,9.393736585
11.5,9.390476471
11.6,9.387134457
11.7,9.38372533
11.8,9.380263053
11.9,9.376760779
12,9.373230882
12.1,9.36968498
12.2,9.366133955
12.3,9.362587983
12.4,9.359056554
12.5,9.355548494
12.6,9.352071997
12.7,9.348634639
12.8,9.345243406
12.9,9.341904719
13,9.338624452
13.1,9.335407957
13.2,9.332260088
13.3,9.329185218
13.4,9.326187264
13.5,9.323269708
13.6,9.320435615
13.7,9.317687656
13.8,9.315028124
13.9,9.312458958
14,9.309981757
14.1,9.307597801
14.2,9.305308068
14.3,9.30311325
14.4,9.301013771
14.5,9.299009804
14.6,9.297101285
14.7,9.295287928
14.8,9.293569242
14.9,9.291944541
15,9.290412962
15.1,9.288973477
15.2,9.287624903
15.3,9.286365918
15.4,9.28519507
15.5,9.284110788
15.6,9.283111397
15.7,9.282195121
15.8,9.281360101
15.9,9.280604398
16,9.279926004
16.1,9.279322852
16.2,9.278792823
16.3,9.278333751
16.4,9.277943438
16.5,9.27761965
16.6,9.277360133
16.7,9.277162615
16.8,9.277024811
16.9,9.276944432
17,9.276919186
17.1,9.276946785
17.2,9.27702495
17.3,9.277151413
17.4,9.277323924
17.5,9.277540253
17.6,9.27779819
17.7,9.278095556
17.8,9.278430198
17.9,9.278799995
18,9.279202862
18.1,9.279636748
18.2,9.280099641
18.3,9.28058957
18.4,9.281104604
18.5,9.281642855
18.6,9.282202479
18.7,9.282781678
18.8,9.283378699
18.9,9.283991835
19,9.284619426
19.1,9.285259861
19.2,9.285911576
19.3,9.286573054
19.4,9.287242827
19.5,9.287919476
19.6,9.288601627
19.7,9.289287957
19.8,9.289977188
19.9,9.29066809
20,9.291359479
20.1,9.292050218
20.2,9.292739214
20.3,9.293425419
20.4,9.294107831
20.5,9.294785488
20.6,9.295457474
20.7,9.296122912
20.8,9.296780966
20.9,9.297430843
21,9.298071785
21.1,9.298703075
21.2,9.299324031
21.3,9.299934009
21.4,9.300532399
21.5,9.301118626
21.6,9.301692147
21.7,9.302252453
21.8,9.302799064
21.9,9.303331532
22,9.303849437
22.1,9.304352387
22.2,9.304840018
22.3,9.305311992
22.4,9.305767996
22.5,9.30620774
22.6,9.306630959
