ZONE,T="TIME=9.486720000000e+08"
0,7.158061874
0.1,7.161139471
0.2,7.16417226
0.3,7.167160243
0.4,7.170103416
0.5,7.17300178
0.6,7.175855332
0.7,7.17866407
0.8,7.181427992
0.9,7.184147094
1,7.186821373
1.1,7.189450826
1.2,7.192035448
1.3,7.194575235
1.4,7.197070181
1.5,7.199520281
1.6,7.201925531
1.7,7.204285922
1.8,7.206601449
1.9,7.208872106
2,7.211097883
2.1,7.213278775
2.2,7.215414772
2.3,7.217505866
2.4,7.219552049
2.5,7.22155331
2.6,7.223509641
2.7,7.22542103
2.8,7.227287468
2.9,7.229108943
3,7.230885445
3.1,7.232616961
3.2,7.23430348
3.3,7.235944989
3.4,7.237541475
3.5,7.239092925
3.6,7.240599324
3.7,7.24206066
3.8,7.243476918
3.9,7.244848082
4,7.246174138
4.1,7.24745507
4.2,7.248690862
4.3,7.249881497
4.4,7.25102696
4.5,7.252127231
4.6,7.253182294
4.7,7.254192132
4.8,7.255156725
4.9,7.256076054
5,7.256950102
5.1,7.257778847
5.2,7.258562271
5.3,7.259300352
5.4,7.259993071
5.5,7.260640406
5.6,7.261242336
5.7,7.261798838
5.8,7.262309891
5.9,7.262775472
6,7.263195557
6.1,7.263570124
6.2,7.263899149
6.3,7.264182607
6.4,7.264420475
6.5,7.264612726
6.6,7.264759336
6.7,7.26486028
6.8,7.26491553
6.9,7.26492506
7,7.264888845
7.1,7.264806855
7.2,7.264679065
7.3,7.264505445
7.4,7.264285968
7.5,7.264020605
7.6,7.263709326
7.7,7.263352102
7.8,7.262948904
7.9,7.262499701
8,7.262004462
8.1,7.261463156
8.2,7.260875753
8.3,7.26024222
8.4,7.259562525
8.5,7.258836635
8.6,7.258064519
8.7,7.257246142
8.8,7.256381472
8.9,7.255470473
9,7.254513112
9.1,7.253509354
9.2,7.252459164
9.3,7.251362507
9.4,7.250219346
9.5,7.249029646
9.6,7.24779337
9.7,7.246510481
9.8,7.245180941
9.9,7.243804714
10,7.242381761
10.1,7.240912044
10.2,7.239395524
10.3,7.237832162
10.4,7.236221919
10.5,7.234564754
10.6,7.232860628
10.7,7.231109501
10.8,7.229311331
10.9,7.227466076
11,7.225573697
11.1,7.223634149
11.2,7.221647393
11.3,7.219613384
11.4,7.217532079
11.5,7.215403436
11.6,7.21322741
11.7,7.211003959
11.8,7.208733036
11.9,7.206414598
12,7.204048599
12.1,7.201634995
12.2,7.199173739
12.3,7.196664784
12.4,7.194108086
12.5,7.191503596
12.6,7.188851268
12.7,7.186151055
12.8,7.183402907
12.9,7.180606778
13,7.177762619
13.1,7.174870381
13.2,7.171930015
13.3,7.168941471
13.4,7.165904699
13.5,7.16281965
13.6,7.159686272
13.7,7.156504515
13.8,7.153274328
13.9,7.14999566
14,7.146668457
14.1,7.14329267
14.2,7.139868244
14.3,7.136395127
14.4,7.132873265
14.5,7.129302607
14.6,7.125683097
14.7,7.122014681
14.8,7.118297306
14.9,7.114530916
15,7.110715457
15.1,7.106850873
15.2,7.102937108
15.3,7.098974106
15.4,7.094961811
15.5,7.090900167
15.6,7.086789116
15.7,7.082628602
15.8,7.078418566
15.9,7.074158951
16,7.069849699
16.1,7.06549075
16.2,7.061082048
16.3,7.056623531
16.4,7.052115141
16.5,7.047556819
16.6,7.042948503
16.7,7.038290135
16.8,7.033581653
16.9,7.028822996
17,7.024014104
17.1,7.019154914
17.2,7.014245365
17.3,7.009285396
17.4,7.004274943
17.5,6.999213943
17.6,6.994102335
17.7,6.988940055
17.8,6.983727038
17.9,6.978463223
18,6.973148543
18.1,6.967782936
18.2,6.962366336
18.3,6.956898678
18.4,6.951379898
18.5,6.94580993
18.6,6.940188707
18.7,6.934516165
18.8,6.928792236
18.9,6.923016854
19,6.917189953
19.1,6.911311464
19.2,6.905381322
19.3,6.899399457
19.4,6.893365803
19.5,6.88728029
19.6,6.881142852
19.7,6.874953418
19.8,6.868711919
19.9,6.862418288
20,6.856072453
20.1,6.849674346
20.2,6.843223896
20.3,6.836721034
20.4,6.830165687
20.5,6.823557787
20.6,6.816897262
20.7,6.81018404
20.8,6.80341805
20.9,6.79659922
21,6.789727479
21.1,6.782802753
21.2,6.775824972
21.3,6.768794061
21.4,6.761709948
21.5,6.754572559
21.6,6.747381822
21.7,6.740137662
21.8,6.732840006
21.9,6.725488779
22,6.718083908
22.1,6.710625317
22.2,6.703112932
22.3,6.695546677
22.4,6.687926478
22.5,6.680252259
22.6,6.672523943
22.7,6.664741457
22.8,6.656904722
22.9,6.649013662
23,6.641068202
23.1,6.633068264
23.2,6.625013772
23.3,6.616904647
23.4,6.608740813
23.5,6.600522192
23.6,6.592248706
23.7,6.583920277
23.8,6.575536826
23.9,6.567098276
24,6.558604548
24.1,6.550055562
24.2,6.54145124
24.3,6.532791503
24.4,6.52407627
24.5,6.515305463
24.6,6.506479001
24.7,6.497596805
24.8,6.488658794
24.9,6.479664887
25,6.470615005
25.1,6.461509067
25.2,6.45234699
25.3,6.443128696
25.4,6.433854101
25.5,6.424523125
25.6,6.415135686
25.7,6.405691702
25.8,6.396191091
25.9,6.38663377
26,6.377019659
26.1,6.367348673
26.2,6.357620731
26.3,6.347835749
26.4,6.337993645
26.5,6.328094334
26.6,6.318137735
26.7,6.308123764
26.8,6.298052336
26.9,6.287923368
27,6.277736776
27.1,6.267492476
27.2,6.257190384
27.3,6.246830416
27.4,6.236412486
27.5,6.22593651
27.6,6.215402403
27.7,6.204810081
27.8,6.194159458
27.9,6.183450448
28,6.172682968
28.1,6.16185693
28.2,6.150972249
28.3,6.140028841
28.4,6.129026618
28.5,6.117965494
28.6,6.106845384
28.7,6.095666201
28.8,6.084427859
28.9,6.073130271
29,6.061773351
29.1,6.050357011
29.2,6.038881166
29.3,6.027345727
29.4,6.015750608
29.5,6.004095722
29.6,5.992380981
29.7,5.980606298
29.8,5.968771585
29.9,5.956876755
30,5.94492172
30.1,5.932906391
30.2,5.920830682
30.3,5.908694505
30.4,5.89649777
30.5,5.884240389
30.6,5.871922276
30.7,5.85954334
30.8,5.847103494
30.9,5.834602648
31,5.822040715
31.1,5.809417606
31.2,5.796733231
31.3,5.783987502
31.4,5.77118033
31.5,5.758311626
31.6,5.745381301
31.7,5.732389265
31.8,5.719335429
31.9,5.706219704
32,5.693042001
32.1,5.679802229
32.2,5.6665003
32.3,5.653136124
32.4,5.639709612
32.5,5.626220672
32.6,5.612669217
32.7,5.599055156
32.8,5.585378399
32.9,5.571638856
33,5.557836437
33.1,5.543971053
33.2,5.530042613
33.3,5.516051027
33.4,5.501996205
33.5,5.487878056
33.6,5.473696492
33.7,5.459451421
33.8,5.445142753
33.9,5.430770397
34,5.416334265
34.1,5.401834264
34.2,5.387270305
34.3,5.372642298
34.4,5.357950151
34.5,5.343193775
34.6,5.328373078
34.7,5.313487972
34.8,5.298538364
34.9,5.283524164
35,5.268445283
35.1,5.253301629
35.2,5.238093111
35.3,5.22281964
35.4,5.207481125
35.5,5.192077475
35.6,5.1766086
35.7,5.161074408
35.8,5.14547481
35.9,5.129809715
36,5.114079033
36.1,5.098282672
36.2,5.082420543
36.3,5.066492555
36.4,5.050498617
36.5,5.034438639
36.6,5.018312531
36.7,5.002120201
36.8,4.98586156
36.9,4.969536518
37,4.953144983
37.1,4.936686866
37.2,4.920162076
37.3,4.903570523
37.4,4.886912117
37.5,4.870186768
37.6,4.853394385
37.7,4.836534878
37.8,4.819608157
37.9,4.802614132
38,4.785552714
38.1,4.768423811
38.2,4.751227335
38.3,4.733963195
38.4,4.716631302
38.5,4.699231566
38.6,4.681763897
38.7,4.664228206
38.8,4.646624402
38.9,4.628952397
39,4.611212101
39.1,4.593403425
39.2,4.575526278
39.3,4.557580573
39.4,4.53956622
39.5,4.52148313
39.6,4.503331213
39.7,4.485110381
39.8,4.466820545
39.9,4.448461616
40,4.430033506
40.1,4.411536125
40.2,4.392969385
40.3,4.374333199
40.4,4.355627476
40.5,4.33685213
40.6,4.318007071
40.7,4.299092213
40.8,4.280107466
40.9,4.261052743
41,4.241927956
41.1,4.222733018
41.2,4.203467841
41.3,4.184132336
41.4,4.164726418
41.5,4.145249999
41.6,4.125702991
41.7,4.106085308
41.8,4.086396862
41.9,4.066637567
42,4.046807336
42.1,4.026906082
42.2,4.006933719
42.3,3.986890162
42.4,3.966775322
42.5,3.946589115
42.6,3.926331455
42.7,3.906002255
42.8,3.88560143
42.9,3.865128895
43,3.844584563
43.1,3.823968351
43.2,3.803280172
43.3,3.782519941
43.4,3.761687574
43.5,3.740782987
43.6,3.719806094
43.7,3.698756811
43.8,3.677635053
43.9,3.656440738
44,3.63517378
44.1,3.613834097
44.2,3.592421603
44.3,3.570936217
44.4,3.549377854
44.5,3.527746432
44.6,3.506041867
44.7,3.484264077
44.8,3.462412979
44.9,3.44048849
45,3.418490529
45.1,3.396419012
45.2,3.374273859
45.3,3.352054987
45.4,3.329762315
45.5,3.307395761
45.6,3.284955245
45.7,3.262440684
45.8,3.239851999
45.9,3.217189108
46,3.194451931
46.1,3.171640388
46.2,3.148754398
46.3,3.125793883
46.4,3.102758761
46.5,3.079648954
46.6,3.056464381
46.7,3.033204965
46.8,3.009870627
46.9,2.986461286
47,2.962976866
47.1,2.939417287
47.2,2.915782472
47.3,2.892072343
47.4,2.868286822
47.5,2.844425831
47.6,2.820489294
47.7,2.796477133
47.8,2.772389272
47.9,2.748225634
48,2.723986143
48.1,2.699670723
48.2,2.675279297
48.3,2.65081179
48.4,2.626268127
48.5,2.601648233
48.6,2.576952032
48.7,2.55217945
48.8,2.527330412
48.9,2.502404844
49,2.477402673
49.1,2.452323823
49.2,2.427168223
49.3,2.401935797
49.4,2.376626475
49.5,2.351240182
49.6,2.325776846
49.7,2.300236395
49.8,2.274618756
49.9,2.248923859
50,2.223151631
50.1,2.197528708
