ZONE,T="TIME=9.486720000000e+08"
50,-9.429598922
50.1,-9.426385852
50.2,-9.423173349
50.3,-9.419961413
50.4,-9.416750044
50.5,-9.413539241
50.6,-9.410329006
50.7,-9.407119337
50.8,-9.403910234
50.9,-9.400701699
51,-9.39749373
51.1,-9.394286328
51.2,-9.391079493
51.3,-9.387873225
51.4,-9.384667523
51.5,-9.381462388
51.6,-9.37825782
51.7,-9.375053819
51.8,-9.371850384
51.9,-9.368647516
52,-9.365445215
52.1,-9.362243481
52.2,-9.359042313
52.3,-9.355841712
52.4,-9.352641678
52.5,-9.349442211
52.6,-9.346243311
52.7,-9.343044977
52.8,-9.33984721
52.9,-9.33665001
53,-9.333453376
53.1,-9.33025731
53.2,-9.32706181
53.3,-9.323866877
53.4,-9.32067251
53.5,-9.317478711
53.6,-9.314285478
53.7,-9.311092812
53.8,-9.307900713
53.9,-9.30470918
54,-9.301518214
54.1,-9.298327815
54.2,-9.295137983
54.3,-9.291948718
54.4,-9.288760019
54.5,-9.285571887
54.6,-9.282384322
54.7,-9.279197323
54.8,-9.276010892
54.9,-9.272825027
55,-9.269639729
55.1,-9.266454997
55.2,-9.263270833
55.3,-9.260087235
55.4,-9.256904204
55.5,-9.25372174
55.6,-9.250539842
55.7,-9.247358511
55.8,-9.244177747
55.9,-9.24099755
56,-9.23781792
56.1,-9.234638856
56.2,-9.231460359
56.3,-9.228282429
56.4,-9.225105065
56.5,-9.221928269
56.6,-9.218752039
56.7,-9.215576376
56.8,-9.212401279
56.9,-9.20922675
57,-9.206052787
57.1,-9.202879391
57.2,-9.199706562
57.3,-9.196534299
57.4,-9.193362603
57.5,-9.190191474
57.6,-9.187020912
57.7,-9.183850917
57.8,-9.180681488
57.9,-9.177512626
58,-9.174344331
58.1,-9.171176603
58.2,-9.168009441
58.3,-9.164842846
58.4,-9.161676818
58.5,-9.158511357
58.6,-9.155346462
58.7,-9.152182134
58.8,-9.149018373
58.9,-9.145855179
59,-9.142692551
59.1,-9.139530491
59.2,-9.136368997
59.3,-9.133208069
59.4,-9.130047709
59.5,-9.126887915
59.6,-9.123728688
59.7,-9.120570028
59.8,-9.117411935
59.9,-9.114254408
60,-9.111097448
60.1,-9.107941055
60.2,-9.104785229
60.3,-9.101629969
60.4,-9.098475276
60.5,-9.09532115
60.6,-9.092167591
60.7,-9.089014598
60.8,-9.085862173
60.9,-9.082710314
61,-9.079559021
61.1,-9.076408296
61.2,-9.073258137
61.3,-9.070108545
61.4,-9.06695952
61.5,-9.063811062
61.6,-9.06066317
61.7,-9.057515845
61.8,-9.054369087
61.9,-9.051222896
62,-9.048077271
62.1,-9.044932213
62.2,-9.041787722
62.3,-9.038643798
62.4,-9.035500441
62.5,-9.03235765
62.6,-9.029215426
62.7,-9.026073769
62.8,-9.022932678
62.9,-9.019792155
63,-9.016652198
63.1,-9.013512807
63.2,-9.010373984
63.3,-9.007235727
63.4,-9.004098038
63.5,-9.000960914
63.6,-8.997824358
63.7,-8.994688369
63.8,-8.991552946
63.9,-8.98841809
64,-8.9852838
64.1,-8.982150078
64.2,-8.979016922
64.3,-8.975884333
64.4,-8.972752311
64.5,-8.969620856
64.6,-8.966489967
64.7,-8.963359645
64.8,-8.96022989
64.9,-8.957100701
65,-8.95397208
65.1,-8.950844025
65.2,-8.947716537
65.3,-8.944589615
65.4,-8.941463261
65.5,-8.938337473
65.6,-8.935212252
65.7,-8.932087598
65.8,-8.92896351
65.9,-8.92583999
66,-8.922717036
66.1,-8.919594648
66.2,-8.916472828
66.3,-8.913351574
66.4,-8.910230887
66.5,-8.907110767
66.6,-8.903991214
66.7,-8.900872227
66.8,-8.897753807
66.9,-8.894635954
67,-8.891518668
67.1,-8.888401948
67.2,-8.885285795
67.3,-8.882170209
67.4,-8.87905519
67.5,-8.875940738
67.6,-8.872826852
67.7,-8.869713533
67.8,-8.866600781
67.9,-8.863488595
68,-8.860376977
68.1,-8.857265925
68.2,-8.85415544
68.3,-8.851045521
68.4,-8.84793617
68.5,-8.844827385
68.6,-8.841719167
68.7,-8.838611515
68.8,-8.835504431
68.9,-8.832397913
69,-8.829291962
69.1,-8.826186578
69.2,-8.82308176
69.3,-8.819977509
69.4,-8.816873825
69.5,-8.813770708
69.6,-8.810668158
69.7,-8.807566174
69.8,-8.804464757
69.9,-8.801363907
70,-8.798263624
70.1,-8.795163907
70.2,-8.792064757
70.3,-8.788966174
70.4,-8.785868158
70.5,-8.782770708
70.6,-8.779673825
70.7,-8.776577509
70.8,-8.77348176
70.9,-8.770386578
71,-8.767291962
71.1,-8.764197913
71.2,-8.761104431
71.3,-8.758011515
71.4,-8.754919167
71.5,-8.751827385
71.6,-8.74873617
71.7,-8.745645521
71.8,-8.74255544
71.9,-8.739465925
72,-8.736376977
72.1,-8.733288595
72.2,-8.730200781
72.3,-8.727113533
72.4,-8.724026852
72.5,-8.720940738
72.6,-8.71785519
72.7,-8.714770209
72.8,-8.711685795
72.9,-8.708601948
73,-8.705518668
73.1,-8.702435954
73.2,-8.699353807
73.3,-8.696272227
73.4,-8.693191214
73.5,-8.690110767
73.6,-8.687030887
73.7,-8.683951574
73.8,-8.680872828
73.9,-8.677794648
74,-8.674717036
74.1,-8.67163999
74.2,-8.66856351
74.3,-8.665487598
74.4,-8.662412252
74.5,-8.659337473
74.6,-8.656263261
74.7,-8.653189615
74.8,-8.650116537
74.9,-8.647044025
75,-8.64397208
75.1,-8.640900701
75.2,-8.63782989
75.3,-8.634759645
75.4,-8.631689967
75.5,-8.628620856
75.6,-8.625552311
75.7,-8.622484333
75.8,-8.619416922
75.9,-8.616350078
76,-8.6132838
76.1,-8.61021809
76.2,-8.607152946
76.3,-8.604088369
76.4,-8.601024358
76.5,-8.597960914
76.6,-8.594898038
76.7,-8.591835727
76.8,-8.588773984
76.9,-8.585712807
77,-8.582652198
77.1,-8.579592155
77.2,-8.576532678
77.3,-8.573473769
77.4,-8.570415426
77.5,-8.56735765
77.6,-8.564300441
77.7,-8.561243798
77.8,-8.558187722
77.9,-8.555132213
78,-8.552077271
78.1,-8.549022896
78.2,-8.545969087
78.3,-8.542915845
78.4,-8.53986317
78.5,-8.536811062
78.6,-8.53375952
78.7,-8.530708545
78.8,-8.527658137
78.9,-8.524608296
79,-8.521559021
79.1,-8.518510314
79.2,-8.515462173
79.3,-8.512414598
79.4,-8.509367591
79.5,-8.50632115
79.6,-8.503275276
79.7,-8.500229969
79.8,-8.497185229
79.9,-8.494141055
80,-8.491097448
80.1,-8.488054408
80.2,-8.485011935
80.3,-8.481970028
80.4,-8.478928688
80.5,-8.475887915
80.6,-8.472847709
80.7,-8.469808069
80.8,-8.466768997
80.9,-8.463730491
81,-8.460692551
81.1,-8.457655179
81.2,-8.454618373
81.3,-8.451582134
81.4,-8.448546462
81.5,-8.445511357
81.6,-8.442476818
81.7,-8.439442846
81.8,-8.436409441
81.9,-8.433376603
82,-8.430344331
82.1,-8.427312626
82.2,-8.424281488
82.3,-8.421250917
82.4,-8.418220912
82.5,-8.415191474
82.6,-8.412162603
82.7,-8.409134299
82.8,-8.406106562
82.9,-8.403079391
83,-8.400052787
83.1,-8.39702675
83.2,-8.394001279
83.3,-8.390976376
83.4,-8.387952039
83.5,-8.384928269
83.6,-8.381905065
83.7,-8.378882429
83.8,-8.375860359
83.9,-8.372838856
84,-8.36981792
84.1,-8.36679755
84.2,-8.363777747
84.3,-8.360758511
84.4,-8.357739842
84.5,-8.35472174
84.6,-8.351704204
84.7,-8.348687235
84.8,-8.345670833
84.9,-8.342654997
85,-8.339639729
85.1,-8.336625027
85.2,-8.333610892
85.3,-8.330597323
85.4,-8.327584322
85.5,-8.324571887
85.6,-8.321560019
85.7,-8.318548718
85.8,-8.315537983
85.9,-8.312527815
86,-8.309518214
86.1,-8.30650918
86.2,-8.303500713
86.3,-8.300492812
86.4,-8.297485478
86.5,-8.294478711
86.6,-8.29147251
86.7,-8.288466877
86.8,-8.28546181
86.9,-8.28245731
87,-8.279453376
87.1,-8.27645001
87.2,-8.27344721
87.3,-8.270444977
87.4,-8.267443311
87.5,-8.264442211
87.6,-8.261441678
87.7,-8.258441712
87.8,-8.255442313
87.9,-8.252443481
88,-8.249445215
88.1,-8.246447516
88.2,-8.243450384
88.3,-8.240453819
