ZONE,T="TIME=9.486720000000e+08"
0,9
0.1,8.993368526
0.2,8.986736886
0.3,8.980104913
0.4,8.97347244
0.5,8.9668393
0.6,8.960205327
0.7,8.953570355
0.8,8.946934217
0.9,8.940296745
1,8.933657774
1.1,8.927017137
1.2,8.920374667
1.3,8.913730198
1.4,8.907083563
1.5,8.900434596
1.6,8.89378313
1.7,8.887128998
1.8,8.880472033
1.9,8.87381207
2,8.867148942
2.1,8.860482482
2.2,8.853812523
2.3,8.847138899
2.4,8.840461444
2.5,8.83377999
2.6,8.827094372
2.7,8.820404423
2.8,8.813709975
2.9,8.807010864
3,8.800306922
3.1,8.793597982
3.2,8.786883879
3.3,8.780164445
3.4,8.773439515
3.5,8.766708921
3.6,8.759972498
3.7,8.753230079
3.8,8.746481496
3.9,8.739726585
4,8.732965178
4.1,8.72619711
4.2,8.719422213
4.3,8.712640321
4.4,8.705851268
4.5,8.699054888
4.6,8.692251013
4.7,8.685439479
4.8,8.678620117
4.9,8.671792763
5,8.66495725
5.1,8.65811341
5.2,8.651261079
5.3,8.64440009
5.4,8.637530276
5.5,8.630651472
5.6,8.62376351
5.7,8.616866226
5.8,8.609959451
5.9,8.603043021
6,8.59611677
6.1,8.58918053
6.2,8.582234136
6.3,8.575277421
6.4,8.56831022
6.5,8.561332367
6.6,8.554343695
6.7,8.547344038
6.8,8.54033323
6.9,8.533311105
7,8.526277497
7.1,8.51923224
7.2,8.512175168
7.3,8.505106115
7.4,8.498024916
7.5,8.490931403
7.6,8.483825412
7.7,8.476706775
7.8,8.469575329
7.9,8.462430906
8,8.45527334
8.1,8.448102467
8.2,8.440918119
8.3,8.433720132
8.4,8.426508339
8.5,8.419282575
8.6,8.412042675
8.7,8.404788471
8.8,8.397519799
8.9,8.390236494
9,8.382938389
9.1,8.375625318
9.2,8.368297117
9.3,8.36095362
9.4,8.353594661
9.5,8.346220074
9.6,8.338829695
9.7,8.331423357
9.8,8.324000896
9.9,8.316562146
10,8.309106941
10.1,8.301635117
10.2,8.294146507
10.3,8.286640948
10.4,8.279118272
10.5,8.271578316
10.6,8.264020914
10.7,8.2564459
10.8,8.24885311
10.9,8.241242379
11,8.233613541
11.1,8.225966431
11.2,8.218300885
11.3,8.210616737
11.4,8.202913823
11.5,8.195191977
11.6,8.187451035
11.7,8.179690832
11.8,8.171911203
11.9,8.164111983
12,8.156293007
12.1,8.148454111
