ZONE,T="TIME=9.486720000000e+08"
0,8.848565979
0.1,8.851661112
0.2,8.85474651
0.3,8.857822173
0.4,8.860888101
0.5,8.863944291
0.6,8.866990744
0.7,8.870027456
0.8,8.873054427
0.9,8.876071653
1,8.879079132
1.1,8.882076861
1.2,8.885064837
1.3,8.888043056
1.4,8.891011514
1.5,8.893970207
1.6,8.896919131
1.7,8.899858281
1.8,8.902787651
1.9,8.905707236
2,8.908617031
2.1,8.911517029
2.2,8.914407224
2.3,8.917287609
2.4,8.920158177
2.5,8.923018921
2.6,8.925869833
2.7,8.928710906
2.8,8.931542131
2.9,8.934363499
3,8.937175001
3.1,8.939976629
3.2,8.942768373
3.3,8.945550223
3.4,8.948322169
3.5,8.9510842
3.6,8.953836306
3.7,8.956578476
3.8,8.959310699
3.9,8.962032962
4,8.964745254
4.1,8.967447562
4.2,8.970139874
4.3,8.972822178
4.4,8.975494459
4.5,8.978156704
4.6,8.980808899
4.7,8.983451031
4.8,8.986083085
4.9,8.988705046
5,8.991316898
5.1,8.993918628
5.2,8.996510218
5.3,8.999091653
5.4,9.001662917
5.5,9.004223993
5.6,9.006774864
5.7,9.009315513
5.8,9.011845923
5.9,9.014366075
6,9.016875952
6.1,9.019375534
6.2,9.021864804
6.3,9.024343742
6.4,9.026812329
6.5,9.029270545
6.6,9.031718371
6.7,9.034155785
6.8,9.036582768
6.9,9.038999298
7,9.041405355
7.1,9.043800916
7.2,9.046185961
7.3,9.048560466
7.4,9.05092441
7.5,9.05327777
7.6,9.055620523
7.7,9.057952645
7.8,9.060274113
7.9,9.062584903
8,9.064884991
8.1,9.067174352
8.2,9.069452962
8.3,9.071720795
8.4,9.073977826
8.5,9.076224029
8.6,9.078459379
8.7,9.080683848
8.8,9.082897411
8.9,9.08510004
9,9.087291708
9.1,9.089472388
9.2,9.091642051
9.3,9.093800671
9.4,9.095948218
9.5,9.098084663
9.6,9.100209978
9.7,9.102324133
9.8,9.1044271
9.9,9.106518847
10,9.108599344
10.1,9.110668562
10.2,9.11272647
10.3,9.114773035
10.4,9.116808228
10.5,9.118832016
10.6,9.120844368
10.7,9.122845251
10.8,9.124834632
10.9,9.12681248
11,9.12877876
11.1,9.130733439
11.2,9.132676484
11.3,9.134607861
11.4,9.136527535
11.5,9.138435472
11.6,9.140331637
11.7,9.142215994
11.8,9.144088509
11.9,9.145949146
12,9.147797868
12.1,9.14963464
12.2,9.151459425
12.3,9.153272185
12.4,9.155072884
12.5,9.156861485
12.6,9.158637949
12.7,9.160402239
12.8,9.162154316
12.9,9.163894141
13,9.165621677
13.1,9.167336883
13.2,9.169039721
13.3,9.17073015
13.4,9.172408131
13.5,9.174073623
13.6,9.175726586
13.7,9.17736698
13.8,9.178994762
13.9,9.180609891
14,9.182212326
14.1,9.183802026
14.2,9.185378947
14.3,9.186943047
14.4,9.188494284
14.5,9.190032614
14.6,9.191557994
14.7,9.19307038
14.8,9.19456973
14.9,9.196055998
15,9.197529139
15.1,9.198989111
15.2,9.200435867
15.3,9.201869362
15.4,9.20328955
15.5,9.204696387
15.6,9.206089826
15.7,9.20746982
15.8,9.208836324
15.9,9.21018929
16,9.211528671
16.1,9.212854419
16.2,9.214166488
16.3,9.21546483
16.4,9.216749395
16.5,9.218020136
16.6,9.219277004
16.7,9.22051995
16.8,9.221748925
16.9,9.222963879
17,9.224164763
17.1,9.225351526
17.2,9.226524119
17.3,9.227682491
17.4,9.228826591
17.5,9.229956368
17.6,9.231071771
17.7,9.232172748
17.8,9.233259248
17.9,9.234331218
18,9.235388606
18.1,9.23643136
18.2,9.237459427
18.3,9.238472753
18.4,9.239471286
18.5,9.240454972
18.6,9.241423757
18.7,9.242377588
18.8,9.243316409
18.9,9.244240166
19,9.245148805
19.1,9.24604227
19.2,9.246920506
19.3,9.247783459
19.4,9.248631071
19.5,9.249463286
19.6,9.25028005
19.7,9.251081305
19.8,9.251866994
19.9,9.25263706
20,9.253391447
20.1,9.254130097
20.2,9.254852952
20.3,9.255559954
20.4,9.256251046
20.5,9.256926168
20.6,9.257585262
20.7,9.25822827
20.8,9.258855132
20.9,9.259465789
21,9.260060181
21.1,9.260638249
21.2,9.261199933
21.3,9.261745172
21.4,9.262273906
21.5,9.262786074
21.6,9.263281616
21.7,9.263760471
21.8,9.264222576
21.9,9.264667871
22,9.265096294
22.1,9.265507782
22.2,9.265902274
22.3,9.266279707
22.4,9.266640018
22.5,9.266983146
22.6,9.267309025
22.7,9.267617594
22.8,9.267908788
22.9,9.268182545
23,9.2684388
23.1,9.268677488
23.2,9.268898547
23.3,9.26910191
23.4,9.269287514
23.5,9.269455293
23.6,9.269605182
23.7,9.269737116
23.8,9.26985103
23.9,9.269946856
24,9.270024531
24.1,9.270083987
24.2,9.270125158
24.3,9.270147977
24.4,9.270152378
24.5,9.270138293
24.6,9.270105657
24.7,9.2700544
24.8,9.269984456
24.9,9.269895757
25,9.269788235
25.1,9.269661822
25.2,9.26951645
25.3,9.26935205
25.4,9.269168553
25.5,9.268965891
25.6,9.268743995
25.7,9.268502795
25.8,9.268242222
25.9,9.267962206
26,9.267662679
26.1,9.267343568
26.2,9.267004806
26.3,9.266646321
26.4,9.266268043
26.5,9.265869901
26.6,9.265451825
26.7,9.265013743
26.8,9.264555585
26.9,9.264077278
27,9.263578753
27.1,9.263059936
27.2,9.262520756
27.3,9.261961142
27.4,9.261381021
27.5,9.260780321
27.6,9.260158969
27.7,9.259516892
27.8,9.258854019
27.9,9.258170276
28,9.25746559
28.1,9.256739888
28.2,9.255993096
28.3,9.255225141
28.4,9.254435949
28.5,9.253625447
28.6,9.25279356
28.7,9.251940215
28.8,9.251065336
28.9,9.250168851
29,9.249250683
29.1,9.248310759
29.2,9.247349004
29.3,9.246365342
29.4,9.245359699
29.5,9.244331999
29.6,9.243282168
29.7,9.242210128
29.8,9.241115806
29.9,9.239999125
30,9.23886001
30.1,9.237698383
30.2,9.23651417
30.3,9.235307293
30.4,9.234077678
30.5,9.232825246
30.6,9.231549921
30.7,9.230251628
30.8,9.228930288
30.9,9.227585825
31,9.226218162
31.1,9.224827221
31.2,9.223412926
31.3,9.221975199
31.4,9.220513962
31.5,9.219029138
31.6,9.217520649
31.7,9.215988417
31.8,9.214432364
31.9,9.212852413
32,9.211248485
32.1,9.209620501
32.2,9.207968384
32.3,9.206292055
32.4,9.204591436
32.5,9.202866448
32.6,9.201117012
32.7,9.19934305
32.8,9.197544482
32.9,9.19572123
33,9.193873214
33.1,9.192000356
33.2,9.190102576
33.3,9.188179795
33.4,9.186231934
33.5,9.184258913
33.6,9.182260653
33.7,9.180237073
33.8,9.178188096
33.9,9.176113639
34,9.174013625
34.1,9.171887973
34.2,9.169736602
34.3,9.167559434
34.4,9.165356388
34.5,9.163127384
34.6,9.160872341
34.7,9.15859118
34.8,9.15628382
34.9,9.15395018
35,9.151590182
35.1,9.149203743
35.2,9.146790783
35.3,9.144351223
35.4,9.141884981
35.5,9.139391976
35.6,9.136872128
35.7,9.134325357
35.8,9.131751581
35.9,9.12915072
36,9.126522692
36.1,9.123867418
36.2,9.121184816
36.3,9.118474804
36.4,9.115737303
36.5,9.112972231
36.6,9.110179507
36.7,9.10735905
36.8,9.104510779
36.9,9.101634613
37,9.09873047
37.1,9.095798271
37.2,9.092837932
37.3,9.089849374
37.4,9.086832515
37.5,9.083787274
37.6,9.08071357
37.7,9.077611321
37.8,9.074480447
37.9,9.071320866
38,9.068132496
38.1,9.064915257
38.2,9.061669068
38.3,9.058393847
38.4,9.055089512
38.5,9.051755984
38.6,9.04839318
38.7,9.045001019
38.8,9.041579421
38.9,9.038128304
39,9.034647586
39.1,9.031137187
39.2,9.027597026
39.3,9.024027021
39.4,9.020427092
39.5,9.016797157
39.6,9.013137135
39.7,9.009446946
39.8,9.005726508
39.9,9.00197574
40,8.998194562
40.1,8.994382892
40.2,8.99054065
40.3,8.986667756
40.4,8.982764127
40.5,8.978829683
40.6,8.974864345
40.7,8.97086803
40.8,8.966840659
40.9,8.962782151
41,8.958692426
41.1,8.954571402
41.2,8.950419
41.3,8.946235139
41.4,8.94201974
41.5,8.937772721
41.6,8.933494002
41.7,8.929183504
41.8,8.924841147
41.9,8.92046685
42,8.916060534
42.1,8.911622118
42.2,8.907151524
42.3,8.902648671
42.4,8.898113479
42.5,8.89354587
42.6,8.888945763
42.7,8.88431308
42.8,8.879647741
42.9,8.874949666
43,8.870218777
43.1,8.865454995
43.2,8.860658241
43.3,8.855828435
43.4,8.8509655
43.5,8.846069356
43.6,8.841139924
43.7,8.836177127
43.8,8.831180887
43.9,8.826151123
44,8.82108776
44.1,8.815990717
44.2,8.810859919
44.3,8.805695286
44.4,8.800496741
44.5,8.795264206
44.6,8.789997604
44.7,8.784696857
44.8,8.779361889
44.9,8.773992621
45,8.768588978
45.1,8.763150881
45.2,8.757678255
45.3,8.752171023
45.4,8.746629107
45.5,8.741052432
45.6,8.735440922
45.7,8.7297945
45.8,8.72411309
45.9,8.718396616
46,8.712645004
46.1,8.706858176
46.2,8.701036058
46.3,8.695178575
46.4,8.689285651
46.5,8.683357212
46.6,8.677393181
46.7,8.671393486
46.8,8.665358051
46.9,8.659286802
47,8.653179665
47.1,8.647036565
47.2,8.640857429
47.3,8.634642183
47.4,8.628390754
47.5,8.622103067
47.6,8.615779051
47.7,8.609418631
47.8,8.603021735
47.9,8.59658829
48,8.590118224
48.1,8.583611465
48.2,8.577067939
48.3,8.570487575
48.4,8.563870302
48.5,8.557216048
48.6,8.55052474
48.7,8.543796309
48.8,8.537030683
48.9,8.53022779
49,8.523387561
49.1,8.516509925
49.2,8.509594811
49.3,8.50264215
49.4,8.495651872
49.5,8.488623906
49.6,8.481558184
49.7,8.474454636
49.8,8.467313193
49.9,8.460133786
50,8.452916347
50.1,8.445755268
50.2,8.43865048
50.3,8.431601916
50.4,8.424609508
50.5,8.417673189
50.6,8.41079289
50.7,8.403968545
50.8,8.397200087
50.9,8.39048745
51,8.383830566
51.1,8.37722937
51.2,8.370683795
51.3,8.364193776
51.4,8.357759248
51.5,8.351380144
51.6,8.345056401
51.7,8.338787952
51.8,8.332574734
51.9,8.326416683
52,8.320313733
52.1,8.314265822
