ZONE,T="TIME=9.486720000000e+08"
50,6.007750863
50.1,6.010897975
50.2,6.014044852
50.3,6.017191492
50.4,6.020337895
50.5,6.023484063
50.6,6.026629995
50.7,6.02977569
50.8,6.032921149
50.9,6.036066372
51,6.039211359
51.1,6.04235611
51.2,6.045500625
51.3,6.048644903
51.4,6.051788946
51.5,6.054932752
51.6,6.058076322
51.7,6.061219656
51.8,6.064362753
51.9,6.067505615
52,6.07064824
52.1,6.073790629
52.2,6.076932782
52.3,6.080074699
52.4,6.08321638
52.5,6.086357825
52.6,6.089499033
52.7,6.092640005
52.8,6.095780742
52.9,6.098921242
53,6.102061505
53.1,6.105201533
53.2,6.108341325
53.3,6.11148088
53.4,6.114620199
53.5,6.117759282
53.6,6.120898129
53.7,6.12403674
53.8,6.127175114
53.9,6.130313253
54,6.133451155
54.1,6.136588821
54.2,6.139726251
54.3,6.142863445
54.4,6.146000403
54.5,6.149137124
54.6,6.152273609
54.7,6.155409859
54.8,6.158545872
54.9,6.161681649
55,6.164817189
55.1,6.167952494
55.2,6.171087562
55.3,6.174222395
55.4,6.177356991
55.5,6.180491351
55.6,6.183625474
55.7,6.186759362
55.8,6.189893014
55.9,6.193026429
56,6.196159608
56.1,6.199292551
56.2,6.202425258
56.3,6.205557729
56.4,6.208689963
56.5,6.211821962
56.6,6.214953724
56.7,6.21808525
56.8,6.22121654
56.9,6.224347594
57,6.227478411
57.1,6.230608993
57.2,6.233739338
57.3,6.236869448
57.4,6.239999321
57.5,6.243128957
57.6,6.246258358
57.7,6.249387523
57.8,6.252516451
57.9,6.255645143
58,6.2587736
58.1,6.261901819
58.2,6.265029803
58.3,6.268157551
58.4,6.271285062
58.5,6.274412338
58.6,6.277539377
58.7,6.28066618
58.8,6.283792747
58.9,6.286919078
59,6.290045172
59.1,6.293171031
59.2,6.296296653
59.3,6.299422039
59.4,6.302547189
59.5,6.305672103
59.6,6.308796781
59.7,6.311921222
59.8,6.315045427
59.9,6.318169397
60,6.32129313
60.1,6.324416627
60.2,6.327539887
60.3,6.330662912
60.4,6.3337857
60.5,6.336908253
60.6,6.340030569
60.7,6.343152649
60.8,6.346274493
60.9,6.3493961
61,6.352517472
61.1,6.355638607
61.2,6.358759507
61.3,6.36188017
61.4,6.365000597
61.5,6.368120787
61.6,6.371240742
61.7,6.37436046
61.8,6.377479943
61.9,6.380599189
62,6.383718199
62.1,6.386836973
62.2,6.389955511
62.3,6.393073812
62.4,6.396191878
62.5,6.399309707
62.6,6.4024273
62.7,6.405544657
62.8,6.408661778
62.9,6.411778662
63,6.414895311
63.1,6.418011723
63.2,6.4211279
63.3,6.42424384
63.4,6.427359544
63.5,6.430475011
63.6,6.433590243
63.7,6.436705238
63.8,6.439819998
63.9,6.442934521
64,6.446048808
64.1,6.449162859
64.2,6.452276674
64.3,6.455390252
64.4,6.458503595
64.5,6.461616701
64.6,6.464729571
64.7,6.467842205
64.8,6.470954603
64.9,6.474066764
65,6.47717869
65.1,6.480290379
65.2,6.483401832
65.3,6.48651305
65.4,6.48962403
65.5,6.492734775
65.6,6.495845284
65.7,6.498955556
65.8,6.502065593
65.9,6.505175393
66,6.508284957
66.1,6.511394285
66.2,6.514503376
66.3,6.517612232
66.4,6.520720851
66.5,6.523829235
66.6,6.526937382
66.7,6.530045293
66.8,6.533152968
66.9,6.536260406
67,6.539367609
67.1,6.542474575
67.2,6.545581306
67.3,6.5486878
67.4,6.551794058
67.5,6.554900079
67.6,6.558005865
67.7,6.561111415
67.8,6.564216728
67.9,6.567321805
68,6.570426646
68.1,6.573531251
68.2,6.57663562
68.3,6.579739752
68.4,6.582843649
68.5,6.585947309
68.6,6.589050733
68.7,6.592153921
68.8,6.595256873
68.9,6.598359589
69,6.601462068
69.1,6.604564312
69.2,6.607666319
69.3,6.61076809
69.4,6.613869625
69.5,6.616970924
69.6,6.620071987
69.7,6.623172813
69.8,6.626273404
69.9,6.629373758
70,6.632473876
70.1,6.635573758
70.2,6.638673404
70.3,6.641772813
70.4,6.644871987
70.5,6.647970924
70.6,6.651069625
70.7,6.65416809
70.8,6.657266319
70.9,6.660364312
71,6.663462068
71.1,6.666559589
71.2,6.669656873
71.3,6.672753921
71.4,6.675850733
71.5,6.678947309
71.6,6.682043649
71.7,6.685139752
71.8,6.68823562
71.9,6.691331251
72,6.694426646
72.1,6.697521805
72.2,6.700616728
72.3,6.703711415
72.4,6.706805865
72.5,6.709900079
72.6,6.712994058
72.7,6.7160878
72.8,6.719181306
72.9,6.722274575
73,6.725367609
73.1,6.728460406
73.2,6.731552968
73.3,6.734645293
73.4,6.737737382
73.5,6.740829235
73.6,6.743920851
73.7,6.747012232
73.8,6.750103376
73.9,6.753194285
74,6.756284957
74.1,6.759375393
74.2,6.762465593
74.3,6.765555556
74.4,6.768645284
74.5,6.771734775
74.6,6.77482403
74.7,6.77791305
74.8,6.781001832
74.9,6.784090379
75,6.78717869
75.1,6.790266764
75.2,6.793354603
75.3,6.796442205
75.4,6.799529571
75.5,6.802616701
75.6,6.805703595
75.7,6.808790252
75.8,6.811876674
75.9,6.814962859
76,6.818048808
76.1,6.821134521
76.2,6.824219998
76.3,6.827305238
76.4,6.830390243
76.5,6.833475011
76.6,6.836559544
76.7,6.83964384
76.8,6.8427279
76.9,6.845811723
77,6.848895311
77.1,6.851978662
77.2,6.855061778
77.3,6.858144657
77.4,6.8612273
77.5,6.864309707
77.6,6.867391878
77.7,6.870473812
77.8,6.873555511
77.9,6.876636973
78,6.879718199
78.1,6.882799189
78.2,6.885879943
78.3,6.88896046
78.4,6.892040742
78.5,6.895120787
78.6,6.898200597
78.7,6.90128017
78.8,6.904359507
78.9,6.907438607
79,6.910517472
79.1,6.9135961
79.2,6.916674493
79.3,6.919752649
79.4,6.922830569
79.5,6.925908253
79.6,6.9289857
79.7,6.932062912
79.8,6.935139887
79.9,6.938216627
80,6.94129313
80.1,6.944369397
80.2,6.947445427
80.3,6.950521222
80.4,6.953596781
80.5,6.956672103
80.6,6.959747189
80.7,6.962822039
80.8,6.965896653
80.9,6.968971031
81,6.972045172
81.1,6.975119078
81.2,6.978192747
81.3,6.98126618
81.4,6.984339377
81.5,6.987412338
81.6,6.990485062
81.7,6.993557551
81.8,6.996629803
81.9,6.999701819
82,7.0027736
82.1,7.005845143
82.2,7.008916451
82.3,7.011987523
82.4,7.015058358
82.5,7.018128957
82.6,7.021199321
82.7,7.024269448
82.8,7.027339338
82.9,7.030408993
83,7.033478411
83.1,7.036547594
83.2,7.03961654
83.3,7.04268525
83.4,7.045753724
83.5,7.048821962
83.6,7.051889963
83.7,7.054957729
83.8,7.058025258
83.9,7.061092551
84,7.064159608
84.1,7.067226429
84.2,7.070293014
84.3,7.073359362
84.4,7.076425474
84.5,7.079491351
84.6,7.082556991
84.7,7.085622395
84.8,7.088687562
84.9,7.091752494
85,7.094817189
85.1,7.097881649
85.2,7.100945872
85.3,7.104009859
85.4,7.107073609
85.5,7.110137124
85.6,7.113200403
85.7,7.116263445
85.8,7.119326251
85.9,7.122388821
86,7.125451155
86.1,7.128513253
86.2,7.131575114
86.3,7.13463674
86.4,7.137698129
86.5,7.140759282
86.6,7.143820199
86.7,7.14688088
86.8,7.149941325
86.9,7.153001533
87,7.156061505
87.1,7.159121242
87.2,7.162180742
87.3,7.165240005
87.4,7.168299033
87.5,7.171357825
87.6,7.17441638
87.7,7.177474699
87.8,7.180532782
87.9,7.183590629
88,7.18664824
88.1,7.189705615
88.2,7.192762753
88.3,7.195819656
88.4,7.198876322
88.5,7.201932752
88.6,7.204988946
88.7,7.208044903
88.8,7.211100625
88.9,7.21415611
89,7.217211359
89.1,7.220266372
89.2,7.223321149
89.3,7.22637569
89.4,7.229429995
89.5,7.232484063
89.6,7.235537895
89.7,7.238591492
89.8,7.241644852
89.9,7.244697975
90,7.247750863
