ZONE,T="TIME=9.462000000000e+08"
0,8.953498386
2,9.014900235
4,9.07509721
6,9.134063666
8,9.191757117
10,9.248118652
12,9.303073585
14,9.356532423
16,9.408392244
18,9.458538624
20,9.506848285
22,9.553192653
24,9.597442584
26,9.639474495
28,9.679178161
30,9.71646636
32,9.751286448
34,9.783633678
36,9.813565745
38,9.841217495
40,9.866814201
42,9.890681278
44,9.913248093
46,9.935043788
48,9.956683899
50,9.978848048
51,9.990349553
52,10.00225115
53,10.01464244
54,10.02761107
55,10.04124182
56,10.05561579
57,10.07080968
58,10.08689526
59,10.10393894
60,10.12200149
61,10.14113788
62,10.16139721
63,10.18282278
64,10.2054522
65,10.22931752
66,10.25444543
67,10.28085745
68,10.3085701
69,10.33759508
70,10.36793935
71,10.39960526
72,10.43259051
73,10.46688819
74,10.50248664
75,10.53936941
76,10.577515
77,10.6168968
78,10.6574828
79,10.69923546
80,10.74211154
81,10.78606199
82,10.83103191
83,10.87696059
84,10.9237817
85,10.97142354
86,11.01980947
87,11.06885847
88,11.11848586
89,11.16860406
90,11.2191236
92,11.32100566
94,11.4234181
96,11.52568247
98,11.62718471
100,11.72739757
102,11.82589422
106,12.01659701
110,12.19789642
114,12.36957676
118,12.53223061
122,12.6868749
126,12.83467308
130,12.9767618
134,13.11415505
138,13.24769783
142,13.37804806
146,13.50567278
150,13.63085024
