ZONE,T="TIME=9.462000000000e+08"
50,9.300592305
51,9.331611564
52,9.362668804
53,9.393762439
54,9.424889888
55,9.45604767
56,9.487231522
57,9.518436548
58,9.54965737
59,9.580888298
60,9.612123492
61,9.643357119
62,9.674583499
63,9.705797237
64,9.736993335
65,9.76816729
66,9.799315173
67,9.830433691
68,9.861520238
69,9.892572927
70,9.923590617
71,9.954572927
72,9.985520238
73,10.01643369
74,10.04731517
75,10.07816729
76,10.10899333
77,10.13979724
78,10.1705835
79,10.20135712
80,10.23212349
81,10.2628883
82,10.29365737
83,10.32443655
84,10.35523152
85,10.38604767
86,10.41688989
87,10.44776244
88,10.4786688
89,10.50961156
90,10.5405923
