ZONE,T="TIME=9.486720000000e+08"
0,6.397223079
0.1,6.400308123
0.2,6.403363255
0.3,6.406388474
0.4,6.409383782
0.5,6.412349178
0.6,6.415284663
0.7,6.418190238
0.8,6.421065902
0.9,6.423911656
1,6.426727501
1.1,6.429513438
1.2,6.432269468
1.3,6.434995592
1.4,6.43769181
1.5,6.440358124
1.6,6.442994534
1.7,6.445601043
1.8,6.448177651
1.9,6.45072436
2,6.453241172
2.1,6.455728087
2.2,6.458185108
2.3,6.460612237
2.4,6.463009474
2.5,6.465376823
2.6,6.467714285
2.7,6.470021862
2.8,6.472299556
2.9,6.474547369
3,6.476765305
3.1,6.478953365
3.2,6.481111551
3.3,6.483239866
3.4,6.485338314
3.5,6.487406895
3.6,6.489445615
3.7,6.491454474
3.8,6.493433477
3.9,6.495382625
4,6.497301923
4.1,6.499191374
4.2,6.50105098
4.3,6.502880746
4.4,6.504680674
4.5,6.506450768
4.6,6.508191032
4.7,6.509901469
4.8,6.511582083
4.9,6.513232878
5,6.514853858
5.1,6.516445027
5.2,6.51800639
5.3,6.519537949
5.4,6.521039709
5.5,6.522511676
5.6,6.523953852
5.7,6.525366243
5.8,6.526748853
5.9,6.528101687
6,6.52942475
6.1,6.530718046
6.2,6.53198158
6.3,6.533215357
6.4,6.534419383
6.5,6.535593662
6.6,6.5367382
6.7,6.537853001
6.8,6.538938072
6.9,6.539993418
7,6.541019044
7.1,6.542014956
7.2,6.542981159
7.3,6.54391766
7.4,6.544824464
7.5,6.545701577
7.6,6.546549006
7.7,6.547366755
7.8,6.548154832
7.9,6.548913243
8,6.549641994
8.1,6.550341091
8.2,6.551010542
8.3,6.551650352
8.4,6.552260528
8.5,6.552841077
8.6,6.553392006
8.7,6.553913322
8.8,6.554405031
8.9,6.554867141
9,6.555299659
9.1,6.555702592
9.2,6.556075947
9.3,6.556419733
9.4,6.556733955
9.5,6.557018622
9.6,6.557273742
9.7,6.557499322
9.8,6.55769537
9.9,6.557861893
10,6.5579989
10.1,6.558157924
10.2,6.558338971
10.3,6.55854205
10.4,6.558767169
10.5,6.559014338
10.6,6.559283563
10.7,6.559574855
