ZONE,T="TIME=9.486720000000e+08"
10,4.769182064
10.1,4.772307761
10.2,4.77543333
10.3,4.77855877
10.4,4.781684082
10.5,4.784809264
10.6,4.787934317
10.7,4.791059242
10.8,4.794184038
10.9,4.797308705
11,4.800433244
11.1,4.803557653
11.2,4.806681934
11.3,4.809806086
11.4,4.812930109
11.5,4.816054003
11.6,4.819177769
11.7,4.822301405
11.8,4.825424913
11.9,4.828548292
12,4.831671543
12.1,4.834794664
12.2,4.837917657
12.3,4.84104052
12.4,4.844163255
12.5,4.847285862
12.6,4.850408339
12.7,4.853530688
12.8,4.856652907
12.9,4.859774998
13,4.86289696
13.1,4.866018794
13.2,4.869140498
13.3,4.872262074
13.4,4.875383521
13.5,4.878504839
13.6,4.881626028
13.7,4.884747089
13.8,4.88786802
13.9,4.890988823
14,4.894109497
14.1,4.897230043
14.2,4.900350459
14.3,4.903470747
14.4,4.906590905
14.5,4.909710935
14.6,4.912830836
14.7,4.915950609
14.8,4.919070252
14.9,4.922189767
15,4.925309153
15.1,4.92842841
15.2,4.931547539
15.3,4.934666538
15.4,4.937785409
15.5,4.940904151
15.6,4.944022764
15.7,4.947141248
15.8,4.950259603
15.9,4.95337783
16,4.956495928
16.1,4.959613897
16.2,4.962731737
16.3,4.965849449
16.4,4.968967031
16.5,4.972084485
16.6,4.97520181
16.7,4.978319006
16.8,4.981436073
16.9,4.984553012
17,4.987669822
17.1,4.990786503
17.2,4.993903055
17.3,4.997019478
17.4,5.000135772
17.5,5.003251938
17.6,5.006367975
17.7,5.009483883
17.8,5.012599662
17.9,5.015715313
18,5.018830834
18.1,5.021946227
18.2,5.025061491
18.3,5.028176626
18.4,5.031291633
18.5,5.03440651
18.6,5.037521259
18.7,5.040635879
18.8,5.04375037
18.9,5.046864733
19,5.049978966
19.1,5.053093071
19.2,5.056207047
19.3,5.059320894
19.4,5.062434612
19.5,5.065548202
19.6,5.068661662
19.7,5.071774994
19.8,5.074888197
19.9,5.078001271
20,5.081114217
20.1,5.084227033
20.2,5.087339721
20.3,5.09045228
20.4,5.09356471
20.5,5.096677012
20.6,5.099789184
20.7,5.102901228
20.8,5.106013143
20.9,5.109124929
21,5.112236587
21.1,5.115348115
21.2,5.118459515
21.3,5.121570786
21.4,5.124681928
21.5,5.127792941
21.6,5.130903825
21.7,5.134014581
21.8,5.137125208
21.9,5.140235706
22,5.143346075
22.1,5.146456316
22.2,5.149566427
22.3,5.15267641
22.4,5.155786264
22.5,5.158895989
22.6,5.162005585
22.7,5.165115053
22.8,5.168224392
22.9,5.171333602
23,5.174442683
23.1,5.177551635
23.2,5.180660459
23.3,5.183769153
23.4,5.186877719
23.5,5.189986156
23.6,5.193094465
23.7,5.196202644
23.8,5.199310695
23.9,5.202418616
24,5.205526409
24.1,5.208634074
24.2,5.211741609
24.3,5.214849016
24.4,5.217956293
24.5,5.221063442
24.6,5.224170463
24.7,5.227277354
24.8,5.230384116
24.9,5.23349075
25,5.236597255
25.1,5.239703631
25.2,5.242809878
25.3,5.245915997
25.4,5.249021987
25.5,5.252127847
25.6,5.25523358
25.7,5.258339183
25.8,5.261444657
25.9,5.264550003
