ZONE,T="TIME=9.486720000000e+08"
0,8.630414681
0.1,8.633509835
0.2,8.636595296
0.3,8.639671064
0.4,8.642737138
0.5,8.64579352
0.6,8.648840207
0.7,8.651877199
0.8,8.654904497
0.9,8.657922098
1,8.660930003
1.1,8.66392821
1.2,8.666916718
1.3,8.669895526
1.4,8.672864633
1.5,8.675824038
1.6,8.678773739
1.7,8.681713734
1.8,8.684644022
1.9,8.687564601
2,8.69047547
2.1,8.693376626
2.2,8.696268068
2.3,8.699149792
2.4,8.702021798
2.5,8.704884082
2.6,8.707736643
2.7,8.710579477
2.8,8.713412583
2.9,8.716235956
3,8.719049596
3.1,8.721853498
3.2,8.724647659
3.3,8.727432077
3.4,8.730206749
3.5,8.73297167
3.6,8.735726838
3.7,8.738472249
3.8,8.741207899
3.9,8.743933785
4,8.746649903
4.1,8.749356249
4.2,8.752052819
4.3,8.754739609
4.4,8.757416615
4.5,8.760083832
4.6,8.762741256
4.7,8.765388882
4.8,8.768026707
4.9,8.770654725
5,8.773272931
5.1,8.775881321
5.2,8.77847989
5.3,8.781068632
5.4,8.783647542
5.5,8.786216616
5.6,8.788775848
5.7,8.791325231
5.8,8.793864762
5.9,8.796394434
6,8.798914241
6.1,8.801424177
6.2,8.803924237
6.3,8.806414415
6.4,8.808894704
6.5,8.811365098
6.6,8.813825591
6.7,8.816276177
6.8,8.818716848
6.9,8.821147599
7,8.823568422
7.1,8.825979311
7.2,8.828380259
7.3,8.830771259
7.4,8.833152304
7.5,8.835523386
7.6,8.837884499
7.7,8.840235635
7.8,8.842576786
7.9,8.844907946
8,8.847229106
8.1,8.849540258
8.2,8.851841395
8.3,8.854132509
8.4,8.856413592
8.5,8.858684635
8.6,8.860945631
8.7,8.863196572
8.8,8.865437448
8.9,8.867668251
9,8.869888973
9.1,8.872099605
9.2,8.874300138
9.3,8.876490564
9.4,8.878670874
9.5,8.880841057
9.6,8.883001106
9.7,8.885151012
9.8,8.887290764
9.9,8.889420353
10,8.89153977
10.1,8.893649006
10.2,8.89574805
10.3,8.897836893
10.4,8.899915525
10.5,8.901983936
10.6,8.904042116
10.7,8.906090055
10.8,8.908127742
10.9,8.910155168
11,8.912172322
11.1,8.914179194
11.2,8.916175772
11.3,8.918162047
11.4,8.920138007
11.5,8.922103642
11.6,8.92405894
11.7,8.926003892
11.8,8.927938485
11.9,8.929862708
12,8.931776551
12.1,8.933680001
12.2,8.935573048
12.3,8.93745568
12.4,8.939327885
