ZONE,T="TIME=9.486720000000e+08"
60,1.780085891
60.1,1.783237029
60.2,1.786387654
60.3,1.789537765
60.4,1.792687363
60.5,1.795836446
60.6,1.798985015
60.7,1.80213307
60.8,1.805280611
60.9,1.808427638
61,1.811574152
61.1,1.814720151
61.2,1.817865636
61.3,1.821010608
61.4,1.824155065
61.5,1.827299009
61.6,1.830442438
61.7,1.833585354
61.8,1.836727756
61.9,1.839869643
62,1.843011017
62.1,1.846151877
62.2,1.849292223
62.3,1.852432054
62.4,1.855571372
62.5,1.858710176
62.6,1.861848466
62.7,1.864986242
62.8,1.868123504
62.9,1.871260252
63,1.874396486
63.1,1.877532207
63.2,1.880667413
63.3,1.883802105
63.4,1.886936283
63.5,1.890069948
63.6,1.893203098
63.7,1.896335734
63.8,1.899467857
63.9,1.902599465
64,1.90573056
64.1,1.90886114
64.2,1.911991207
64.3,1.91512076
64.4,1.918249798
64.5,1.921378323
64.6,1.924506334
64.7,1.927633831
64.8,1.930760813
64.9,1.933887282
65,1.937013237
65.1,1.940138678
65.2,1.943263605
65.3,1.946388018
65.4,1.949511917
65.5,1.952635303
65.6,1.955758174
65.7,1.958880531
65.8,1.962002374
65.9,1.965123704
66,1.968244519
66.1,1.97136482
66.2,1.974484608
66.3,1.977603881
66.4,1.980722641
66.5,1.983840886
66.6,1.986958618
66.7,1.990075835
66.8,1.993192539
66.9,1.996308729
67,1.999424405
67.1,2.002539566
67.2,2.005654214
67.3,2.008768348
67.4,2.011881968
67.5,2.014995074
67.6,2.018107666
67.7,2.021219744
67.8,2.024331308
67.9,2.027442358
68,2.030552894
68.1,2.033662917
68.2,2.036772425
68.3,2.039881419
68.4,2.042989899
68.5,2.046097866
68.6,2.049205318
68.7,2.052312257
68.8,2.055418681
68.9,2.058524592
69,2.061629988
69.1,2.064734871
69.2,2.06783924
69.3,2.070943094
69.4,2.074046435
69.5,2.077149262
69.6,2.080251575
69.7,2.083353373
69.8,2.086454658
69.9,2.089555429
70,2.092655686
70.1,2.095755429
70.2,2.098854658
70.3,2.101953373
70.4,2.105051575
70.5,2.108149262
70.6,2.111246435
70.7,2.114343094
70.8,2.11743924
70.9,2.120534871
71,2.123629988
71.1,2.126724592
71.2,2.129818681
71.3,2.132912257
71.4,2.136005318
71.5,2.139097866
71.6,2.142189899
71.7,2.145281419
71.8,2.148372425
71.9,2.151462917
72,2.154552894
72.1,2.157642358
72.2,2.160731308
72.3,2.163819744
72.4,2.166907666
72.5,2.169995074
72.6,2.173081968
72.7,2.176168348
72.8,2.179254214
72.9,2.182339566
73,2.185424405
73.1,2.188508729
73.2,2.191592539
73.3,2.194675835
73.4,2.197758618
73.5,2.200840886
73.6,2.203922641
73.7,2.207003881
73.8,2.210084608
73.9,2.21316482
74,2.216244519
74.1,2.219323704
74.2,2.222402374
74.3,2.225480531
74.4,2.228558174
74.5,2.231635303
74.6,2.234711917
74.7,2.237788018
74.8,2.240863605
74.9,2.243938678
75,2.247013237
75.1,2.250087282
75.2,2.253160813
75.3,2.256233831
75.4,2.259306334
75.5,2.262378323
75.6,2.265449798
75.7,2.26852076
75.8,2.271591207
75.9,2.27466114
76,2.27773056
76.1,2.280799465
76.2,2.283867857
76.3,2.286935734
76.4,2.290003098
76.5,2.293069948
76.6,2.296136283
76.7,2.299202105
76.8,2.302267413
76.9,2.305332207
77,2.308396486
77.1,2.311460252
77.2,2.314523504
77.3,2.317586242
77.4,2.320648466
77.5,2.323710176
77.6,2.326771372
77.7,2.329832054
77.8,2.332892223
77.9,2.335951877
78,2.339011017
78.1,2.342069643
78.2,2.345127756
78.3,2.348185354
78.4,2.351242438
78.5,2.354299009
78.6,2.357355065
78.7,2.360410608
78.8,2.363465636
78.9,2.366520151
79,2.369574152
79.1,2.372627638
79.2,2.375680611
79.3,2.37873307
79.4,2.381785015
79.5,2.384836446
79.6,2.387887363
79.7,2.390937765
79.8,2.393987654
79.9,2.397037029
80,2.400085891
