ZONE,T="TIME=9.486720000000e+08"
0,9
0.1,9.001078773
0.2,9.002157508
0.3,9.003236167
0.4,9.004314712
0.5,9.005393105
0.6,9.006471308
0.7,9.007549283
0.8,9.008626992
0.9,9.009704398
1,9.010781461
1.1,9.011858145
1.2,9.012934411
1.3,9.014010221
1.4,9.015085538
1.5,9.016160322
1.6,9.017234537
1.7,9.018308144
1.8,9.019381105
1.9,9.020453383
2,9.021524939
2.1,9.022595735
2.2,9.023665734
2.3,9.024734897
2.4,9.025803187
2.5,9.026870565
2.6,9.027936993
2.7,9.029002434
2.8,9.030066849
2.9,9.031130201
3,9.032192451
3.1,9.033253562
3.2,9.034313495
3.3,9.035372213
3.4,9.036429678
3.5,9.037485851
3.6,9.038540695
3.7,9.039594172
3.8,9.040646243
3.9,9.041696872
4,9.042746019
4.1,9.043793646
4.2,9.044839717
4.3,9.045884193
4.4,9.046927035
4.5,9.047968206
4.6,9.049007669
4.7,9.050045384
4.8,9.051081315
4.9,9.052115422
5,9.053147669
5.1,9.054178017
5.2,9.055206428
5.3,9.056232864
5.4,9.057257288
5.5,9.058279661
5.6,9.059299945
5.7,9.060318103
5.8,9.061334096
5.9,9.062347887
6,9.063359437
6.1,9.064368709
6.2,9.065375665
6.3,9.066380266
6.4,9.067382475
6.5,9.068382254
6.6,9.069379565
6.7,9.07037437
6.8,9.071366631
6.9,9.07235631
7,9.073343369
7.1,9.07432777
7.2,9.075309475
7.3,9.076288447
7.4,9.077264647
7.5,9.078238038
7.6,9.079208581
7.7,9.080176239
7.8,9.081140974
7.9,9.082102747
8,9.083061521
8.1,9.084017258
8.2,9.084969921
8.3,9.08591947
8.4,9.086865868
8.5,9.087809078
8.6,9.088749061
8.7,9.08968578
8.8,9.090619196
8.9,9.091549272
9,9.09247597
9.1,9.093399252
9.2,9.094319079
9.3,9.095235415
9.4,9.096148221
9.5,9.09705746
9.6,9.097963092
9.7,9.098865082
9.8,9.09976339
9.9,9.100657979
10,9.10154881
10.1,9.102435847
10.2,9.103319052
10.3,9.104198385
10.4,9.10507381
10.5,9.105945289
10.6,9.106812783
10.7,9.107676256
10.8,9.108535668
10.9,9.109390983
11,9.110242162
11.1,9.111089168
11.2,9.111931962
11.3,9.112770508
11.4,9.113604766
11.5,9.1144347
11.6,9.115260271
11.7,9.116081442
11.8,9.116898174
11.9,9.117710431
12,9.118518174
12.1,9.119321365
12.2,9.120119967
12.3,9.120913942
12.4,9.121703252
12.5,9.122487859
12.6,9.123267726
12.7,9.124042814
12.8,9.124813086
12.9,9.125578505
13,9.126339032
13.1,9.12709463
13.2,9.12784526
13.3,9.128590886
13.4,9.129331469
13.5,9.130066972
13.6,9.130797357
13.7,9.131522586
13.8,9.132242622
13.9,9.132957427
14,9.133666962
14.1,9.134371191
14.2,9.135070076
14.3,9.135763579
14.4,9.136451663
14.5,9.137134289
14.6,9.13781142
14.7,9.138483018
14.8,9.139149046
14.9,9.139809466
15,9.140464241
15.1,9.141113332
15.2,9.141756703
15.3,9.142394315
15.4,9.143026131
15.5,9.143652113
15.6,9.144272224
15.7,9.144886425
15.8,9.145494681
15.9,9.146096952
16,9.146693202
16.1,9.147283392
16.2,9.147867485
16.3,9.148445445
16.4,9.149017232
16.5,9.14958281
16.6,9.15014214
16.7,9.150695187
16.8,9.151241911
16.9,9.151782276
17,9.152316243
17.1,9.152843777
17.2,9.153364838
17.3,9.15387939
17.4,9.154387395
17.5,9.154888815
17.6,9.155383614
17.7,9.155871754
17.8,9.156353196
17.9,9.156827905
18,9.157295842
