ZONE,T="TIME=9.486720000000e+08"
0,8.922212636
0,8.923945053
2,8.98370958
2,8.98545809
4,9.04599356
4,9.044196472
6,9.1036615
6,9.105540544
8,9.162084995
8,9.164080886
10,9.219439465
10,9.221589258
12,9.275689655
12,9.278033268
14,9.33337363
14,9.330792661
16,9.384698108
16,9.387564423
18,9.43734844
18,9.440553466
20,9.488679363
20,9.492282868
22,9.538620507
22,9.5426898
24,9.587096395
24,9.591707587
26,9.639267214
26,9.634027837
28,9.67933388
28,9.685299385
30,9.729737288
30,9.722934518
32,9.764754389
32,9.772520281
34,9.804727726
34,9.813598709
36,9.842804877
36,9.852940094
38,9.878960708
38,9.890536924
40,9.91320515
40,9.926416198
42,9.96065073
42,9.945596015
44,9.976253932
44,9.993371949
46,10.00537874
46,10.02478353
48,10.05517466
48,10.0332661
50,10.08493106
50,10.06032208
51,10.07369704
51,10.09971911
52,10.11453833
52,10.08706929
53,10.10052388
53,10.12946597
54,10.11415303
54,10.14458514
55,10.12805553
55,10.15998431
56,10.17575647
56,10.14233592
57,10.19199821
57,10.1571033
58,10.17247012
58,10.20880854
59,10.18855057
59,10.22628763
60,10.20545896
60,10.24453538
61,10.22330788
61,10.26364992
62,10.24220639
62,10.28372604
63,10.30485364
63,10.26225812
64,10.3271162
64,10.28355945
65,10.30619778
65,10.35058935
66,10.33024996
66,10.37533951
67,10.35578088
67,10.40142274
68,10.42888374
68,10.38284232
69,10.45775505
69,10.41147196
70,10.44169273
70,10.48805647
71,10.5197947
71,10.47351239
72,10.50692338
72,10.55296323
73,10.54190297
73,10.58754247
74,10.62350008
74,10.5784137
75,10.66079157
75,10.61640401
76,10.6558092
76,10.69936108
77,10.69655265
77,10.73914239
78,10.73854715
78,10.78006009
79,10.82203093
79,10.78169656
80,10.82589747
80,10.86496521
81,10.87104107
81,10.90876839
82,10.95334256
82,10.917015
83,10.99858809
83,10.96370521
84,11.01099775
84,11.04440505
85,11.05878049
85,11.09069469
86,11.13736071
86,11.10694457
87,11.15538577
87,11.1843104
88,11.20400559
88,11.23145559
89,11.25271212
89,11.27871346
90,11.32600711
90,11.30142068
92,11.42042926
92,11.39854723
94,11.51423929
94,11.49486559
96,11.60705459
96,11.58997283
98,11.69858936
98,11.68357676
100,11.77548127
100,11.7886436
102,11.87708992
102,11.86556982
106,12.04894922
106,12.04015204
110,12.20741474
110,12.21412182
114,12.36785035
114,12.37296692
118,12.52605049
118,12.52213868
122,12.674004
122,12.67100179
126,12.81744404
126,12.81512561
130,12.95692994
130,12.95512137
134,13.09294332
134,13.09150892
138,13.22587951
138,13.22471125
142,13.35604502
142,13.35505425
146,13.48365764
146,13.48276853
150,13.60884743
150,13.60799142
