ZONE,T="TIME=3.162240000000e+09"
0,5.814214807
0.1,5.817307742
0.2,5.82038655
0.3,5.823451229
0.4,5.82650178
0.5,5.829538202
0.6,5.832560497
0.7,5.835568663
0.8,5.838562701
0.9,5.84154261
1,5.844508391
1.1,5.847460045
1.2,5.85039757
1.3,5.853320967
1.4,5.856230236
1.5,5.859125377
1.6,5.862006391
1.7,5.864873276
1.8,5.867726034
1.9,5.870564664
2,5.873389166
2.1,5.876199541
2.2,5.878995788
2.3,5.881777908
2.4,5.884545901
2.5,5.887299766
2.6,5.890039505
2.7,5.892765116
2.8,5.895476601
2.9,5.898173959
3,5.90085719
3.1,5.903526294
3.2,5.906181272
3.3,5.908822124
3.4,5.91144885
3.5,5.914061449
3.6,5.916659923
3.7,5.919244271
3.8,5.921814493
3.9,5.92437059
4,5.926912561
4.1,5.929440408
4.2,5.931954129
4.3,5.934453726
4.4,5.936939197
4.5,5.939410545
4.6,5.941867768
4.7,5.944310867
4.8,5.946739841
4.9,5.949154693
5,5.95155542
5.1,5.953942024
5.2,5.956314505
5.3,5.958672863
5.4,5.961017099
5.5,5.963347212
5.6,5.965663202
5.7,5.96796507
5.8,5.970252817
5.9,5.972526441
6,5.974785945
6.1,5.977031327
6.2,5.979262588
6.3,5.981479729
6.4,5.983682749
6.5,5.985871649
6.6,5.988046429
6.7,5.990207089
6.8,5.99235363
6.9,5.994486052
7,5.996604355
7.1,5.998708539
7.2,6.000798605
7.3,6.002874553
7.4,6.004936383
7.5,6.006984096
7.6,6.009017692
7.7,6.011037171
7.8,6.013042533
7.9,6.015033779
8,6.017010909
8.1,6.018973924
8.2,6.020922823
8.3,6.022857608
8.4,6.024778277
8.5,6.026684833
8.6,6.028577275
8.7,6.030455603
8.8,6.032319818
8.9,6.03416992
9,6.036005909
9.1,6.037827786
9.2,6.039635552
9.3,6.041429206
9.4,6.043208749
9.5,6.044974181
9.6,6.046725503
9.7,6.048462716
9.8,6.050185818
9.9,6.051894812
10,6.053589696
10.1,6.055270473
10.2,6.056937141
10.3,6.058589702
10.4,6.060228156
10.5,6.061852503
10.6,6.063462744
10.7,6.06505888
10.8,6.066640909
10.9,6.068208834
11,6.069762655
11.1,6.071302371
11.2,6.072827983
11.3,6.074339493
11.4,6.0758369
11.5,6.077320204
11.6,6.078789407
11.7,6.080244508
11.8,6.081685509
11.9,6.083112409
12,6.084525209
12.1,6.08592391
12.2,6.087308513
12.3,6.088679016
