ZONE,T="TIME=3.162240000000e+09"
50,-4.582052385
50.1,-4.578926687
50.2,-4.575801119
50.3,-4.572675679
50.4,-4.569550367
50.5,-4.566425185
50.6,-4.563300131
50.7,-4.560175207
50.8,-4.557050411
50.9,-4.553925744
51,-4.550801205
51.1,-4.547676796
51.2,-4.544552515
51.3,-4.541428363
51.4,-4.53830434
51.5,-4.535180446
51.6,-4.53205668
51.7,-4.528933043
51.8,-4.525809536
51.9,-4.522686157
52,-4.519562906
52.1,-4.516439785
52.2,-4.513316792
52.3,-4.510193928
52.4,-4.507071193
52.5,-4.503948587
52.6,-4.50082611
52.7,-4.497703761
52.8,-4.494581542
52.9,-4.491459451
53,-4.488337488
53.1,-4.485215655
53.2,-4.482093951
53.3,-4.478972375
53.4,-4.475850928
53.5,-4.47272961
53.6,-4.469608421
53.7,-4.46648736
53.8,-4.463366428
53.9,-4.460245626
54,-4.457124952
54.1,-4.454004406
54.2,-4.45088399
54.3,-4.447763702
54.4,-4.444643544
54.5,-4.441523514
54.6,-4.438403612
54.7,-4.43528384
54.8,-4.432164196
54.9,-4.429044682
55,-4.425925296
55.1,-4.422806039
55.2,-4.41968691
55.3,-4.416567911
55.4,-4.41344904
55.5,-4.410330298
55.6,-4.407211685
55.7,-4.404093201
55.8,-4.400974845
55.9,-4.397856619
56,-4.394738521
56.1,-4.391620552
56.2,-4.388502712
56.3,-4.385385
56.4,-4.382267418
56.5,-4.379149964
56.6,-4.376032639
56.7,-4.372915443
56.8,-4.369798375
56.9,-4.366681437
57,-4.363564627
57.1,-4.360447946
57.2,-4.357331394
57.3,-4.354214971
57.4,-4.351098676
57.5,-4.347982511
57.6,-4.344866474
57.7,-4.341750566
57.8,-4.338634787
57.9,-4.335519136
58,-4.332403614
58.1,-4.329288222
58.2,-4.326172958
58.3,-4.323057822
58.4,-4.319942816
58.5,-4.316827938
58.6,-4.31371319
58.7,-4.31059857
58.8,-4.307484079
58.9,-4.304369716
59,-4.301255483
59.1,-4.298141378
59.2,-4.295027402
59.3,-4.291913555
59.4,-4.288799837
59.5,-4.285686247
59.6,-4.282572787
59.7,-4.279459455
59.8,-4.276346252
59.9,-4.273233177
60,-4.270120232
60.1,-4.267007415
60.2,-4.263894728
60.3,-4.260782169
60.4,-4.257669738
60.5,-4.254557437
60.6,-4.251445264
60.7,-4.248333221
60.8,-4.245221306
60.9,-4.24210952
61,-4.238997862
61.1,-4.235886334
61.2,-4.232774934
61.3,-4.229663663
61.4,-4.226552521
61.5,-4.223441508
61.6,-4.220330623
61.7,-4.217219868
61.8,-4.214109241
61.9,-4.210998743
62,-4.207888374
62.1,-4.204778133
62.2,-4.201668022
62.3,-4.198558039
62.4,-4.195448185
62.5,-4.19233846
62.6,-4.189228863
62.7,-4.186119396
62.8,-4.183010057
62.9,-4.179900847
63,-4.176791766
63.1,-4.173682814
63.2,-4.17057399
63.3,-4.167465295
63.4,-4.16435673
63.5,-4.161248293
63.6,-4.158139984
63.7,-4.155031805
63.8,-4.151923754
63.9,-4.148815832
64,-4.145708039
64.1,-4.142600375
64.2,-4.13949284
64.3,-4.136385433
64.4,-4.133278155
64.5,-4.130171006
64.6,-4.127063986
64.7,-4.123957095
64.8,-4.120850332
64.9,-4.117743699
65,-4.114637194
65.1,-4.111530818
65.2,-4.10842457
65.3,-4.105318452
