ZONE,T="TIME=3.162240000000e+09"
0,9
0.1,8.995566207
0.2,8.991132397
0.3,8.986698554
0.4,8.982264661
0.5,8.977830701
0.6,8.973396658
0.7,8.968962515
0.8,8.964528255
0.9,8.960093861
1,8.955659318
1.1,8.951224608
1.2,8.946789715
1.3,8.942354621
1.4,8.937919311
1.5,8.933483767
1.6,8.929047974
1.7,8.924611913
1.8,8.920175569
1.9,8.915738926
2,8.911301965
2.1,8.906864671
2.2,8.902427027
2.3,8.897989017
2.4,8.893550623
2.5,8.889111829
2.6,8.884672618
2.7,8.880232975
2.8,8.875792881
2.9,8.87135232
3,8.866911277
3.1,8.862469733
3.2,8.858027673
3.3,8.853585079
3.4,8.849141936
3.5,8.844698227
3.6,8.840253934
3.7,8.835809042
3.8,8.831363533
3.9,8.826917391
4,8.822470599
4.1,8.818023142
4.2,8.813575001
4.3,8.809126161
4.4,8.804676605
4.5,8.800226316
4.6,8.795775278
4.7,8.791323474
4.8,8.786870887
4.9,8.782417501
5,8.7779633
5.1,8.773508266
5.2,8.769052383
5.3,8.764595635
5.4,8.760138004
5.5,8.755679475
5.6,8.75122003
5.7,8.746759654
5.8,8.742298329
5.9,8.737836039
6,8.733372768
6.1,8.728908498
6.2,8.724443214
6.3,8.719976898
6.4,8.715509535
6.5,8.711041107
6.6,8.706571599
6.7,8.702100992
6.8,8.697629272
6.9,8.693156422
7,8.688682424
7.1,8.684207263
7.2,8.679730922
7.3,8.675253384
7.4,8.670774632
7.5,8.666294652
7.6,8.661813425
7.7,8.657330935
7.8,8.652847167
7.9,8.648362103
8,8.643875726
8.1,8.639388021
8.2,8.634898971
8.3,8.63040856
8.4,8.62591677
8.5,8.621423586
8.6,8.616928991
8.7,8.612432969
8.8,8.607935503
8.9,8.603436577
9,8.598936174
9.1,8.594434278
9.2,8.589930872
9.3,8.585425941
9.4,8.580919467
9.5,8.576411434
9.6,8.571901827
9.7,8.567390627
9.8,8.56287782
9.9,8.558363388
10,8.553847316
10.1,8.549329587
10.2,8.544810184
10.3,8.540289091
10.4,8.535766293
10.5,8.531241771
10.6,8.526715511
10.7,8.522187496
10.8,8.517657709
10.9,8.513126135
11,8.508592756
11.1,8.504057557
11.2,8.499520521
11.3,8.494981632
11.4,8.490440874
11.5,8.48589823
11.6,8.481353685
11.7,8.476807221
11.8,8.472258823
11.9,8.467708474
12,8.463156158
12.1,8.458601859
12.2,8.454045561
12.3,8.449487247
12.4,8.444926902
12.5,8.440364508
12.6,8.43580005
12.7,8.431233512
12.8,8.426664877
12.9,8.422094129
13,8.417521253
13.1,8.412946231
13.2,8.408369048
13.3,8.403789688
13.4,8.399208134
13.5,8.39462437
13.6,8.390038381
13.7,8.385450149
13.8,8.38085966
13.9,8.376266896
14,8.371671843
14.1,8.367074483
14.2,8.3624748
14.3,8.357872779
14.4,8.353268404
14.5,8.348661658
14.6,8.344052526
14.7,8.339440991
14.8,8.334827037
14.9,8.330210649
15,8.325591809
15.1,8.320970504
15.2,8.316346716
15.3,8.311720429
15.4,8.307091627
15.5,8.302460295
15.6,8.297826417
15.7,8.293189976
15.8,8.288550956
15.9,8.283909343
16,8.279265119
16.1,8.274618269
16.2,8.269968777
16.3,8.265316627
16.4,8.260661804
16.5,8.25600429
16.6,8.251344072
16.7,8.246681132
16.8,8.242015455
16.9,8.237347025
17,8.232675826
17.1,8.228001842
17.2,8.223325059
17.3,8.218645458
17.4,8.213963027
17.5,8.209277747
17.6,8.204589604
17.7,8.199898581
17.8,8.195204664
17.9,8.190507836
18,8.185808082
18.1,8.181105385
18.2,8.176399731
18.3,8.171691103
18.4,8.166979487
18.5,8.162264865
18.6,8.157547223
18.7,8.152826545
18.8,8.148102815
18.9,8.143376018
19,8.138646138
19.1,8.13391316
19.2,8.129177067
19.3,8.124437845
19.4,8.119695478
19.5,8.11494995
19.6,8.110201246
19.7,8.105449349
19.8,8.100694246
19.9,8.09593592
20,8.091174355
20.1,8.086409537
20.2,8.081641449
20.3,8.076870077
20.4,8.072095404
20.5,8.067317416
20.6,8.062536097
20.7,8.057751431
20.8,8.052963404
20.9,8.048172
21,8.043377203
21.1,8.038578998
21.2,8.03377737
21.3,8.028972303
21.4,8.024163783
