ZONE,T="TIME=3.162240000000e+09"
0,8.656602931
2,8.717959797
4,8.778027862
6,8.836799566
8,8.894262439
10,8.950399309
12,9.005188642
14,9.058605026
16,9.110619879
18,9.161202428
20,9.21032106
22,9.257945152
24,9.304047488
26,9.348607422
28,9.391614903
30,9.433075473
32,9.473016271
34,9.511492945
36,9.548597183
38,9.58446429
40,9.619279941
42,9.653284957
44,9.68677683
46,9.720106857
48,9.75367224
50,9.7879033
51,9.805408049
52,9.823247256
53,9.841476456
54,9.860149899
55,9.879320022
56,9.899036987
57,9.919348283
58,9.940298408
59,9.961928623
60,9.984276783
61,10.00737724
62,10.03126079
63,10.05595471
64,10.08148278
65,10.10786537
66,10.13511954
67,10.16325911
68,10.19229479
69,10.22223423
70,10.25308209
71,10.2848401
72,10.31750703
73,10.35107873
74,10.38554803
75,10.42090475
76,10.45713555
77,10.49422388
78,10.53214988
79,10.57089028
80,10.61041831
81,10.65070369
82,10.69171258
83,10.73340765
84,10.77574814
85,10.8186901
86,10.86218656
87,10.90618788
88,10.95064217
89,10.99549571
90,11.04069351
92,11.13189915
94,11.22381633
96,11.31601929
98,11.40811553
100,11.49975866
102,11.59065639
106,11.76935528
110,11.94298224
114,12.11097234
118,12.273234
122,12.4299482
126,12.58142226
130,12.72799773
134,12.86999819
138,13.00770242
142,13.14133187
146,13.2710458
150,13.39693982
