ZONE,T="TIME=3.162240000000e+09"
50,8.458474967
51,8.489485474
52,8.520516701
53,8.551567783
54,8.582637312
55,8.613723389
56,8.644823689
57,8.67593554
58,8.707056008
59,8.73818199
60,8.7693103
61,8.800437754
62,8.831561256
63,8.86267786
64,8.893784842
65,8.924879743
66,8.955960421
67,8.987025078
68,9.018072294
69,9.049101038
70,9.080110689
71,9.111101038
72,9.142072294
73,9.173025078
74,9.203960421
75,9.234879743
76,9.265784842
77,9.29667786
78,9.327561256
79,9.358437754
80,9.3893103
81,9.42018199
82,9.451056008
83,9.48193554
84,9.512823689
85,9.543723389
86,9.574637312
87,9.605567783
88,9.636516701
89,9.667485474
90,9.698474968
