ZONE,T="TIME=3.162240000000e+07"
50.0,6.895
50.1,6.899
50.2,6.904
50.3,6.909
50.4,6.913
50.5,6.918
50.6,6.922
50.7,6.927
50.8,6.931
50.9,6.936
51.0,6.940
51.1,6.945
51.2,6.949
51.3,6.953
51.4,6.958
51.5,6.962
51.6,6.967
51.7,6.971
51.8,6.975
51.9,6.980
52.0,6.984
52.1,6.989
52.2,6.993
52.3,6.997
52.4,7.001
52.5,7.006
52.6,7.010
52.7,7.014
52.8,7.019
52.9,7.023
53.0,7.027
53.1,7.031
53.2,7.036
53.3,7.040
53.4,7.044
53.5,7.048
53.6,7.052
53.7,7.056
53.8,7.061
53.9,7.065
54.0,7.069
54.1,7.073
54.2,7.077
54.3,7.081
54.4,7.085
54.5,7.089
54.6,7.094
54.7,7.098
54.8,7.102
54.9,7.106
55.0,7.110
55.1,7.114
55.2,7.118
55.3,7.122
55.4,7.126
55.5,7.130
55.6,7.134
55.7,7.138
55.8,7.142
55.9,7.146
56.0,7.150
56.1,7.154
56.2,7.157
56.3,7.161
56.4,7.165
56.5,7.169
56.6,7.173
56.7,7.177
56.8,7.181
56.9,7.185
57.0,7.189
57.1,7.193
57.2,7.196
57.3,7.200
57.4,7.204
57.5,7.208
57.6,7.212
57.7,7.216
57.8,7.219
57.9,7.223
58.0,7.227
58.1,7.231
58.2,7.235
58.3,7.238
58.4,7.242
58.5,7.246
58.6,7.250
58.7,7.254
58.8,7.257
58.9,7.261
59.0,7.265
59.1,7.269
59.2,7.272
59.3,7.276
59.4,7.280
59.5,7.283
59.6,7.287
59.7,7.291
59.8,7.295
59.9,7.298
60.0,7.302
60.1,7.306
60.2,7.309
60.3,7.313
60.4,7.317
60.5,7.321
60.6,7.324
60.7,7.328
60.8,7.332
60.9,7.335
61.0,7.339
61.1,7.343
61.2,7.346
61.3,7.350
61.4,7.354
61.5,7.357
61.6,7.361
61.7,7.365
61.8,7.368
61.9,7.372
62.0,7.376
62.1,7.379
62.2,7.383
62.3,7.386
62.4,7.390
62.5,7.394
62.6,7.397
62.7,7.401
62.8,7.405
62.9,7.408
63.0,7.412
63.1,7.416
63.2,7.419
63.3,7.423
63.4,7.426
63.5,7.430
63.6,7.434
63.7,7.437
63.8,7.441
63.9,7.444
64.0,7.448
64.1,7.452
64.2,7.455
64.3,7.459
64.4,7.463
64.5,7.466
64.6,7.470
64.7,7.473
64.8,7.477
64.9,7.481
65.0,7.484
65.1,7.488
65.2,7.491
65.3,7.495
65.4,7.499
65.5,7.502
65.6,7.506
65.7,7.509
65.8,7.513
65.9,7.517
66.0,7.520
66.1,7.524
66.2,7.527
66.3,7.531
66.4,7.535
66.5,7.538
66.6,7.542
66.7,7.545
66.8,7.549
66.9,7.553
67.0,7.556
67.1,7.560
67.2,7.563
67.3,7.567
67.4,7.570
67.5,7.574
67.6,7.578
67.7,7.581
67.8,7.585
67.9,7.588
68.0,7.592
68.1,7.596
68.2,7.599
68.3,7.603
68.4,7.606
68.5,7.610
68.6,7.614
68.7,7.617
68.8,7.621
68.9,7.624
69.0,7.628
69.1,7.632
69.2,7.635
69.3,7.639
69.4,7.642
69.5,7.646
69.6,7.650
69.7,7.653
69.8,7.657
69.9,7.660
70.0,7.664
70.1,7.668
70.2,7.671
70.3,7.675
70.4,7.678
70.5,7.682
70.6,7.686
70.7,7.689
70.8,7.693
70.9,7.696
71.0,7.700
71.1,7.704
71.2,7.707
71.3,7.711
71.4,7.714
71.5,7.718
71.6,7.721
71.7,7.725
71.8,7.729
71.9,7.732
72.0,7.736
72.1,7.739
72.2,7.743
72.3,7.747
72.4,7.750
72.5,7.754
72.6,7.757
72.7,7.761
72.8,7.765
72.9,7.768
73.0,7.772
73.1,7.775
73.2,7.779
73.3,7.783
73.4,7.786
73.5,7.790
73.6,7.793
73.7,7.797
73.8,7.801
73.9,7.804
74.0,7.808
74.1,7.811
74.2,7.815
74.3,7.819
74.4,7.822
74.5,7.826
74.6,7.829
74.7,7.833
74.8,7.837
74.9,7.840
75.0,7.844
75.1,7.847
75.2,7.851
75.3,7.854
75.4,7.858
75.5,7.862
75.6,7.865
75.7,7.869
75.8,7.872
75.9,7.876
76.0,7.880
76.1,7.883
76.2,7.887
76.3,7.890
76.4,7.894
76.5,7.897
76.6,7.901
76.7,7.905
76.8,7.908
76.9,7.912
77.0,7.915
77.1,7.919
77.2,7.922
77.3,7.926
77.4,7.930
77.5,7.933
77.6,7.937
77.7,7.940
77.8,7.944
77.9,7.947
78.0,7.951
78.1,7.954
78.2,7.958
78.3,7.962
78.4,7.965
78.5,7.969
78.6,7.972
78.7,7.976
78.8,7.979
78.9,7.983
79.0,7.986
79.1,7.990
79.2,7.993
79.3,7.997
79.4,8.000
79.5,8.004
79.6,8.007
79.7,8.011
79.8,8.014
79.9,8.018
80.0,8.021
80.1,8.025
80.2,8.028
80.3,8.032
80.4,8.035
80.5,8.039
80.6,8.042
80.7,8.046
80.8,8.049
80.9,8.052
81.0,8.056
81.1,8.059
81.2,8.063
81.3,8.066
81.4,8.070
81.5,8.073
81.6,8.076
81.7,8.080
81.8,8.083
81.9,8.087
82.0,8.090
82.1,8.093
82.2,8.097
82.3,8.100
82.4,8.104
82.5,8.107
82.6,8.110
82.7,8.114
82.8,8.117
82.9,8.120
83.0,8.124
83.1,8.127
83.2,8.130
83.3,8.134
83.4,8.137
83.5,8.140
83.6,8.143
83.7,8.147
83.8,8.150
83.9,8.153
84.0,8.157
84.1,8.160
84.2,8.163
84.3,8.166
84.4,8.169
84.5,8.173
84.6,8.176
84.7,8.179
84.8,8.182
84.9,8.185
85.0,8.189
85.1,8.192
85.2,8.195
85.3,8.198
85.4,8.201
85.5,8.204
85.6,8.207
85.7,8.210
85.8,8.214
85.9,8.217
86.0,8.220
86.1,8.223
86.2,8.226
86.3,8.229
86.4,8.232
86.5,8.235
86.6,8.238
86.7,8.241
86.8,8.244
86.9,8.247
87.0,8.250
87.1,8.253
87.2,8.256
87.3,8.259
87.4,8.262
87.5,8.264
87.6,8.267
87.7,8.270
87.8,8.273
87.9,8.276
88.0,8.279
88.1,8.282
88.2,8.284
88.3,8.287
88.4,8.290
88.5,8.293
88.6,8.296
88.7,8.298
88.8,8.301
88.9,8.304
89.0,8.307
89.1,8.309
89.2,8.312
89.3,8.315
89.4,8.318
89.5,8.320
89.6,8.323
89.7,8.325
89.8,8.328
89.9,8.331
90.0,8.333
