ZONE,T="TIME=3.162240000000e+07"
0.0,9.000
2.0,9.108
4.0,9.216
6.0,9.324
8.0,9.432
10.0,9.540
12.0,9.648
14.0,9.756
16.0,9.864
18.0,9.972
20.0,10.080
22.0,10.188
24.0,10.296
26.0,10.404
28.0,10.512
30.0,10.620
32.0,10.728
34.0,10.836
36.0,10.943
38.0,11.047
40.0,11.144
42.0,11.223
44.0,11.266
46.0,11.240
48.0,11.119
50.0,10.917
51.0,10.849
52.0,10.795
53.0,10.758
54.0,10.736
55.0,10.728
56.0,10.731
57.0,10.743
58.0,10.761
59.0,10.784
60.0,10.811
61.0,10.840
62.0,10.872
63.0,10.905
64.0,10.939
65.0,10.974
66.0,11.009
67.0,11.044
68.0,11.080
69.0,11.116
70.0,11.152
71.0,11.188
72.0,11.224
73.0,11.260
74.0,11.297
75.0,11.334
76.0,11.372
77.0,11.410
78.0,11.450
79.0,11.491
80.0,11.535
81.0,11.582
82.0,11.633
83.0,11.691
84.0,11.756
85.0,11.833
86.0,11.922
87.0,12.027
88.0,12.150
89.0,12.290
90.0,12.444
92.0,12.757
94.0,13.023
96.0,13.219
98.0,13.360
100.0,13.468
102.0,13.558
106.0,13.714
110.0,13.860
114.0,14.004
118.0,14.148
122.0,14.292
126.0,14.436
130.0,14.580
134.0,14.724
138.0,14.868
142.0,15.012
146.0,15.156
150.0,15.300
