ZONE,T="TIME=3.162240000000e+07"
50.0,10.305
51.0,10.346
52.0,10.396
53.0,10.449
54.0,10.503
55.0,10.555
56.0,10.605
57.0,10.651
58.0,10.695
59.0,10.737
60.0,10.777
61.0,10.817
62.0,10.855
63.0,10.893
64.0,10.930
65.0,10.967
66.0,11.003
67.0,11.039
68.0,11.076
69.0,11.112
70.0,11.148
71.0,11.184
72.0,11.219
73.0,11.255
74.0,11.291
75.0,11.326
76.0,11.361
77.0,11.396
78.0,11.430
79.0,11.464
80.0,11.497
81.0,11.528
82.0,11.558
83.0,11.586
84.0,11.612
85.0,11.634
86.0,11.654
87.0,11.672
88.0,11.690
89.0,11.713
90.0,11.744
