ZONE,T="TIME=9.462000000000e+08"
0.00,8.858
0.10,8.863
0.20,8.868
0.30,8.874
0.40,8.879
0.50,8.885
0.60,8.890
0.70,8.895
0.80,8.901
0.90,8.906
1.00,8.911
1.10,8.916
1.20,8.922
1.30,8.927
1.40,8.932
1.50,8.938
1.60,8.943
1.70,8.948
1.80,8.953
1.90,8.959
2.00,8.964
2.10,8.969
2.20,8.974
2.30,8.979
2.40,8.985
2.50,8.990
2.60,8.995
2.70,9.000
2.80,9.005
2.90,9.010
3.00,9.015
3.10,9.021
3.20,9.026
3.30,9.031
3.40,9.036
3.50,9.041
3.60,9.046
3.70,9.051
3.80,9.056
3.90,9.061
4.00,9.066
4.10,9.071
4.20,9.076
4.30,9.081
4.40,9.086
4.50,9.091
4.60,9.096
4.70,9.101
4.80,9.106
4.90,9.111
5.00,9.116
5.10,9.121
5.20,9.126
5.30,9.131
5.40,9.136
5.50,9.141
5.60,9.145
5.70,9.150
5.80,9.155
5.90,9.160
6.00,9.165
6.10,9.170
6.20,9.175
6.30,9.179
6.40,9.184
6.50,9.189
6.60,9.194
6.70,9.199
6.80,9.203
6.90,9.208
7.00,9.213
7.10,9.218
7.20,9.222
7.30,9.227
7.40,9.232
7.50,9.236
7.60,9.241
7.70,9.246
7.80,9.250
7.90,9.255
8.00,9.260
8.10,9.264
8.20,9.269
8.30,9.274
8.40,9.278
8.50,9.283
8.60,9.287
8.70,9.292
8.80,9.297
8.90,9.301
9.00,9.306
9.10,9.310
9.20,9.315
9.30,9.319
9.40,9.324
9.50,9.328
9.60,9.333
9.70,9.337
9.80,9.342
9.90,9.346
10.00,9.351
10.10,9.355
10.20,9.359
10.30,9.364
10.40,9.368
10.50,9.373
10.60,9.377
10.70,9.381
10.80,9.386
10.90,9.390
11.00,9.394
11.10,9.399
11.20,9.403
11.30,9.407
11.40,9.412
11.50,9.416
11.60,9.420
11.70,9.424
11.80,9.429
11.90,9.433
12.00,9.437
12.10,9.441
12.20,9.446
12.30,9.450
12.40,9.454
12.50,9.458
12.60,9.462
12.70,9.466
12.80,9.471
12.90,9.475
13.00,9.479
13.10,9.483
13.20,9.487
13.30,9.491
13.40,9.495
13.50,9.499
13.60,9.503
13.70,9.507
13.80,9.511
13.90,9.515
14.00,9.519
14.10,9.523
14.20,9.527
14.30,9.531
14.40,9.535
14.50,9.539
14.60,9.543
14.70,9.547
14.80,9.551
14.90,9.555
15.00,9.558
15.10,9.562
15.20,9.566
15.30,9.570
15.40,9.574
15.50,9.578
15.60,9.581
15.70,9.585
15.80,9.589
15.90,9.593
16.00,9.596
16.10,9.600
16.20,9.604
16.30,9.607
16.40,9.611
16.50,9.615
16.60,9.619
16.70,9.622
16.80,9.626
16.90,9.629
17.00,9.633
17.10,9.637
17.20,9.640
17.30,9.644
17.40,9.647
17.50,9.651
17.60,9.654
17.70,9.658
17.80,9.661
17.90,9.665
18.00,9.668
18.10,9.672
18.20,9.675
18.30,9.679
18.40,9.682
18.50,9.685
18.60,9.689
18.70,9.692
18.80,9.696
18.90,9.699
19.00,9.702
19.10,9.706
19.20,9.709
19.30,9.712
19.40,9.715
19.50,9.719
19.60,9.722
19.70,9.725
19.80,9.728
19.90,9.731
20.00,9.735
20.10,9.738
20.20,9.741
20.30,9.744
20.40,9.747
20.50,9.750
20.60,9.753
20.70,9.756
20.80,9.760
20.90,9.763
21.00,9.766
21.10,9.769
21.20,9.772
21.30,9.775
21.40,9.777
21.50,9.780
21.60,9.783
21.70,9.786
21.80,9.789
21.90,9.792
22.00,9.795
22.10,9.798
22.20,9.801
22.30,9.803
22.40,9.806
22.50,9.809
22.60,9.812
22.70,9.814
22.80,9.817
22.90,9.820
23.00,9.823
23.10,9.825
23.20,9.828
23.30,9.831
23.40,9.833
23.50,9.836
23.60,9.838
23.70,9.841
23.80,9.843
23.90,9.846
24.00,9.849
24.10,9.851
24.20,9.854
24.30,9.856
24.40,9.858
24.50,9.861
24.60,9.863
24.70,9.866
24.80,9.868
24.90,9.870
25.00,9.873
25.10,9.875
25.20,9.877
25.30,9.880
25.40,9.882
25.50,9.884
25.60,9.886
25.70,9.889
25.80,9.891
25.90,9.893
26.00,9.895
26.10,9.897
26.20,9.899
26.30,9.901
26.40,9.903
26.50,9.906
26.60,9.908
26.70,9.910
26.80,9.912
26.90,9.914
27.00,9.915
27.10,9.917
27.20,9.919
27.30,9.921
27.40,9.923
27.50,9.925
27.60,9.927
27.70,9.929
27.80,9.930
27.90,9.932
28.00,9.934
28.10,9.936
28.20,9.937
28.30,9.939
28.40,9.941
28.50,9.942
28.60,9.944
28.70,9.946
28.80,9.947
28.90,9.949
29.00,9.950
29.10,9.952
29.20,9.953
29.30,9.955
29.40,9.956
29.50,9.958
29.60,9.959
29.70,9.960
29.80,9.962
29.90,9.963
30.00,9.964
30.10,9.966
30.20,9.967
30.30,9.968
30.40,9.970
30.50,9.971
30.60,9.972
30.70,9.973
30.80,9.974
30.90,9.975
31.00,9.976
31.10,9.978
31.20,9.979
31.30,9.980
31.40,9.981
31.50,9.982
31.60,9.983
31.70,9.983
31.80,9.984
31.90,9.985
32.00,9.986
32.10,9.987
32.20,9.988
32.30,9.989
32.40,9.989
32.50,9.990
32.60,9.991
32.70,9.991
32.80,9.992
32.90,9.993
33.00,9.993
33.10,9.994
33.20,9.995
33.30,9.995
33.40,9.996
33.50,9.996
33.60,9.997
33.70,9.997
33.80,9.997
33.90,9.998
34.00,9.998
34.10,9.999
34.20,9.999
34.30,9.999
34.40,9.999
34.50,10.000
34.60,10.000
34.70,10.000
34.80,10.000
34.90,10.000
35.00,10.000
35.10,10.001
35.20,10.001
35.30,10.001
35.40,10.001
35.50,10.001
35.60,10.001
35.70,10.001
35.80,10.000
35.90,10.000
36.00,10.000
36.10,10.000
36.20,10.000
36.30,9.999
36.40,9.999
36.50,9.999
36.60,9.999
36.70,9.998
36.80,9.998
36.90,9.997
37.00,9.997
37.10,9.997
37.20,9.996
37.30,9.996
37.40,9.995
37.50,9.994
37.60,9.994
37.70,9.993
37.80,9.993
37.90,9.992
38.00,9.991
38.10,9.990
38.20,9.990
38.30,9.989
38.40,9.988
38.50,9.987
38.60,9.986
38.70,9.985
38.80,9.984
38.90,9.983
39.00,9.982
39.10,9.981
39.20,9.980
39.30,9.979
39.40,9.978
39.50,9.977
39.60,9.976
39.70,9.974
39.80,9.973
39.90,9.972
40.00,9.971
40.10,9.969
40.20,9.968
40.30,9.966
40.40,9.965
40.50,9.964
40.60,9.962
40.70,9.961
40.80,9.959
40.90,9.957
41.00,9.956
41.10,9.954
41.20,9.952
41.30,9.951
41.40,9.949
41.50,9.947
41.60,9.945
41.70,9.944
41.80,9.942
41.90,9.940
42.00,9.938
42.10,9.936
42.20,9.934
42.30,9.932
42.40,9.930
42.50,9.928
42.60,9.926
42.70,9.923
42.80,9.921
