ZONE,T="TIME=9.462000000000e+08"
60.0,3.000
60.1,3.004
60.2,3.008
60.3,3.011
60.4,3.015
60.5,3.019
60.6,3.022
60.7,3.026
60.8,3.030
60.9,3.033
61.0,3.037
61.1,3.041
61.2,3.044
61.3,3.048
61.4,3.052
61.5,3.055
61.6,3.059
61.7,3.062
61.8,3.066
61.9,3.070
62.0,3.073
62.1,3.077
62.2,3.081
62.3,3.084
62.4,3.088
62.5,3.092
62.6,3.095
62.7,3.099
62.8,3.103
62.9,3.106
63.0,3.110
63.1,3.113
63.2,3.117
63.3,3.121
63.4,3.124
63.5,3.128
63.6,3.132
63.7,3.135
63.8,3.139
63.9,3.143
64.0,3.146
64.1,3.150
64.2,3.153
64.3,3.157
64.4,3.161
64.5,3.164
64.6,3.168
64.7,3.172
64.8,3.175
64.9,3.179
65.0,3.183
65.1,3.186
65.2,3.190
65.3,3.193
65.4,3.197
65.5,3.201
65.6,3.204
65.7,3.208
65.8,3.212
65.9,3.215
66.0,3.219
66.1,3.222
66.2,3.226
66.3,3.230
66.4,3.233
66.5,3.237
66.6,3.241
66.7,3.244
66.8,3.248
66.9,3.251
67.0,3.255
67.1,3.259
67.2,3.262
67.3,3.266
67.4,3.269
67.5,3.273
67.6,3.277
67.7,3.280
67.8,3.284
67.9,3.287
68.0,3.291
68.1,3.295
68.2,3.298
68.3,3.302
68.4,3.306
68.5,3.309
68.6,3.313
68.7,3.316
68.8,3.320
68.9,3.324
69.0,3.327
69.1,3.331
69.2,3.334
69.3,3.338
69.4,3.342
69.5,3.345
69.6,3.349
69.7,3.352
69.8,3.356
69.9,3.360
70.0,3.363
70.1,3.367
70.2,3.370
70.3,3.374
70.4,3.378
70.5,3.381
70.6,3.385
70.7,3.388
70.8,3.392
70.9,3.395
71.0,3.399
71.1,3.403
71.2,3.406
71.3,3.410
71.4,3.413
71.5,3.417
71.6,3.421
71.7,3.424
71.8,3.428
71.9,3.431
72.0,3.435
72.1,3.439
72.2,3.442
72.3,3.446
72.4,3.449
72.5,3.453
72.6,3.456
72.7,3.460
72.8,3.464
72.9,3.467
73.0,3.471
73.1,3.474
73.2,3.478
73.3,3.481
73.4,3.485
73.5,3.489
73.6,3.492
73.7,3.496
73.8,3.499
73.9,3.503
74.0,3.507
74.1,3.510
74.2,3.514
74.3,3.517
74.4,3.521
74.5,3.524
74.6,3.528
74.7,3.531
74.8,3.535
74.9,3.539
75.0,3.542
75.1,3.546
75.2,3.549
75.3,3.553
75.4,3.556
75.5,3.560
75.6,3.564
75.7,3.567
75.8,3.571
75.9,3.574
76.0,3.578
76.1,3.581
76.2,3.585
76.3,3.588
76.4,3.592
76.5,3.596
76.6,3.599
76.7,3.603
76.8,3.606
76.9,3.610
77.0,3.613
77.1,3.617
77.2,3.620
77.3,3.624
77.4,3.628
77.5,3.631
77.6,3.635
77.7,3.638
77.8,3.642
77.9,3.645
78.0,3.649
78.1,3.652
78.2,3.656
78.3,3.659
78.4,3.663
78.5,3.667
78.6,3.670
78.7,3.674
78.8,3.677
78.9,3.681
79.0,3.684
79.1,3.688
79.2,3.691
79.3,3.695
79.4,3.698
79.5,3.702
79.6,3.706
79.7,3.709
79.8,3.713
79.9,3.716
80.0,3.720
