ZONE,T="TIME=9.462000000000e+08"
0.0,9.000
0.1,9.004
0.2,9.008
0.3,9.013
0.4,9.017
0.5,9.021
0.6,9.025
0.7,9.029
0.8,9.034
0.9,9.038
1.0,9.042
1.1,9.046
1.2,9.050
1.3,9.055
1.4,9.059
1.5,9.063
1.6,9.067
1.7,9.071
1.8,9.076
1.9,9.080
2.0,9.084
2.1,9.088
2.2,9.092
2.3,9.097
2.4,9.101
2.5,9.105
2.6,9.109
2.7,9.113
2.8,9.117
2.9,9.122
3.0,9.126
3.1,9.130
3.2,9.134
3.3,9.138
3.4,9.143
3.5,9.147
3.6,9.151
3.7,9.155
3.8,9.159
3.9,9.163
4.0,9.167
4.1,9.172
4.2,9.176
4.3,9.180
4.4,9.184
4.5,9.188
4.6,9.192
4.7,9.196
4.8,9.201
4.9,9.205
5.0,9.209
5.1,9.213
5.2,9.217
5.3,9.221
5.4,9.225
5.5,9.229
5.6,9.234
5.7,9.238
5.8,9.242
5.9,9.246
6.0,9.250
6.1,9.254
6.2,9.258
6.3,9.262
6.4,9.266
6.5,9.270
6.6,9.275
6.7,9.279
6.8,9.283
6.9,9.287
7.0,9.291
7.1,9.295
7.2,9.299
7.3,9.303
7.4,9.307
7.5,9.311
7.6,9.315
7.7,9.319
7.8,9.323
7.9,9.327
8.0,9.331
8.1,9.335
8.2,9.339
8.3,9.343
8.4,9.347
8.5,9.351
8.6,9.355
8.7,9.359
8.8,9.363
8.9,9.367
9.0,9.371
9.1,9.375
9.2,9.379
9.3,9.383
9.4,9.387
9.5,9.391
9.6,9.395
9.7,9.398
9.8,9.402
9.9,9.406
10.0,9.410
10.1,9.414
10.2,9.418
10.3,9.422
10.4,9.426
10.5,9.430
10.6,9.433
10.7,9.437
10.8,9.441
10.9,9.445
11.0,9.449
11.1,9.453
11.2,9.457
11.3,9.460
11.4,9.464
11.5,9.468
11.6,9.472
11.7,9.476
11.8,9.479
11.9,9.483
12.0,9.487
12.1,9.491
12.2,9.494
12.3,9.498
12.4,9.502
12.5,9.506
12.6,9.509
12.7,9.513
12.8,9.517
12.9,9.520
13.0,9.524
13.1,9.528
13.2,9.531
13.3,9.535
13.4,9.539
13.5,9.542
13.6,9.546
13.7,9.550
13.8,9.553
13.9,9.557
14.0,9.561
14.1,9.564
14.2,9.568
14.3,9.571
14.4,9.575
14.5,9.578
14.6,9.582
14.7,9.586
14.8,9.589
14.9,9.593
15.0,9.596
15.1,9.600
15.2,9.603
15.3,9.607
15.4,9.610
15.5,9.614
15.6,9.617
15.7,9.620
15.8,9.624
15.9,9.627
16.0,9.631
16.1,9.634
16.2,9.637
16.3,9.641
16.4,9.644
16.5,9.648
16.6,9.651
16.7,9.654
16.8,9.658
16.9,9.661
17.0,9.664
17.1,9.668
17.2,9.671
17.3,9.674
17.4,9.677
17.5,9.681
17.6,9.684
17.7,9.687
17.8,9.690
17.9,9.694
18.0,9.697
18.1,9.700
18.2,9.703
18.3,9.706
18.4,9.709
18.5,9.713
18.6,9.716
18.7,9.719
18.8,9.722
18.9,9.725
19.0,9.728
19.1,9.731
19.2,9.734
19.3,9.737
19.4,9.740
19.5,9.743
19.6,9.746
19.7,9.749
19.8,9.752
19.9,9.755
20.0,9.758
20.1,9.761
20.2,9.764
20.3,9.767
20.4,9.770
20.5,9.773
20.6,9.776
20.7,9.778
20.8,9.781
20.9,9.784
21.0,9.787
21.1,9.790
21.2,9.792
21.3,9.795
21.4,9.798
21.5,9.801
21.6,9.803
21.7,9.806
21.8,9.809
21.9,9.812
22.0,9.814
22.1,9.817
22.2,9.820
22.3,9.822
22.4,9.825
22.5,9.827
22.6,9.830
22.7,9.832
22.8,9.835
22.9,9.838
23.0,9.840
23.1,9.843
23.2,9.845
23.3,9.848
23.4,9.850
23.5,9.852
23.6,9.855
23.7,9.857
23.8,9.860
23.9,9.862
24.0,9.864
24.1,9.867
24.2,9.869
24.3,9.871
24.4,9.874
24.5,9.876
24.6,9.878
24.7,9.880
24.8,9.883
24.9,9.885
25.0,9.887
25.1,9.889
25.2,9.891
25.3,9.894
25.4,9.896
25.5,9.898
25.6,9.900
25.7,9.902
25.8,9.904
25.9,9.906
26.0,9.908
