ZONE,T="TIME=9.462000000000e+08"
0.00,8.95
2.00,9.06
4.00,9.17
6.00,9.27
8.00,9.37
10.00,9.48
12.00,9.58
14.00,9.68
16.00,9.77
18.00,9.87
20.00,9.96
22.00,10.05
24.00,10.14
26.00,10.24
28.00,10.32
30.00,10.41
32.00,10.48
34.00,10.56
36.00,10.63
38.00,10.70
40.00,10.77
42.00,10.86
44.00,10.91
46.00,10.97
48.00,11.07
50.00,11.13
51.00,11.12
52.00,11.18
53.00,11.16
54.00,11.19
55.00,11.21
56.00,11.28
57.00,11.30
58.00,11.29
59.00,11.31
60.00,11.34
61.00,11.37
62.00,11.40
63.00,11.47
64.00,11.50
65.00,11.49
66.00,11.52
67.00,11.56
68.00,11.64
69.00,11.68
70.00,11.66
71.00,11.75
72.00,11.74
73.00,11.78
74.00,11.87
75.00,11.91
76.00,11.91
77.00,11.95
78.00,12.00
79.00,12.09
80.00,12.09
81.00,12.14
82.00,12.23
83.00,12.27
84.00,12.28
85.00,12.34
86.00,12.42
87.00,12.44
88.00,12.49
89.00,12.54
90.00,12.63
92.00,12.73
94.00,12.83
96.00,12.94
98.00,13.04
100.00,13.13
102.00,13.25
106.00,13.45
110.00,13.63
114.00,13.82
118.00,14.00
122.00,14.17
126.00,14.34
130.00,14.50
134.00,14.66
138.00,14.82
142.00,14.97
146.00,15.12
150.00,15.26
