ZONE,T="TIME=3.162240000000e+07"
0.0,2.702
0.1,2.718
0.2,2.752
0.3,2.804
0.4,2.871
0.5,2.952
0.6,3.046
0.7,3.150
0.8,3.263
0.9,3.384
1.0,3.512
1.1,3.645
1.2,3.783
1.3,3.925
1.4,4.068
1.5,4.214
1.6,4.360
1.7,4.506
1.8,4.651
1.9,4.795
2.0,4.937
2.1,5.076
2.2,5.213
2.3,5.345
2.4,5.475
2.5,5.599
2.6,5.720
2.7,5.835
2.8,5.946
2.9,6.051
3.0,6.150
3.1,6.245
3.2,6.333
3.3,6.416
3.4,6.492
3.5,6.563
3.6,6.628
3.7,6.687
3.8,6.740
3.9,6.787
4.0,6.828
4.1,6.864
4.2,6.893
4.3,6.917
4.4,6.935
4.5,6.948
4.6,6.955
4.7,6.956
4.8,6.953
4.9,6.944
5.0,6.930
5.1,6.914
5.2,6.896
5.3,6.877
5.4,6.856
5.5,6.833
5.6,6.809
5.7,6.783
5.8,6.757
5.9,6.729
6.0,6.700
6.1,6.670
6.2,6.640
6.3,6.609
6.4,6.577
6.5,6.545
6.6,6.512
6.7,6.479
6.8,6.446
6.9,6.413
7.0,6.379
7.1,6.346
7.2,6.312
7.3,6.279
7.4,6.246
7.5,6.213
7.6,6.181
7.7,6.148
7.8,6.116
7.9,6.085
8.0,6.054
8.1,6.024
8.2,5.994
8.3,5.964
8.4,5.935
8.5,5.907
8.6,5.880
8.7,5.853
8.8,5.827
8.9,5.801
9.0,5.776
9.1,5.752
9.2,5.729
9.3,5.706
9.4,5.684
9.5,5.663
9.6,5.643
9.7,5.623
9.8,5.604
9.9,5.586
10.0,5.568
10.1,5.551
10.2,5.535
10.3,5.520
10.4,5.505
10.5,5.491
10.6,5.477
10.7,5.465
10.8,5.453
10.9,5.441
11.0,5.430
11.1,5.420
11.2,5.410
11.3,5.401
11.4,5.392
11.5,5.384
11.6,5.377
11.7,5.370
11.8,5.363
11.9,5.358
12.0,5.352
12.1,5.347
12.2,5.342
12.3,5.338
12.4,5.334
12.5,5.331
12.6,5.328
12.7,5.325
12.8,5.323
12.9,5.321
13.0,5.320
13.1,5.318
13.2,5.317
13.3,5.317
13.4,5.316
13.5,5.316
13.6,5.316
13.7,5.317
13.8,5.317
13.9,5.318
14.0,5.319
14.1,5.321
14.2,5.322
14.3,5.324
14.4,5.326
14.5,5.328
14.6,5.330
14.7,5.332
14.8,5.335
14.9,5.337
15.0,5.340
15.1,5.343
15.2,5.346
15.3,5.349
15.4,5.353
15.5,5.356
15.6,5.359
15.7,5.363
15.8,5.366
15.9,5.370
16.0,5.374
16.1,5.378
16.2,5.382
16.3,5.386
16.4,5.390
16.5,5.394
16.6,5.398
16.7,5.402
16.8,5.407
16.9,5.411
17.0,5.415
17.1,5.420
17.2,5.424
17.3,5.429
17.4,5.433
17.5,5.438
17.6,5.442
17.7,5.447
17.8,5.451
17.9,5.456
18.0,5.461
18.1,5.465
18.2,5.470
18.3,5.475
18.4,5.480
18.5,5.484
18.6,5.489
18.7,5.494
18.8,5.499
18.9,5.504
19.0,5.509
19.1,5.513
19.2,5.518
19.3,5.523
19.4,5.528
19.5,5.533
19.6,5.538
19.7,5.543
19.8,5.548
19.9,5.553
20.0,5.558
20.1,5.562
20.2,5.567
20.3,5.572
20.4,5.577
20.5,5.582
20.6,5.587
20.7,5.592
20.8,5.597
20.9,5.602
21.0,5.607
21.1,5.612
21.2,5.617
21.3,5.622
21.4,5.627
21.5,5.632
21.6,5.637
21.7,5.642
21.8,5.647
21.9,5.652
22.0,5.657
22.1,5.662
22.2,5.667
22.3,5.672
22.4,5.677
22.5,5.682
22.6,5.687
22.7,5.692
22.8,5.697
22.9,5.702
23.0,5.707
23.1,5.713
23.2,5.718
23.3,5.723
23.4,5.728
23.5,5.733
23.6,5.738
23.7,5.743
23.8,5.748
23.9,5.753
24.0,5.758
24.1,5.763
24.2,5.768
24.3,5.773
24.4,5.778
24.5,5.783
24.6,5.788
24.7,5.793
24.8,5.798
24.9,5.803
25.0,5.808
25.1,5.813
25.2,5.818
25.3,5.823
25.4,5.829
25.5,5.834
25.6,5.839
25.7,5.844
25.8,5.849
25.9,5.854
26.0,5.859
26.1,5.864
26.2,5.869
26.3,5.874
26.4,5.879
26.5,5.884
26.6,5.889
26.7,5.894
26.8,5.899
26.9,5.904
27.0,5.909
27.1,5.915
27.2,5.920
27.3,5.925
27.4,5.930
27.5,5.935
