ZONE,T="TIME=3.162240000000e+07"
0,9.000082358
0.1,9.00108823
0.2,9.002094181
0.3,9.00310021
0.4,9.004106318
0.5,9.005112504
0.6,9.006118769
0.7,9.007125113
0.8,9.008131535
0.9,9.009138037
1,9.010144618
1.1,9.011151278
1.2,9.012158019
1.3,9.013164839
1.4,9.01417174
1.5,9.015178722
1.6,9.016185784
1.7,9.017192929
1.8,9.018200155
1.9,9.019207463
2,9.020214854
2.1,9.021222329
2.2,9.022229887
2.3,9.02323753
2.4,9.024245257
2.5,9.02525307
2.6,9.026260968
2.7,9.027268953
2.8,9.028277026
2.9,9.029285186
3,9.030293435
3.1,9.031301773
3.2,9.032310201
3.3,9.03331872
3.4,9.03432733
3.5,9.035336033
3.6,9.036344828
3.7,9.037353718
3.8,9.038362702
3.9,9.039371782
4,9.040380958
4.1,9.041390232
4.2,9.042399604
4.3,9.043409076
4.4,9.044418647
4.5,9.04542832
4.6,9.046438095
4.7,9.047447973
4.8,9.048457956
4.9,9.049468044
5,9.050478238
5.1,9.05148854
5.2,9.05249895
5.3,9.05350947
5.4,9.054520101
5.5,9.055530843
5.6,9.056541699
5.7,9.05755267
5.8,9.058563756
5.9,9.059574958
6,9.060586279
6.1,9.061597718
6.2,9.062609279
6.3,9.063620961
6.4,9.064632766
6.5,9.065644695
6.6,9.06665675
6.7,9.067668932
6.8,9.068681242
6.9,9.069693681
7,9.070706252
7.1,9.071718955
7.2,9.072731792
7.3,9.073744764
7.4,9.074757872
7.5,9.075771118
7.6,9.076784504
7.7,9.077798031
7.8,9.078811699
7.9,9.079825512
8,9.080839469
8.1,9.081853573
8.2,9.082867825
8.3,9.083882227
8.4,9.08489678
8.5,9.085911485
8.6,9.086926345
8.7,9.08794136
8.8,9.088956532
8.9,9.089971863
9,9.090987354
9.1,9.092003007
9.2,9.093018823
9.3,9.094034804
9.4,9.095050952
9.5,9.096067267
9.6,9.097083752
9.7,9.098100408
9.8,9.099117238
9.9,9.100134241
10,9.10115142
10.1,9.102168777
10.2,9.103186314
10.3,9.104204031
10.4,9.10522193
10.5,9.106240014
10.6,9.107258283
10.7,9.10827674
10.8,9.109295385
10.9,9.110314221
11,9.11133325
11.1,9.112352472
11.2,9.11337189
11.3,9.114391505
11.4,9.115411319
11.5,9.116431334
11.6,9.11745155
11.7,9.118471971
11.8,9.119492597
11.9,9.120513431
12,9.121534473
12.1,9.122555726
12.2,9.123577191
12.3,9.12459887
12.4,9.125620765
12.5,9.126642877
12.6,9.127665208
12.7,9.12868776
12.8,9.129710534
12.9,9.130733533
13,9.131756757
13.1,9.132780208
13.2,9.133803889
13.3,9.134827801
