ZONE,T="TIME=3.162240000000e+07"
50,4.748105351
50.1,4.749904369
50.2,4.751693467
50.3,4.753472648
50.4,4.755241917
50.5,4.757001281
50.6,4.758750751
50.7,4.760490337
50.8,4.762220052
50.9,4.763939913
51,4.765649936
51.1,4.767350142
51.2,4.769040551
51.3,4.770721188
51.4,4.772392078
51.5,4.774053248
51.6,4.775704729
51.7,4.77734655
51.8,4.778978747
51.9,4.780601353
52,4.782214406
52.1,4.783817945
52.2,4.785412011
52.3,4.786996646
52.4,4.788571895
52.5,4.790137803
52.6,4.791694419
52.7,4.793241791
52.8,4.794779972
52.9,4.796309014
53,4.797828971
53.1,4.799339899
53.2,4.800841856
53.3,4.802334901
53.4,4.803819093
53.5,4.805294496
53.6,4.806761172
53.7,4.808219186
53.8,4.809668603
53.9,4.811109492
54,4.812541921
54.1,4.813965958
54.2,4.815381676
54.3,4.816789145
54.4,4.81818844
54.5,4.819579634
54.6,4.820962803
54.7,4.822338021
54.8,4.823705367
54.9,4.825064919
55,4.826416754
55.1,4.827760953
55.2,4.829097596
55.3,4.830426764
55.4,4.831748538
55.5,4.833063001
55.6,4.834370236
55.7,4.835670326
55.8,4.836963356
55.9,4.838249409
56,4.83952857
56.1,4.840800926
56.2,4.842066561
56.3,4.843325561
56.4,4.844578013
56.5,4.845824002
56.6,4.847063617
56.7,4.848296942
56.8,4.849524066
56.9,4.850745075
57,4.851960056
57.1,4.853169097
57.2,4.854372283
57.3,4.855569702
57.4,4.856761441
57.5,4.857947587
57.6,4.859128225
57.7,4.860303442
57.8,4.861473325
57.9,4.862637958
58,4.863797428
58.1,4.864951819
58.2,4.866101216
58.3,4.867245704
58.4,4.868385366
58.5,4.869520286
58.6,4.870650547
58.7,4.871776231
58.8,4.872897421
58.9,4.874014197
59,4.875126642
59.1,4.876234834
59.2,4.877338853
59.3,4.878438779
59.4,4.87953469
59.5,4.880626663
59.6,4.881714776
59.7,4.882799104
59.8,4.883879724
59.9,4.884956709
60,4.886030134
60.1,4.887100071
60.2,4.888166594
60.3,4.889229774
60.4,4.890289681
60.5,4.891346386
60.6,4.892399957
60.7,4.893450463
60.8,4.894497971
60.9,4.895542547
61,4.896584257
61.1,4.897623166
61.2,4.898659337
61.3,4.899692833
61.4,4.900723716
61.5,4.901752047
61.6,4.902777886
61.7,4.903801293
61.8,4.904822325
61.9,4.90584104
62,4.906857494
62.1,4.907871743
62.2,4.908883841
62.3,4.909893842
62.4,4.910901798
62.5,4.911907762
62.6,4.912911783
62.7,4.913913912
62.8,4.914914197
62.9,4.915912687
63,4.916909429
63.1,4.917904469
63.2,4.918897852
63.3,4.919889622
63.4,4.920879824
63.5,4.921868499
63.6,4.922855689
63.7,4.923841435
63.8,4.924825777
63.9,4.925808753
64,4.926790403
64.1,4.927770763
64.2,4.92874987
64.3,4.92972776
64.4,4.930704467
64.5,4.931680025
64.6,4.932654467
64.7,4.933627826
64.8,4.934600134
64.9,4.93557142
65,4.936541716
65.1,4.937511049
65.2,4.938479449
65.3,4.939446944
65.4,4.940413559
65.5,4.941379322
65.6,4.942344258
65.7,4.943308392
65.8,4.944271747
65.9,4.945234347
66,4.946196215
66.1,4.947157372
66.2,4.94811784
66.3,4.949077639
66.4,4.95003679
66.5,4.950995312
66.6,4.951953223
66.7,4.952910541
66.8,4.953867284
66.9,4.954823469
67,4.955779112
67.1,4.956734228
67.2,4.957688833
67.3,4.958642941
67.4,4.959596565
67.5,4.96054972
67.6,4.961502417
67.7,4.962454669
67.8,4.963406488
67.9,4.964357885
68,4.965308869
68.1,4.966259452
68.2,4.967209643
68.3,4.968159451
68.4,4.969108884
68.5,4.97005795
68.6,4.971006657
68.7,4.971955012
68.8,4.972903021
68.9,4.97385069
69,4.974798025
69.1,4.975745031
69.2,4.976691712
69.3,4.977638072
69.4,4.978584116
69.5,4.979529845
69.6,4.980475264
69.7,4.981420373
