ZONE,T="TIME=3.162240000000e+07"
0,8.9997920
2,9.0199122
4,9.0400446
6,9.0602040
8,9.0804115
10,9.1006914
12,9.1210687
14,9.1415672
16,9.1622091
18,9.1830152
20,9.2040056
22,9.2251993
24,9.2466150
26,9.2682711
28,9.2901853
30,9.3123703
32,9.3348066
34,9.3573359
36,9.3793412
38,9.3989727
40,9.4115848
42,9.4071135
44,9.3662080
46,9.2577205
48,9.0535271
50,8.7695470
51,8.6742557
52,8.5932836
53,8.5288186
54,8.4801253
55,8.4450012
56,8.4209050
57,8.4054907
58,8.3967713
59,8.3931341
60,8.3933032
61,8.3962879
62,8.4013314
63,8.4078645
64,8.4154662
65,8.4238301
66,8.4327381
67,8.4420383
68,8.4516294
69,8.4614478
70,8.4714604
71,8.4816598
72,8.4920637
73,8.5027174
74,8.5137005
75,8.5251368
76,8.5372100
77,8.5501834
78,8.5644264
79,8.5804478
80,8.5989363
81,8.6208099
82,8.6472718
83,8.6798727
84,8.7205670
85,8.7717370
86,8.8361164
87,8.9164519
88,9.0146541
89,9.1303515
90,9.2594232
92,9.5241300
94,9.7416789
96,9.8889069
98,9.9818992
100,10.0423530
102,10.0849305
106,10.1464026
110,10.1983038
114,10.2494915
118,10.3013606
122,10.3539191
126,10.4070717
130,10.4607368
134,10.5148922
138,10.5697705
142,10.6261613
146,10.6854814
150,10.7492371
