ZONE,T="TIME=3.162240000000e+07"
50,8.153961924
51,8.167268731
52,8.18911754
53,8.215399938
54,8.242122387
55,8.266910924
56,8.288963566
57,8.308342705
58,8.325416265
59,8.340610929
60,8.354321914
61,8.366885778
62,8.378577571
63,8.38961645
64,8.400173637
65,8.410380431
66,8.420335463
67,8.430110919
68,8.439757658
69,8.449309193
70,8.45878454
71,8.468189931
72,8.477519393
73,8.486754198
74,8.495861179
75,8.504789908
76,8.513468744
77,8.521799738
78,8.529652436
79,8.536856635
80,8.543194378
81,8.548391989
82,8.55211444
83,8.55396816
84,8.553528183
85,8.5504283
86,8.544607764
87,8.536870052
88,8.529590385
89,8.526763259
90,8.532497685
