ZONE,T="TIME=9.462000000000e+08"
0,8.9424362
2,8.9615880
4,8.9787868
6,8.9939623
8,9.0069952
10,9.0177143
12,9.0258915
14,9.0312356
16,9.0333829
18,9.0318851
20,9.0261931
22,9.0156344
24,8.9993829
26,8.9764159
28,8.9454543
30,8.9048762
32,8.8525888
34,8.7858360
36,8.7008987
38,8.5926177
40,8.4536119
42,8.2730279
44,8.0344470
46,7.7149453
48,7.3004113
50,6.8252821
51,6.6713107
52,6.5314194
53,6.4086364
54,6.3029968
55,6.2129829
56,6.1366414
57,6.0721117
58,6.0177900
59,5.9723491
60,5.9347103
61,5.9040037
62,5.8795310
63,5.8607338
64,5.8471686
65,5.8384876
66,5.8344233
67,5.8347775
68,5.8394136
69,5.8482507
70,5.8612601
71,5.8784643
72,5.8999366
73,5.9258041
74,5.9562510
75,5.9915253
76,6.0319475
77,6.0779226
78,6.1299562
79,6.1886747
80,6.2548528
81,6.3294465
82,6.4136352
83,6.5088682
84,6.6169092
85,6.7398521
86,6.8800393
87,7.0397251
88,7.2202337
89,7.4205268
90,7.6357553
92,8.0743879
94,8.4629523
96,8.7728446
98,9.0159770
100,9.2114784
102,9.3730373
106,9.6267639
110,9.8201268
114,9.9756228
118,10.1057731
122,10.2182197
126,10.3179396
130,10.4083215
134,10.4917358
138,10.5698552
142,10.6438433
146,10.7144671
150,10.7821640
