ZONE,T="TIME=9.462000000000e+08"
50,4.661359382
51,4.674967489
52,4.697707702
53,4.725435016
54,4.754097789
55,4.781246439
56,4.805990827
57,4.8282981
58,4.848439268
59,4.866747316
60,4.883530997
61,4.899050539
62,4.913516494
63,4.927095916
64,4.93991988
65,4.9520903
66,4.963685496
67,4.974764502
68,4.985370273
69,4.995531988
70,5.005266573
71,5.014579584
72,5.023465487
73,5.031907376
74,5.039876096
75,5.04732871
76,5.054206206
77,5.060430284
78,5.065899048
79,5.070481441
80,5.074010428
81,5.076275469
82,5.077016354
83,5.075924343
84,5.072666462
85,5.066971713
86,5.058872956
87,5.049260339
88,5.04058345
89,5.036893935
90,5.042336801
