ZONE,T="TIME=9.434016000000e+08"
0,8.853431256
0.1,8.85443219
0.2,8.855423325
0.3,8.856404661
0.4,8.857376196
0.5,8.85833793
0.6,8.859289861
0.7,8.860231988
0.8,8.861164308
0.9,8.86208682
1,8.86299952
1.1,8.863902405
1.2,8.864795473
1.3,8.86567872
1.4,8.866552141
1.5,8.867415734
1.6,8.868269492
1.7,8.869113411
1.8,8.869947487
1.9,8.870771713
2,8.871586085
2.1,8.872390595
2.2,8.873185237
2.3,8.873970006
2.4,8.874744893
2.5,8.875509892
2.6,8.876264994
2.7,8.877010193
2.8,8.877745479
2.9,8.878470844
3,8.879186279
3.1,8.879891776
3.2,8.880587324
3.3,8.881272914
3.4,8.881948535
3.5,8.882614178
3.6,8.883269831
3.7,8.883915484
3.8,8.884551125
3.9,8.885176742
4,8.885792325
4.1,8.886397859
4.2,8.886993333
4.3,8.887578734
4.4,8.888154048
4.5,8.888719263
4.6,8.889274364
4.7,8.889819337
4.8,8.890354168
4.9,8.890878842
5,8.891393344
5.1,8.891897659
5.2,8.892391771
5.3,8.892875664
5.4,8.893349321
5.5,8.893812727
5.6,8.894265865
5.7,8.894708716
5.8,8.895141265
5.9,8.895563492
6,8.89597538
6.1,8.896376911
6.2,8.896768065
6.3,8.897148825
6.4,8.89751917
6.5,8.89787908
6.6,8.898228537
6.7,8.898567519
6.8,8.898896007
6.9,8.899213979
7,8.899521414
7.1,8.899818291
7.2,8.900104588
7.3,8.900380284
7.4,8.900645355
7.5,8.90089978
7.6,8.901143534
7.7,8.901376596
7.8,8.901598942
7.9,8.901810547
8,8.902011387
8.1,8.902201439
8.2,8.902380677
8.3,8.902549077
8.4,8.902706613
8.5,8.90285326
8.6,8.902988991
8.7,8.903113781
8.8,8.903227602
8.9,8.903330429
9,8.903422234
9.1,8.903502989
9.2,8.903572668
9.3,8.903631242
9.4,8.903678682
9.5,8.903714961
9.6,8.90374005
9.7,8.903753918
9.8,8.903756538
9.9,8.903747879
10,8.903727911
10.1,8.903696603
10.2,8.903653926
10.3,8.903599849
10.4,8.90353434
10.5,8.903457367
10.6,8.9033689
10.7,8.903268906
10.8,8.903157352
10.9,8.903034207
11,8.902899436
11.1,8.902753008
11.2,8.902594889
11.3,8.902425044
11.4,8.90224344
11.5,8.902050043
11.6,8.901844818
11.7,8.90162773
11.8,8.901398744
11.9,8.901157824
12,8.900904935
12.1,8.900640041
12.2,8.900363105
12.3,8.900074092
12.4,8.899772963
12.5,8.899459683
12.6,8.899134213
12.7,8.898796516
12.8,8.898446554
12.9,8.898084289
13,8.897709682
13.1,8.897322695
13.2,8.896923288
13.3,8.896511423
13.4,8.896087059
13.5,8.895650157
13.6,8.895200676
13.7,8.894738577
13.8,8.894263818
13.9,8.893776359
14,8.893276159
14.1,8.892763175
14.2,8.892237366
14.3,8.891698691
14.4,8.891147107
14.5,8.890582571
14.6,8.89000504
14.7,8.889414472
14.8,8.888810823
14.9,8.88819405
15,8.887564108
15.1,8.886920954
15.2,8.886264543
15.3,8.885594831
