ZONE,T="TIME=9.462000000000e+08"
50,5.066671378
50.1,5.06751752
50.2,5.068364194
50.3,5.0692114
50.4,5.070059137
50.5,5.070907407
50.6,5.071756209
50.7,5.072605543
50.8,5.073455409
50.9,5.074305807
51,5.075156737
51.1,5.076008199
51.2,5.076860193
51.3,5.077712719
51.4,5.078565777
51.5,5.079419367
51.6,5.080273489
51.7,5.081128143
51.8,5.081983329
51.9,5.082839048
52,5.083695298
52.1,5.08455208
52.2,5.085409394
52.3,5.086267241
52.4,5.087125619
52.5,5.087984529
52.6,5.088843972
52.7,5.089703946
52.8,5.090564453
52.9,5.091425491
53,5.092287062
53.1,5.093149165
53.2,5.094011799
53.3,5.094874966
53.4,5.095738665
53.5,5.096602896
53.6,5.097467659
53.7,5.098332954
53.8,5.099198781
53.9,5.10006514
54,5.100932031
54.1,5.101799455
54.2,5.10266741
54.3,5.103535898
54.4,5.104404917
54.5,5.105274469
54.6,5.106144553
54.7,5.107015169
54.8,5.107886317
54.9,5.108757997
55,5.109630209
55.1,5.110502953
55.2,5.11137623
55.3,5.112250038
55.4,5.113124379
55.5,5.113999252
55.6,5.114874657
55.7,5.115750594
55.8,5.116627063
55.9,5.117504065
56,5.118381598
56.1,5.119259664
56.2,5.120138262
56.3,5.121017392
56.4,5.121897055
56.5,5.122777249
56.6,5.123657976
56.7,5.124539235
56.8,5.125421026
56.9,5.126303349
57,5.127186205
57.1,5.128069592
57.2,5.128953512
57.3,5.129837964
57.4,5.130722949
57.5,5.131608465
57.6,5.132494514
57.7,5.133381095
57.8,5.134268209
57.9,5.135155854
58,5.136044032
58.1,5.136932743
58.2,5.137821985
58.3,5.13871176
58.4,5.139602067
58.5,5.140492906
58.6,5.141384278
58.7,5.142276182
58.8,5.143168618
58.9,5.144061587
59,5.144955088
59.1,5.145849122
59.2,5.146743687
59.3,5.147638785
59.4,5.148534416
59.5,5.149430579
59.6,5.150327274
59.7,5.151224501
59.8,5.152122261
59.9,5.153020554
60,5.153919378
60.1,5.154818736
60.2,5.155718625
60.3,5.156619047
60.4,5.157520002
60.5,5.158421489
60.6,5.159323508
60.7,5.16022606
60.8,5.161129145
60.9,5.162032761
61,5.162936911
61.1,5.163841593
61.2,5.164746807
61.3,5.165652554
61.4,5.166558833
61.5,5.167465645
61.6,5.168372989
61.7,5.169280866
61.8,5.170189276
61.9,5.171098218
62,5.172007693
62.1,5.1729177
62.2,5.17382824
62.3,5.174739313
62.4,5.175650918
62.5,5.176563055
62.6,5.177475726
62.7,5.178388929
62.8,5.179302664
62.9,5.180216933
63,5.181131733
63.1,5.182047067
63.2,5.182962933
63.3,5.183879332
63.4,5.184796264
63.5,5.185713728
63.6,5.186631726
63.7,5.187550255
63.8,5.188469318
63.9,5.189388913
64,5.190309041
64.1,5.191229702
64.2,5.192150896
64.3,5.193072622
64.4,5.193994882
64.5,5.194917674
64.6,5.195840999
64.7,5.196764856
64.8,5.197689247
64.9,5.19861417
65,5.199539626
65.1,5.200465616
65.2,5.201392138
65.3,5.202319192
65.4,5.20324678
65.5,5.204174901
65.6,5.205103554
65.7,5.206032741
65.8,5.20696246
65.9,5.207892713
66,5.208823498
66.1,5.209754817
66.2,5.210686668
66.3,5.211619052
66.4,5.212551969
66.5,5.21348542
66.6,5.214419403
66.7,5.21535392
66.8,5.216288969
66.9,5.217224551
67,5.218160667
67.1,5.219097316
67.2,5.220034497
67.3,5.220972212
67.4,5.22191046
67.5,5.222849241
67.6,5.223788555
67.7,5.224728402
67.8,5.225668783
67.9,5.226609696
68,5.227551143
68.1,5.228493123
68.2,5.229435636
68.3,5.230378683
68.4,5.231322262
68.5,5.232266375
68.6,5.233211021
68.7,5.2341562
68.8,5.235101913
68.9,5.236048158
69,5.236994937
69.1,5.23794225
69.2,5.238890095
69.3,5.239838474
69.4,5.240787387
69.5,5.241736832
69.6,5.242686811
69.7,5.243637323
69.8,5.244588369
69.9,5.245539948
70,5.246492061
70.1,5.247444706
70.2,5.248397886
70.3,5.249351598
70.4,5.250305844
70.5,5.251260624
70.6,5.252215937
70.7,5.253171783
70.8,5.254128163
70.9,5.255085077
71,5.256042524
71.1,5.257000504
71.2,5.257959018
71.3,5.258918065
71.4,5.259877646
71.5,5.260837761
71.6,5.261798409
71.7,5.262759591
71.8,5.263721306
71.9,5.264683555
72,5.265646337
72.1,5.266609653
72.2,5.267573503
72.3,5.268537886
72.4,5.269502803
72.5,5.270468254
72.6,5.271434238
72.7,5.272400756
72.8,5.273367808
72.9,5.274335393
73,5.275303512
73.1,5.276272165
73.2,5.277241352
73.3,5.278211072
73.4,5.279181326
73.5,5.280152114
73.6,5.281123435
73.7,5.282095291
73.8,5.28306768
73.9,5.284040603
74,5.285014059
74.1,5.28598805
74.2,5.286962574
74.3,5.287937633
74.4,5.288913225
74.5,5.289889351
74.6,5.290866011
74.7,5.291843204
74.8,5.292820932
74.9,5.293799194
75,5.294777989
75.1,5.295757319
75.2,5.296737182
75.3,5.297717579
75.4,5.29869851
75.5,5.299679976
75.6,5.300661975
75.7,5.301644508
75.8,5.302627575
75.9,5.303611176
76,5.304595312
76.1,5.305579981
76.2,5.306565184
76.3,5.307550921
76.4,5.308537193
76.5,5.309523998
76.6,5.310511338
76.7,5.311499211
76.8,5.312487619
76.9,5.313476561
77,5.314466037
77.1,5.315456047
77.2,5.316446591
77.3,5.317437669
77.4,5.318429282
77.5,5.319421428
77.6,5.320414109
77.7,5.321407324
77.8,5.322401073
77.9,5.323395357
78,5.324390174
78.1,5.325385526
78.2,5.326381412
78.3,5.327377832
78.4,5.328374787
78.5,5.329372275
78.6,5.330370298
78.7,5.331368856
78.8,5.332367947
78.9,5.333367573
79,5.334367733
79.1,5.335368427
79.2,5.336369656
79.3,5.337371419
79.4,5.338373716
79.5,5.339376548
79.6,5.340379914
79.7,5.341383814
79.8,5.342388249
79.9,5.343393218
80,5.344398721
80.1,5.345404759
80.2,5.346411331
80.3,5.347418438
80.4,5.348426079
80.5,5.349434254
80.6,5.350442964
80.7,5.351452208
80.8,5.352461987
80.9,5.3534723
81,5.354483148
81.1,5.35549453
81.2,5.356506446
81.3,5.357518897
81.4,5.358531882
81.5,5.359545402
81.6,5.360559457
81.7,5.361574045
81.8,5.362589169
81.9,5.363604827
82,5.364621019
82.1,5.365637746
82.2,5.366655007
82.3,5.367672803
82.4,5.368691134
82.5,5.369709999
82.6,5.370729398
82.7,5.371749332
82.8,5.372769801
82.9,5.373790804
83,5.374812342
83.1,5.375834415
83.2,5.376857022
83.3,5.377880163
83.4,5.37890384
83.5,5.37992805
83.6,5.380952796
83.7,5.381978076
83.8,5.38300389
83.9,5.38403024
84,5.385057124
84.1,5.386084542
84.2,5.387112495
84.3,5.388140983
84.4,5.389170006
84.5,5.390199563
84.6,5.391229655
84.7,5.392260281
84.8,5.393291442
84.9,5.394323138
85,5.395355368
85.1,5.396388133
85.2,5.397421433
85.3,5.398455268
85.4,5.399489637
85.5,5.400524541
85.6,5.401559979
85.7,5.402595953
85.8,5.403632461
85.9,5.404669503
86,5.405707081
86.1,5.406745193
86.2,5.40778384
86.3,5.408823021
86.4,5.409862738
86.5,5.410902989
86.6,5.411943775
86.7,5.412985095
86.8,5.41402695
86.9,5.41506934
87,5.416112265
87.1,5.417155725
87.2,5.418199719
87.3,5.419244248
87.4,5.420289311
87.5,5.42133491
87.6,5.422381043
87.7,5.423427711
87.8,5.424474914
87.9,5.425522652
88,5.426570924
88.1,5.427619731
88.2,5.428669073
88.3,5.429718949
88.4,5.430769361
88.5,5.431820307
88.6,5.432871788
88.7,5.433923804
88.8,5.434976354
88.9,5.436029439
89,5.437083059
89.1,5.438137214
89.2,5.439191904
89.3,5.440247128
89.4,5.441302887
89.5,5.442359181
89.6,5.44341601
89.7,5.444473374
89.8,5.445531272
89.9,5.446589705
90,5.447648673
