ZONE,T="TIME=9.434016000000e+08"
0,9
0.1,8.999702435
0.2,8.999404808
0.3,8.999107059
0.4,8.998809125
0.5,8.998510946
0.6,8.99821246
0.7,8.997913605
0.8,8.99761432
0.9,8.997314543
1,8.997014214
1.1,8.996713271
1.2,8.996411651
1.3,8.996109295
1.4,8.99580614
1.5,8.995502124
1.6,8.995197187
1.7,8.994891267
1.8,8.994584301
1.9,8.99427623
2,8.99396699
2.1,8.993656522
2.2,8.993344762
2.3,8.993031649
2.4,8.992717122
2.5,8.992401119
2.6,8.992083579
2.7,8.991764439
2.8,8.991443639
2.9,8.991121115
3,8.990796808
3.1,8.990470654
3.2,8.990142592
3.3,8.98981256
3.4,8.989480496
3.5,8.989146339
3.6,8.988810026
3.7,8.988471495
3.8,8.988130686
3.9,8.987787535
4,8.98744198
4.1,8.98709396
4.2,8.986743412
4.3,8.986390275
4.4,8.986034486
4.5,8.985675982
4.6,8.985314703
4.7,8.984950584
4.8,8.984583565
4.9,8.984213583
5,8.983840575
5.1,8.983464479
5.2,8.983085233
5.3,8.982702773
5.4,8.982317038
5.5,8.981927965
5.6,8.981535491
5.7,8.981139554
5.8,8.980740091
5.9,8.980337038
6,8.979930334
6.1,8.979519916
6.2,8.97910572
6.3,8.978687683
6.4,8.978265743
6.5,8.977839837
6.6,8.977409901
6.7,8.976975872
6.8,8.976537687
6.9,8.976095283
7,8.975648597
7.1,8.975197564
7.2,8.974742122
7.3,8.974282208
7.4,8.973817757
7.5,8.973348706
7.6,8.972874991
7.7,8.97239655
7.8,8.971913317
7.9,8.971425229
8,8.970932223
8.1,8.970434233
8.2,8.969931197
8.3,8.96942305
8.4,8.968909729
8.5,8.968391168
8.6,8.967867303
8.7,8.967338071
8.8,8.966803407
8.9,8.966263246
9,8.965717524
9.1,8.965166176
9.2,8.964609138
9.3,8.964046345
9.4,8.963477732
9.5,8.962903234
9.6,8.962322786
9.7,8.961736324
9.8,8.961143781
9.9,8.960545094
10,8.959940196
10.1,8.959329023
10.2,8.958711509
10.3,8.958087589
10.4,8.957457197
10.5,8.956820267
10.6,8.956176735
10.7,8.955526533
10.8,8.954869597
10.9,8.954205859
11,8.953535256
11.1,8.952857719
11.2,8.952173184
11.3,8.951481584
11.4,8.950782852
11.5,8.950076923
11.6,8.949363729
11.7,8.948643205
11.8,8.947915283
11.9,8.947179897
12,8.94643698
12.1,8.945686466
12.2,8.944928286
12.3,8.944162375
12.4,8.943388665
12.5,8.942607089
12.6,8.941817579
12.7,8.941020069
12.8,8.94021449
12.9,8.939400776
13,8.938578857
13.1,8.937748668
13.2,8.936910139
13.3,8.936063204
13.4,8.935207794
13.5,8.93434384
13.6,8.933471275
13.7,8.932590031
13.8,8.931700039
13.9,8.93080123
14,8.929893536
14.1,8.928976889
14.2,8.92805122
14.3,8.92711646
14.4,8.92617254
14.5,8.92521939
14.6,8.924256943
14.7,8.923285129
14.8,8.922303877
14.9,8.92131312
15,8.920312788
15.1,8.919302811
15.2,8.918283119
15.3,8.917253643
15.4,8.916214312
15.5,8.915165058
15.6,8.914105809
15.7,8.913036496
15.8,8.911957049
15.9,8.910867397
16,8.909767469
16.1,8.908657196
16.2,8.907536506
16.3,8.90640533
16.4,8.905263595
16.5,8.904111232
16.6,8.902948169
16.7,8.901774335
16.8,8.900589659
16.9,8.89939407
17,8.898187496
17.1,8.896969866
17.2,8.895741108
17.3,8.89450115
17.4,8.893249922
17.5,8.89198735
17.6,8.890713364
17.7,8.88942789
17.8,8.888130857
17.9,8.886822192
18,8.885501823
18.1,8.884169679
18.2,8.882825685
18.3,8.881469769
18.4,8.88010186
18.5,8.878721883
18.6,8.877329766
18.7,8.875925435
18.8,8.874508819
18.9,8.873079843
19,8.871638434
19.1,8.870184519
19.2,8.868718023
19.3,8.867238875
19.4,8.865746999
19.5,8.864242322
19.6,8.86272477
19.7,8.861194269
19.8,8.859650746
19.9,8.858094124
20,8.856524331
20.1,8.854941293
20.2,8.853344933
20.3,8.851735179
20.4,8.850111954
20.5,8.848475185
20.6,8.846824797
20.7,8.845160714
20.8,8.843482861
20.9,8.841791164
21,8.840085547
21.1,8.838365934
21.2,8.836632251
21.3,8.834884421
21.4,8.833122369
21.5,8.83134602
21.6,8.829555297
21.7,8.827750125
21.8,8.825930427
21.9,8.824096127
22,8.82224715
22.1,8.820383418
22.2,8.818504856
22.3,8.816611387
22.4,8.814702935
22.5,8.812779423
22.6,8.810840773
22.7,8.80888691
22.8,8.806917756
22.9,8.804933235
23,8.802933269
23.1,8.800917781
23.2,8.798886694
23.3,8.79683993
23.4,8.794777412
23.5,8.792699063
23.6,8.790604804
23.7,8.788494559
23.8,8.786368249
23.9,8.784225797
24,8.782067124
24.1,8.779892153
24.2,8.777700805
24.3,8.775493002
24.4,8.773268666
24.5,8.771027719
24.6,8.768770082
24.7,8.766495676
24.8,8.764204424
24.9,8.761896245
25,8.759571063
25.1,8.757228797
25.2,8.754869369
25.3,8.752492699
25.4,8.75009871
25.5,8.747687321
25.6,8.745258453
25.7,8.742812028
25.8,8.740347965
25.9,8.737866186
26,8.73536661
26.1,8.732849159
26.2,8.730313753
26.3,8.727760311
26.4,8.725188754
26.5,8.722599003
26.6,8.719990977
26.7,8.717364596
26.8,8.714719781
26.9,8.712056451
27,8.709374526
27.1,8.706673926
27.2,8.70395457
27.3,8.701216378
27.4,8.69845927
27.5,8.695683165
27.6,8.692887983
27.7,8.690073643
27.8,8.687240065
27.9,8.684387167
28,8.681514869
28.1,8.67862309
28.2,8.675711749
28.3,8.672780765
28.4,8.669830058
28.5,8.666859546
28.6,8.663869148
28.7,8.660858783
28.8,8.65782837
28.9,8.654777827
29,8.651707074
29.1,8.648616028
29.2,8.645504609
29.3,8.642372735
29.4,8.639220325
29.5,8.636047297
29.6,8.63285357
29.7,8.629639062
29.8,8.626403691
29.9,8.623147376
30,8.619870035
30.1,8.616571586
30.2,8.613251948
30.3,8.609911039
30.4,8.606548776
30.5,8.603165079
30.6,8.599759865
30.7,8.596333052
30.8,8.592884558
30.9,8.589414301
31,8.5859222
31.1,8.582408172
31.2,8.578872135
31.3,8.575314008
31.4,8.571733707
31.5,8.568131151
31.6,8.564506258
31.7,8.560858946
31.8,8.557189132
31.9,8.553496734
32,8.54978167
32.1,8.546043858
32.2,8.542283216
32.3,8.53849966
32.4,8.53469311
32.5,8.530863483
32.6,8.527010696
32.7,8.523134668
32.8,8.519235315
32.9,8.515312557
33,8.511366309
33.1,8.507396491
33.2,8.50340302
33.3,8.499385813
33.4,8.495344788
33.5,8.491279864
33.6,8.487190957
33.7,8.483077986
33.8,8.478940868
33.9,8.474779521
34,8.470593863
34.1,8.466383812
34.2,8.462149285
34.3,8.4578902
34.4,8.453606475
34.5,8.449298027
34.6,8.444964776
34.7,8.440606638
34.8,8.436223532
34.9,8.431815375
35,8.427382085
35.1,8.422923581
35.2,8.41843978
35.3,8.413930601
35.4,8.409395961
35.5,8.404835778
35.6,8.400249972
35.7,8.395638459
35.8,8.391001158
35.9,8.386337988
36,8.381648866
36.1,8.376933711
36.2,8.372192442
36.3,8.367424976
36.4,8.362631233
36.5,8.35781113
36.6,8.352964586
36.7,8.34809152
36.8,8.343191851
36.9,8.338265497
37,8.333312376
37.1,8.328332409
37.2,8.323325513
37.3,8.318291608
37.4,8.313230612
37.5,8.308142445
37.6,8.303027025
37.7,8.297884273
37.8,8.292714107
37.9,8.287516446
38,8.28229121
38.1,8.277038318
38.2,8.27175769
38.3,8.266449246
38.4,8.261112904
38.5,8.255748586
38.6,8.25035621
38.7,8.244935697
38.8,8.239486967
38.9,8.234009939
39,8.228504535
39.1,8.222970673
39.2,8.217408275
39.3,8.211817261
39.4,8.206197552
39.5,8.200549068
39.6,8.194871729
39.7,8.189165458
39.8,8.183430174
39.9,8.177665798
40,8.171872252
40.1,8.166049458
40.2,8.160197335
40.3,8.154315807
40.4,8.148404793
40.5,8.142464217
40.6,8.136493999
40.7,8.130494062
40.8,8.124464328
40.9,8.118404718
41,8.112315156
41.1,8.106195563
41.2,8.100045861
41.3,8.093865974
41.4,8.087655824
41.5,8.081415334
41.6,8.075144428
41.7,8.068843027
41.8,8.062511056
41.9,8.056148437
42,8.049755095
42.1,8.043330953
42.2,8.036875934
42.3,8.030389964
42.4,8.023872965
42.5,8.017324862
42.6,8.010745579
42.7,8.004135042
42.8,7.997493174
42.9,7.9908199
43,7.984115146
43.1,7.977378836
43.2,7.970610896
43.3,7.963811252
43.4,7.956979828
43.5,7.950116551
43.6,7.943221346
43.7,7.936294141
43.8,7.92933486
43.9,7.92234343
44,7.915319779
44.1,7.908263832
44.2,7.901175517
44.3,7.894054761
44.4,7.886901491
44.5,7.879715635
44.6,7.87249712
44.7,7.865245874
44.8,7.857961826
44.9,7.850644902
45,7.843295033
45.1,7.835912146
45.2,7.82849617
45.3,7.821047035
45.4,7.813564669
45.5,7.806049001
45.6,7.798499962
45.7,7.790917481
45.8,7.783301488
45.9,7.775651913
46,7.767968687
46.1,7.76025174
46.2,7.752501003
46.3,7.744716408
46.4,7.736897884
46.5,7.729045364
46.6,7.721158779
46.7,7.713238062
46.8,7.705283144
46.9,7.697293957
47,7.689270434
47.1,7.681212509
47.2,7.673120113
47.3,7.66499318
47.4,7.656831643
47.5,7.648635437
47.6,7.640404495
47.7,7.632138751
47.8,7.623838139
47.9,7.615502595
48,7.607132052
48.1,7.598726447
48.2,7.590285714
48.3,7.581809789
48.4,7.573298608
48.5,7.564752106
48.6,7.556170221
48.7,7.547552888
48.8,7.538900045
48.9,7.530211629
49,7.521487577
49.1,7.512727826
49.2,7.503932314
49.3,7.49510098
49.4,7.486233762
49.5,7.477330598
49.6,7.468391427
49.7,7.45941619
49.8,7.450404824
49.9,7.441357269
50,7.432273467
50.1,7.426256369
50.2,7.420278013
50.3,7.414338373
50.4,7.408437423
50.5,7.402575136
50.6,7.396751486
50.7,7.390966448
50.8,7.385219997
50.9,7.379512105
51,7.373842749
51.1,7.368211903
51.2,7.36261954
51.3,7.357065638
51.4,7.35155017
51.5,7.346073111
51.6,7.340634438
51.7,7.335234125
51.8,7.329872149
51.9,7.324548484
52,7.319263107
52.1,7.314015993
52.2,7.308807119
52.3,7.303636461
52.4,7.298503996
52.5,7.293409699
52.6,7.288353548
52.7,7.283335519
52.8,7.27835559
52.9,7.273413736
53,7.268509936
53.1,7.263644167
53.2,7.258816406
53.3,7.25402663
53.4,7.249274818
53.5,7.244560948
53.6,7.239884997
53.7,7.235246943
53.8,7.230646765
53.9,7.226084441
54,7.221559949
54.1,7.217073269
54.2,7.21262438
54.3,7.208213259
54.4,7.203839887
54.5,7.199504242
54.6,7.195206304
54.7,7.190946052
54.8,7.186723467
54.9,7.182538528
55,7.178391214
55.1,7.174281507
55.2,7.170209385
55.3,7.166174831
55.4,7.162177823
55.5,7.158218343
55.6,7.154296372
55.7,7.150411891
55.8,7.14656488
55.9,7.142755322
56,7.138983197
56.1,7.135248487
56.2,7.131551173
56.3,7.127891238
56.4,7.124268664
56.5,7.120683432
56.6,7.117135526
56.7,7.113624927
56.8,7.110151618
56.9,7.106715581
57,7.103316801
57.1,7.099955259
57.2,7.096630939
57.3,7.093343824
57.4,7.090093898
57.5,7.086881145
57.6,7.083705548
57.7,7.080567091
57.8,7.077465758
57.9,7.074401534
58,7.071374403
58.1,7.068384349
58.2,7.065431358
58.3,7.062515414
58.4,7.059636502
58.5,7.056794608
58.6,7.053989716
58.7,7.051221813
58.8,7.048490883
58.9,7.045796913
59,7.043139889
59.1,7.040519797
59.2,7.037936623
59.3,7.035390353
59.4,7.032880974
59.5,7.030408474
59.6,7.027972838
59.7,7.025574054
59.8,7.023212109
59.9,7.02088699
60,7.018598686
60.1,7.016347183
60.2,7.01413247
60.3,7.011954535
60.4,7.009813365
60.5,7.00770895
60.6,7.005641277
60.7,7.003610336
60.8,7.001616115
60.9,6.999658603
61,6.997737789
61.1,6.995853663
61.2,6.994006214
61.3,6.992195432
61.4,6.990421307
61.5,6.988683828
61.6,6.986982986
61.7,6.985318771
61.8,6.983691173
61.9,6.982100183
62,6.980545792
62.1,6.979027991
62.2,6.977546771
62.3,6.976102123
62.4,6.974694038
62.5,6.973322509
62.6,6.971987527
62.7,6.970689084
62.8,6.969427172
62.9,6.968201783
63,6.967012909
63.1,6.965860544
63.2,6.964744681
63.3,6.963665311
63.4,6.962622428
63.5,6.961616026
63.6,6.960646098
63.7,6.959712637
63.8,6.958815637
63.9,6.957955092
64,6.957130997
64.1,6.956343345
64.2,6.955592131
64.3,6.954877349
64.4,6.954198995
64.5,6.953557063
64.6,6.952951548
64.7,6.952382446
64.8,6.951849752
64.9,6.951353461
65,6.950893571
65.1,6.950470075
65.2,6.950082971
65.3,6.949732255
65.4,6.949417923
65.5,6.949139972
65.6,6.948898398
65.7,6.9486932
65.8,6.948524373
65.9,6.948391915
66,6.948295823
66.1,6.948236096
66.2,6.948212731
66.3,6.948225726
66.4,6.948275078
66.5,6.948360788
66.6,6.948482852
66.7,6.94864127
66.8,6.94883604
66.9,6.949067162
67,6.949334634
67.1,6.949638456
67.2,6.949978628
67.3,6.950355149
67.4,6.950768019
67.5,6.951217237
67.6,6.951702805
67.7,6.952224723
67.8,6.952782991
67.9,6.953377609
68,6.954008579
68.1,6.954675902
68.2,6.955379579
68.3,6.956119611
68.4,6.956896
68.5,6.957708747
68.6,6.958557855
68.7,6.959443326
68.8,6.960365161
68.9,6.961323364
69,6.962317937
69.1,6.963348882
69.2,6.964416202
69.3,6.965519901
69.4,6.966659982
69.5,6.967836448
69.6,6.969049303
69.7,6.97029855
69.8,6.971584194
69.9,6.972906239
70,6.974264689
70.1,6.975659548
70.2,6.977090821
70.3,6.978558513
70.4,6.980062629
70.5,6.981603174
70.6,6.983180153
70.7,6.984793571
70.8,6.986443435
70.9,6.988129751
71,6.989852523
71.1,6.991611758
71.2,6.993407463
71.3,6.995239645
71.4,6.997108309
71.5,6.999013462
71.6,7.000955112
71.7,7.002933266
71.8,7.004947931
71.9,7.006999115
72,7.009086824
72.1,7.011211068
72.2,7.013371854
72.3,7.01556919
72.4,7.017803085
72.5,7.020073547
72.6,7.022380584
72.7,7.024724207
72.8,7.027104422
72.9,7.029521241
73,7.031974672
73.1,7.034464725
73.2,7.036991409
73.3,7.039554734
73.4,7.04215471
73.5,7.044791348
73.6,7.047464658
73.7,7.05017465
73.8,7.052921334
73.9,7.055704723
74,7.058524827
74.1,7.061381656
74.2,7.064275223
74.3,7.067205538
74.4,7.070172615
74.5,7.073176463
74.6,7.076217096
74.7,7.079294525
74.8,7.082408763
74.9,7.085559823
75,7.088747716
75.1,7.091972456
75.2,7.095234056
75.3,7.098532529
75.4,7.101867889
75.5,7.105240148
75.6,7.10864932
75.7,7.112095419
75.8,7.11557846
75.9,7.119098455
76,7.12265542
76.1,7.126249369
76.2,7.129880317
76.3,7.133548278
76.4,7.137253267
76.5,7.140995299
76.6,7.14477439
76.7,7.148590555
76.8,7.152443809
76.9,7.156334169
77,7.160261649
77.1,7.164226267
77.2,7.168228038
77.3,7.172266979
77.4,7.176343105
77.5,7.180456435
77.6,7.184606985
77.7,7.188794771
77.8,7.19301981
77.9,7.197282121
78,7.201581721
78.1,7.205918626
78.2,7.210292856
78.3,7.214704427
78.4,7.219153358
78.5,7.223639667
78.6,7.228163373
78.7,7.232724494
78.8,7.237323048
78.9,7.241959055
79,7.246632534
79.1,7.251343503
79.2,7.256091982
79.3,7.260877991
79.4,7.265701548
79.5,7.270562675
79.6,7.27546139
79.7,7.280397713
79.8,7.285371666
79.9,7.290383268
80,7.29543254
80.1,7.300519502
80.2,7.305644175
80.3,7.31080658
80.4,7.316006739
80.5,7.321244672
80.6,7.326520401
80.7,7.331833948
80.8,7.337185333
80.9,7.34257458
81,7.348001709
81.1,7.353466743
81.2,7.358969705
81.3,7.364510616
81.4,7.3700895
81.5,7.375706378
81.6,7.381361274
81.7,7.387054211
81.8,7.392785212
81.9,7.3985543
82,7.404361498
82.1,7.410206831
82.2,7.416090321
82.3,7.422011993
82.4,7.42797187
82.5,7.433969978
82.6,7.440006339
82.7,7.446080978
82.8,7.45219392
82.9,7.45834519
83,7.464534811
83.1,7.470762811
83.2,7.477029212
83.3,7.483334041
83.4,7.489677323
83.5,7.496059083
83.6,7.502479347
83.7,7.50893814
83.8,7.51543549
83.9,7.521971421
84,7.528545959
84.1,7.535159132
84.2,7.541810965
84.3,7.548501485
84.4,7.555230719
84.5,7.561998693
84.6,7.568805435
84.7,7.575650971
84.8,7.582535328
84.9,7.589458535
85,7.596420618
85.1,7.603421605
85.2,7.610461524
85.3,7.617540403
85.4,7.624658269
85.5,7.63181515
85.6,7.639011076
85.7,7.646246073
85.8,7.653520172
85.9,7.660833399
86,7.668185784
86.1,7.675577357
86.2,7.683008145
86.3,7.690478177
86.4,7.697987484
86.5,7.705536094
86.6,7.713124037
86.7,7.720751342
86.8,7.728418039
86.9,7.736124158
87,7.743869728
87.1,7.75165478
87.2,7.759479345
87.3,7.767343451
87.4,7.77524713
87.5,7.783190412
87.6,7.791173327
87.7,7.799195908
87.8,7.807258183
87.9,7.815360184
88,7.823501943
88.1,7.83168349
88.2,7.839904857
88.3,7.848166076
88.4,7.856467176
88.5,7.864808192
88.6,7.873189153
88.7,7.881610092
88.8,7.890071041
88.9,7.898572032
89,7.907113097
89.1,7.915694269
89.2,7.924315579
89.3,7.93297706
89.4,7.941678746
89.5,7.950420668
89.6,7.959202859
89.7,7.968025353
89.8,7.976888182
89.9,7.98579138
90,7.994734979
90.1,8.003719013
90.2,8.012680542
90.3,8.021619599
90.4,8.030536217
90.5,8.039430431
90.6,8.048302274
90.7,8.057151781
90.8,8.065978984
90.9,8.074783919
91,8.08356662
91.1,8.09232712
91.2,8.101065454
91.3,8.109781657
91.4,8.118475764
91.5,8.127147809
91.6,8.135797826
91.7,8.144425851
91.8,8.153031919
91.9,8.161616064
92,8.170178323
92.1,8.178718729
92.2,8.187237319
92.3,8.195734128
92.4,8.204209191
92.5,8.212662544
92.6,8.221094223
92.7,8.229504263
92.8,8.2378927
92.9,8.246259571
93,8.254604911
93.1,8.262928756
93.2,8.271231142
93.3,8.279512107
93.4,8.287771685
93.5,8.296009915
93.6,8.304226831
93.7,8.312422471
93.8,8.320596872
93.9,8.32875007
94,8.336882102
94.1,8.344993004
94.2,8.353082815
94.3,8.361151571
94.4,8.369199309
94.5,8.377226067
94.6,8.385231881
94.7,8.393216789
94.8,8.401180829
94.9,8.409124038
95,8.417046453
95.1,8.424948113
95.2,8.432829056
95.3,8.440689318
95.4,8.448528938
95.5,8.456347953
95.6,8.464146403
95.7,8.471924324
95.8,8.479681756
95.9,8.487418736
96,8.495135302
96.1,8.502831494
96.2,8.510507348
96.3,8.518162905
96.4,8.525798202
96.5,8.533413279
96.6,8.541008173
96.7,8.548582923
96.8,8.556137569
96.9,8.56367215
97,8.571186703
97.1,8.578681268
97.2,8.586155885
97.3,8.593610592
97.4,8.601045429
97.5,8.608460434
97.6,8.615855648
97.7,8.623231109
97.8,8.630586856
97.9,8.63792293
98,8.64523937
98.1,8.652536215
98.2,8.659813505
98.3,8.667071279
98.4,8.674309578
98.5,8.681528441
98.6,8.688727908
98.7,8.695908019
98.8,8.703068814
98.9,8.710210332
99,8.717332615
99.1,8.724435701
99.2,8.731519631
99.3,8.738584446
99.4,8.745630184
99.5,8.752656888
99.6,8.759664596
99.7,8.76665335
99.8,8.773623189
99.9,8.780574155
100,8.787506287
100.1,8.794419627
100.2,8.801314214
100.3,8.80819009
100.4,8.815047295
100.5,8.821885869
100.6,8.828705854
100.7,8.83550729
100.8,8.842290218
100.9,8.849054679
101,8.855800714
101.1,8.862528364
101.2,8.869237669
101.3,8.875928671
101.4,8.88260141
101.5,8.889255928
101.6,8.895892266
101.7,8.902510465
101.8,8.909110566
101.9,8.91569261
102,8.922256638
102.1,8.928802693
102.2,8.935330814
102.3,8.941841044
102.4,8.948333423
102.5,8.954807994
102.6,8.961264796
102.7,8.967703873
102.8,8.974125265
102.9,8.980529013
103,8.98691516
103.1,8.993283747
103.2,8.999634814
103.3,9.005968405
103.4,9.01228456
103.5,9.018583321
103.6,9.02486473
103.7,9.031128829
103.8,9.037375658
103.9,9.04360526
104,9.049817676
104.1,9.056012949
104.2,9.062191119
104.3,9.06835223
104.4,9.074496321
104.5,9.080623436
104.6,9.086733616
104.7,9.092826903
104.8,9.098903339
104.9,9.104962965
105,9.111005824
105.1,9.117031957
105.2,9.123041406
105.3,9.129034214
105.4,9.135010422
105.5,9.140970071
105.6,9.146913205
105.7,9.152839865
105.8,9.158750092
105.9,9.16464393
106,9.170521419
106.1,9.176382603
106.2,9.182227522
106.3,9.188056218
106.4,9.193868735
106.5,9.199665114
106.6,9.205445396
106.7,9.211209625
106.8,9.216957841
106.9,9.222690087
107,9.228406405
107.1,9.234106837
107.2,9.239791425
107.3,9.245460212
107.4,9.251113238
107.5,9.256750546
107.6,9.262372179
107.7,9.267978178
107.8,9.273568585
107.9,9.279143442
108,9.284702791
108.1,9.290246675
108.2,9.295775135
108.3,9.301288213
108.4,9.306785952
108.5,9.312268393
108.6,9.317735578
108.7,9.32318755
108.8,9.328624349
108.9,9.33404602
109,9.339452602
109.1,9.344844138
109.2,9.350220671
109.3,9.355582242
109.4,9.360928892
109.5,9.366260665
109.6,9.371577601
109.7,9.376879743
109.8,9.382167133
109.9,9.387439812
110,9.392697822
110.1,9.397941206
110.2,9.403170004
110.3,9.40838426
110.4,9.413584013
110.5,9.418769308
110.6,9.423940184
110.7,9.429096685
110.8,9.434238851
110.9,9.439366724
111,9.444480346
111.1,9.449579759
111.2,9.454665005
111.3,9.459736124
111.4,9.46479316
111.5,9.469836152
111.6,9.474865143
111.7,9.479880175
111.8,9.484881289
111.9,9.489868526
112,9.494841928
112.1,9.499801536
112.2,9.504747392
112.3,9.509679538
112.4,9.514598014
112.5,9.519502862
112.6,9.524394124
112.7,9.52927184
112.8,9.534136052
112.9,9.538986802
113,9.54382413
113.1,9.548648078
113.2,9.553458686
113.3,9.558255997
113.4,9.563040051
113.5,9.567810889
113.6,9.572568553
113.7,9.577313082
113.8,9.58204452
113.9,9.586762905
114,9.59146828
114.1,9.596160685
114.2,9.600840161
114.3,9.60550675
114.4,9.61016049
114.5,9.614801425
114.6,9.619429593
114.7,9.624045037
114.8,9.628647796
114.9,9.633237912
115,9.637815424
115.1,9.642380374
115.2,9.646932801
115.3,9.651472748
115.4,9.656000253
115.5,9.660515357
115.6,9.665018102
115.7,9.669508526
115.8,9.67398667
115.9,9.678452576
116,9.682906282
116.1,9.687347829
116.2,9.691777257
116.3,9.696194607
116.4,9.700599918
116.5,9.70499323
116.6,9.709374583
116.7,9.713744018
116.8,9.718101574
116.9,9.722447291
117,9.726781208
117.1,9.731103367
117.2,9.735413805
117.3,9.739712563
117.4,9.743999681
117.5,9.748275198
117.6,9.752539154
117.7,9.756791588
117.8,9.761032539
117.9,9.765262048
118,9.769480153
118.1,9.773686893
118.2,9.777882308
118.3,9.782066438
118.4,9.78623932
118.5,9.790400995
118.6,9.794551502
118.7,9.798690878
118.8,9.802819165
118.9,9.806936399
119,9.811042621
119.1,9.815137868
119.2,9.81922218
119.3,9.823295596
119.4,9.827358153
119.5,9.831409891
119.6,9.835450849
119.7,9.839481064
119.8,9.843500575
119.9,9.847509421
120,9.851507639
120.1,9.855495269
120.2,9.859472348
120.3,9.863438915
120.4,9.867395007
120.5,9.871340663
120.6,9.87527592
120.7,9.879200817
120.8,9.883115392
120.9,9.887019682
