ZONE,T="TIME=9.462000000000e+08"
0,8.9700746
2,8.9897062
4,9.0083600
6,9.0260131
8,9.0426273
10,9.0581499
12,9.0725139
14,9.0856393
16,9.0974338
18,9.1077950
20,9.1166123
22,9.1237702
24,9.1291521
26,9.1326456
28,9.1341488
30,9.1335786
32,9.1308802
34,9.1260377
36,9.1190869
38,9.1101264
40,9.0993293
42,9.0869513
44,9.0733336
46,9.0589003
48,9.0441479
50,9.0296279
51,9.0251174
52,9.0210938
53,9.0176075
54,9.0147077
55,9.0124421
56,9.0108563
57,9.0099934
58,9.0098937
59,9.0105948
60,9.0121310
61,9.0145335
62,9.0178300
63,9.0220455
64,9.0272013
65,9.0333159
66,9.0404046
67,9.0484798
68,9.0575511
69,9.0676250
70,9.0787052
71,9.0907926
72,9.1038853
73,9.1179781
74,9.1330630
75,9.1491288
76,9.1661607
77,9.1841407
78,9.2030471
79,9.2228541
80,9.2435324
81,9.2650484
82,9.2873645
83,9.3104392
84,9.3342269
85,9.3586785
86,9.3837411
87,9.4093589
88,9.4354737
89,9.4620249
90,9.4889506
92,9.5436753
94,9.5991515
96,9.6549051
98,9.7105037
100,9.7655724
102,9.8198026
106,9.9248921
110,10.0246597
114,10.1187978
118,10.2075623
122,10.2915203
126,10.3713656
130,10.4478010
134,10.5214699
138,10.5929204
142,10.6625873
146,10.7307835
150,10.7976975
