ZONE,T="TIME=9.462000000000e+08"
50,8.4349902
51,8.4431814
52,8.4514669
53,8.4598456
54,8.4683157
55,8.4768751
56,8.4855208
57,8.4942496
58,8.5030579
59,8.5119418
60,8.5208977
61,8.5299214
62,8.5390093
63,8.5481578
64,8.5573635
65,8.5666235
66,8.5759352
67,8.5852963
68,8.5947051
69,8.6041604
70,8.6136614
71,8.6232080
72,8.6328003
73,8.6424391
74,8.6521257
75,8.6618619
76,8.6716498
77,8.6814921
78,8.6913918
79,8.7013523
80,8.7113771
81,8.7214700
82,8.7316349
83,8.7418758
84,8.7521964
85,8.7626003
86,8.7730909
87,8.7836709
88,8.7943426
89,8.8051078
90,8.8159676
