ZONE,T="TIME=0.000000000000e+00"
0,9
0.1,9.001005793
0.2,9.002011588
0.3,9.003017387
0.4,9.00402319
0.5,9.005029001
0.6,9.00603482
0.7,9.00704065
0.8,9.008046493
0.9,9.009052349
1,9.010058221
1.1,9.01106411
1.2,9.012070019
1.3,9.013075949
1.4,9.014081902
1.5,9.015087879
1.6,9.016093882
1.7,9.017099914
1.8,9.018105975
1.9,9.019112067
2,9.020118193
2.1,9.021124354
2.2,9.022130552
2.3,9.023136788
2.4,9.024143065
2.5,9.025149384
2.6,9.026155746
2.7,9.027162154
2.8,9.028168609
2.9,9.029175113
3,9.030181668
3.1,9.031188276
3.2,9.032194938
3.3,9.033201656
3.4,9.034208431
3.5,9.035215267
3.6,9.036222163
3.7,9.037229123
3.8,9.038236147
3.9,9.039243238
4,9.040250397
4.1,9.041257626
4.2,9.042264927
4.3,9.043272302
4.4,9.044279752
4.5,9.045287279
4.6,9.046294884
4.7,9.04730257
4.8,9.048310339
4.9,9.049318191
5,9.05032613
5.1,9.051334156
5.2,9.052342271
5.3,9.053350477
5.4,9.054358776
5.5,9.05536717
5.6,9.056375659
5.7,9.057384247
5.8,9.058392935
5.9,9.059401724
6,9.060410617
6.1,9.061419614
6.2,9.062428718
6.3,9.063437931
6.4,9.064447254
6.5,9.065456689
6.6,9.066466238
6.7,9.067475903
6.8,9.068485684
6.9,9.069495585
7,9.070505606
7.1,9.07151575
7.2,9.072526019
7.3,9.073536413
7.4,9.074546935
7.5,9.075557586
7.6,9.076568369
7.7,9.077579285
7.8,9.078590335
7.9,9.079601522
8,9.080612847
8.1,9.081624313
8.2,9.082635919
8.3,9.08364767
8.4,9.084659565
8.5,9.085671608
8.6,9.086683799
8.7,9.087696141
8.8,9.088708635
8.9,9.089721283
9,9.090734087
9.1,9.091747048
9.2,9.092760168
9.3,9.093773449
9.4,9.094786893
9.5,9.095800501
9.6,9.096814276
9.7,9.097828218
9.8,9.09884233
9.9,9.099856614
10,9.10087107
10.1,9.101885702
10.2,9.10290051
10.3,9.103915496
10.4,9.104930663
10.5,9.105946011
10.6,9.106961543
10.7,9.10797726
10.8,9.108993165
10.9,9.110009258
11,9.111025542
11.1,9.112042018
11.2,9.113058689
11.3,9.114075555
11.4,9.115092618
11.5,9.116109881
11.6,9.117127345
11.7,9.118145012
11.8,9.119162883
11.9,9.12018096
12,9.121199246
12.1,9.122217741
12.2,9.123236447
12.3,9.124255367
12.4,9.125274502
12.5,9.126293853
12.6,9.127313423
12.7,9.128333213
12.8,9.129353225
12.9,9.130373461
13,9.131393922
13.1,9.13241461
13.2,9.133435527
13.3,9.134456675
13.4,9.135478054
13.5,9.136499668
13.6,9.137521518
13.7,9.138543606
13.8,9.139565932
13.9,9.1405885
14,9.14161131
14.1,9.142634365
14.2,9.143657666
14.3,9.144681215
14.4,9.145705014
14.5,9.146729064
14.6,9.147753368
14.7,9.148777926
14.8,9.149802741
14.9,9.150827815
15,9.151853148
15.1,9.152878743
15.2,9.153904602
15.3,9.154930727
15.4,9.155957118
15.5,9.156983778
15.6,9.158010708
15.7,9.159037911
15.8,9.160065388
15.9,9.161093141
16,9.16212117
16.1,9.16314948
16.2,9.16417807
16.3,9.165206942
16.4,9.166236099
16.5,9.167265543
16.6,9.168295274
16.7,9.169325294
16.8,9.170355606
16.9,9.171386211
17,9.17241711
17.1,9.173448307
17.2,9.174479801
17.3,9.175511595
17.4,9.176543691
17.5,9.17757609
17.6,9.178608795
17.7,9.179641806
17.8,9.180675126
17.9,9.181708756
18,9.182742698
18.1,9.183776954
18.2,9.184811526
18.3,9.185846415
18.4,9.186881622
18.5,9.18791715
18.6,9.188953001
18.7,9.189989176
18.8,9.191025677
18.9,9.192062505
19,9.193099662
19.1,9.194137151
19.2,9.195174972
19.3,9.196213128
19.4,9.197251619
19.5,9.198290449
19.6,9.199329619
19.7,9.200369129
19.8,9.201408983
19.9,9.202449182
20,9.203489727
20.1,9.20453062
20.2,9.205571863
20.3,9.206613458
20.4,9.207655407
20.5,9.20869771
20.6,9.20974037
20.7,9.210783389
20.8,9.211826768
20.9,9.21287051
21,9.213914614
21.1,9.214959085
21.2,9.216003922
21.3,9.217049128
21.4,9.218094705
21.5,9.219140654
21.6,9.220186977
21.7,9.221233676
21.8,9.222280752
21.9,9.223328208
22,9.224376044
22.1,9.225424263
22.2,9.226472866
22.3,9.227521855
22.4,9.228571232
22.5,9.229620998
22.6,9.230671156
22.7,9.231721706
22.8,9.232772651
22.9,9.233823992
23,9.234875732
23.1,9.235927871
23.2,9.236980411
23.3,9.238033354
23.4,9.239086703
23.5,9.240140457
23.6,9.241194621
23.7,9.242249194
23.8,9.243304178
23.9,9.244359576
24,9.24541539
24.1,9.24647162
24.2,9.247528268
24.3,9.248585337
24.4,9.249642828
24.5,9.250700742
24.6,9.251759081
24.7,9.252817848
24.8,9.253877043
24.9,9.254936669
25,9.255996727
25.1,9.257057219
25.2,9.258118146
25.3,9.259179511
25.4,9.260241314
25.5,9.261303559
25.6,9.262366245
25.7,9.263429376
25.8,9.264492952
25.9,9.265556976
26,9.266621449
26.1,9.267686373
26.2,9.26875175
26.3,9.269817581
26.4,9.270883867
26.5,9.271950612
26.6,9.273017815
26.7,9.27408548
26.8,9.275153608
26.9,9.2762222
27,9.277291258
27.1,9.278360784
27.2,9.279430779
27.3,9.280501246
27.4,9.281572186
27.5,9.2826436
27.6,9.283715491
27.7,9.284787859
27.8,9.285860708
27.9,9.286934037
28,9.28800785
28.1,9.289082148
28.2,9.290156932
28.3,9.291232204
28.4,9.292307966
28.5,9.29338422
28.6,9.294460966
28.7,9.295538208
28.8,9.296615947
28.9,9.297694183
29,9.29877292
29.1,9.299852158
29.2,9.3009319
29.3,9.302012146
29.4,9.3030929
29.5,9.304174162
29.6,9.305255934
29.7,9.306338217
29.8,9.307421014
29.9,9.308504327
30,9.309588156
30.1,9.310672504
30.2,9.311757371
30.3,9.312842761
30.4,9.313928675
30.5,9.315015113
30.6,9.316102079
30.7,9.317189573
30.8,9.318277597
30.9,9.319366153
31,9.320455243
31.1,9.321544869
31.2,9.322635031
31.3,9.323725732
31.4,9.324816973
31.5,9.325908757
31.6,9.327001084
31.7,9.328093956
31.8,9.329187375
31.9,9.330281344
32,9.331375862
32.1,9.332470933
32.2,9.333566557
32.3,9.334662737
32.4,9.335759474
32.5,9.33685677
32.6,9.337954626
32.7,9.339053044
32.8,9.340152026
