x,T,,,,,,
0.00E+00,1.00E+02,,,,,,
1.00E-03,9.92E+01,,,,,,
2.00E-03,9.84E+01,,,,,,
3.00E-03,9.75E+01,,,,,,
4.00E-03,9.67E+01,,,,,,
5.00E-03,9.59E+01,,,,,,
6.00E-03,9.51E+01,,,,,,
7.00E-03,9.42E+01,,,,,,
8.00E-03,9.34E+01,,,,,,
9.00E-03,9.26E+01,,,,,,
1.00E-02,9.18E+01,,,,,,
1.10E-02,9.10E+01,,,,,,
1.20E-02,9.01E+01,,,,,,
1.30E-02,8.93E+01,,,,,,
1.40E-02,8.85E+01,,,,,,
1.50E-02,8.77E+01,,,,,,
1.60E-02,8.69E+01,,,,,,
1.70E-02,8.61E+01,,,,,,
1.80E-02,8.53E+01,,,,,,
1.90E-02,8.44E+01,,,,,,
2.00E-02,8.36E+01,,,,,,
2.10E-02,8.28E+01,,,,,,
2.20E-02,8.20E+01,,,,,,
2.30E-02,8.12E+01,,,,,,
2.40E-02,8.04E+01,,,,,,
2.50E-02,7.96E+01,,,,,,
2.60E-02,7.88E+01,,,,,,
2.70E-02,7.80E+01,,,,,,
2.80E-02,7.73E+01,,,,,,
2.90E-02,7.65E+01,,,,,,
3.00E-02,7.57E+01,,,,,,
3.10E-02,7.49E+01,,,,,,
3.20E-02,7.41E+01,,,,,,
3.30E-02,7.33E+01,,,,,,
3.40E-02,7.26E+01,,,,,,
3.50E-02,7.18E+01,,,,,,
3.60E-02,7.10E+01,,,,,,
3.70E-02,7.02E+01,,,,,,
3.80E-02,6.95E+01,,,,,,
3.90E-02,6.87E+01,,,,,,
4.00E-02,6.80E+01,,,,,,
4.10E-02,6.72E+01,,,,,,
4.20E-02,6.65E+01,,,,,,
4.30E-02,6.57E+01,,,,,,
4.40E-02,6.50E+01,,,,,,
4.50E-02,6.42E+01,,,,,,
4.60E-02,6.35E+01,,,,,,
4.70E-02,6.28E+01,,,,,,
4.80E-02,6.20E+01,,,,,,
4.90E-02,6.13E+01,,,,,,
5.00E-02,6.06E+01,,,,,,
5.10E-02,5.99E+01,,,,,,
5.20E-02,5.91E+01,,,,,,
5.30E-02,5.84E+01,,,,,,
5.40E-02,5.77E+01,,,,,,
5.50E-02,5.70E+01,,,,,,
5.60E-02,5.63E+01,,,,,,
5.70E-02,5.56E+01,,,,,,
5.80E-02,5.49E+01,,,,,,
5.90E-02,5.42E+01,,,,,,
6.00E-02,5.36E+01,,,,,,
6.10E-02,5.29E+01,,,,,,
6.20E-02,5.22E+01,,,,,,
6.30E-02,5.15E+01,,,,,,
6.40E-02,5.09E+01,,,,,,
6.50E-02,5.02E+01,,,,,,
6.60E-02,4.96E+01,,,,,,
6.70E-02,4.89E+01,,,,,,
6.80E-02,4.83E+01,,,,,,
6.90E-02,4.76E+01,,,,,,
7.00E-02,4.70E+01,,,,,,
7.10E-02,4.64E+01,,,,,,
7.20E-02,4.57E+01,,,,,,
7.30E-02,4.51E+01,,,,,,
7.40E-02,4.45E+01,,,,,,
7.50E-02,4.39E+01,,,,,,
7.60E-02,4.33E+01,,,,,,
7.70E-02,4.27E+01,,,,,,
7.80E-02,4.21E+01,,,,,,
7.90E-02,4.15E+01,,,,,,
8.00E-02,4.09E+01,,,,,,
8.10E-02,4.03E+01,,,,,,
8.20E-02,3.97E+01,,,,,,
8.30E-02,3.92E+01,,,,,,
8.40E-02,3.86E+01,,,,,,
8.50E-02,3.80E+01,,,,,,
8.60E-02,3.75E+01,,,,,,
8.70E-02,3.69E+01,,,,,,
8.80E-02,3.64E+01,,,,,,
8.90E-02,3.58E+01,,,,,,
9.00E-02,3.53E+01,,,,,,
9.10E-02,3.48E+01,,,,,,
9.20E-02,3.42E+01,,,,,,
9.30E-02,3.37E+01,,,,,,
9.40E-02,3.32E+01,,,,,,
9.50E-02,3.27E+01,,,,,,
9.60E-02,3.22E+01,,,,,,
9.70E-02,3.17E+01,,,,,,
9.80E-02,3.12E+01,,,,,,
9.90E-02,3.07E+01,,,,,,
1.00E-01,3.02E+01,,,,,,
1.01E-01,2.97E+01,,,,,,
1.02E-01,2.92E+01,,,,,,
1.03E-01,2.88E+01,,,,,,
1.04E-01,2.83E+01,,,,,,
1.05E-01,2.78E+01,,,,,,
1.06E-01,2.74E+01,,,,,,
1.07E-01,2.69E+01,,,,,,
1.08E-01,2.65E+01,,,,,,
1.09E-01,2.60E+01,,,,,,
1.10E-01,2.56E+01,,,,,,
1.11E-01,2.52E+01,,,,,,
1.12E-01,2.48E+01,,,,,,
1.13E-01,2.43E+01,,,,,,
1.14E-01,2.39E+01,,,,,,
1.15E-01,2.35E+01,,,,,,
1.16E-01,2.31E+01,,,,,,
1.17E-01,2.27E+01,,,,,,
1.18E-01,2.23E+01,,,,,,
1.19E-01,2.19E+01,,,,,,
1.20E-01,2.15E+01,,,,,,
1.21E-01,2.12E+01,,,,,,
1.22E-01,2.08E+01,,,,,,
1.23E-01,2.04E+01,,,,,,
1.24E-01,2.01E+01,,,,,,
1.25E-01,1.97E+01,,,,,,
1.26E-01,1.93E+01,,,,,,
1.27E-01,1.90E+01,,,,,,
1.28E-01,1.86E+01,,,,,,
1.29E-01,1.83E+01,,,,,,
1.30E-01,1.80E+01,,,,,,
1.31E-01,1.76E+01,,,,,,
1.32E-01,1.73E+01,,,,,,
1.33E-01,1.70E+01,,,,,,
1.34E-01,1.67E+01,,,,,,
1.35E-01,1.63E+01,,,,,,
1.36E-01,1.60E+01,,,,,,
1.37E-01,1.57E+01,,,,,,
1.38E-01,1.54E+01,,,,,,
1.39E-01,1.51E+01,,,,,,
1.40E-01,1.48E+01,,,,,,
1.41E-01,1.45E+01,,,,,,
1.42E-01,1.43E+01,,,,,,
1.43E-01,1.40E+01,,,,,,
1.44E-01,1.37E+01,,,,,,
1.45E-01,1.34E+01,,,,,,
1.46E-01,1.32E+01,,,,,,
1.47E-01,1.29E+01,,,,,,
1.48E-01,1.27E+01,,,,,,
1.49E-01,1.24E+01,,,,,,
1.50E-01,1.21E+01,,,,,,
1.51E-01,1.19E+01,,,,,,
1.52E-01,1.17E+01,,,,,,
1.53E-01,1.14E+01,,,,,,
1.54E-01,1.12E+01,,,,,,
1.55E-01,1.10E+01,,,,,,
1.56E-01,1.07E+01,,,,,,
1.57E-01,1.05E+01,,,,,,
1.58E-01,1.03E+01,,,,,,
1.59E-01,1.01E+01,,,,,,
1.60E-01,9.86E+00,,,,,,
1.61E-01,9.65E+00,,,,,,
1.62E-01,9.44E+00,,,,,,
1.63E-01,9.24E+00,,,,,,
1.64E-01,9.04E+00,,,,,,
1.65E-01,8.85E+00,,,,,,
1.66E-01,8.66E+00,,,,,,
1.67E-01,8.47E+00,,,,,,
1.68E-01,8.29E+00,,,,,,
1.69E-01,8.10E+00,,,,,,
1.70E-01,7.93E+00,,,,,,
1.71E-01,7.75E+00,,,,,,
1.72E-01,7.58E+00,,,,,,
1.73E-01,7.41E+00,,,,,,
1.74E-01,7.24E+00,,,,,,
1.75E-01,7.08E+00,,,,,,
1.76E-01,6.92E+00,,,,,,
1.77E-01,6.77E+00,,,,,,
1.78E-01,6.61E+00,,,,,,
1.79E-01,6.46E+00,,,,,,
1.80E-01,6.31E+00,,,,,,
1.81E-01,6.17E+00,,,,,,
