xc,Tc
0.00E+00,0.00E+00
1.00E-03,4.00E-22
2.00E-03,1.08E-21
3.00E-03,2.20E-21
4.00E-03,3.97E-21
5.00E-03,6.71E-21
6.00E-03,1.09E-20
7.00E-03,1.71E-20
8.00E-03,2.63E-20
9.00E-03,3.98E-20
1.00E-02,5.95E-20
1.10E-02,8.78E-20
1.20E-02,1.28E-19
1.30E-02,1.86E-19
1.40E-02,2.69E-19
1.50E-02,3.85E-19
1.60E-02,5.48E-19
1.70E-02,7.76E-19
1.80E-02,1.09E-18
1.90E-02,1.54E-18
2.00E-02,2.15E-18
2.10E-02,3.00E-18
2.20E-02,4.16E-18
2.30E-02,5.76E-18
2.40E-02,7.95E-18
2.50E-02,1.10E-17
2.60E-02,1.50E-17
2.70E-02,2.06E-17
2.80E-02,2.81E-17
2.90E-02,3.83E-17
3.00E-02,5.21E-17
3.10E-02,7.07E-17
3.20E-02,9.57E-17
3.30E-02,1.29E-16
3.40E-02,1.74E-16
3.50E-02,2.34E-16
3.60E-02,3.15E-16
3.70E-02,4.22E-16
3.80E-02,5.65E-16
3.90E-02,7.54E-16
4.00E-02,1.01E-15
4.10E-02,1.34E-15
4.20E-02,1.78E-15
4.30E-02,2.36E-15
4.40E-02,3.12E-15
4.50E-02,4.13E-15
4.60E-02,5.45E-15
4.70E-02,7.18E-15
4.80E-02,9.45E-15
4.90E-02,1.24E-14
5.00E-02,1.63E-14
5.10E-02,2.13E-14
5.20E-02,2.79E-14
5.30E-02,3.64E-14
5.40E-02,4.75E-14
5.50E-02,6.19E-14
5.60E-02,8.05E-14
5.70E-02,1.05E-13
5.80E-02,1.36E-13
5.90E-02,1.76E-13
6.00E-02,2.27E-13
6.10E-02,2.93E-13
6.20E-02,3.78E-13
6.30E-02,4.87E-13
6.40E-02,6.26E-13
6.50E-02,8.04E-13
6.60E-02,1.03E-12
6.70E-02,1.32E-12
6.80E-02,1.69E-12
6.90E-02,2.16E-12
7.00E-02,2.76E-12
7.10E-02,3.51E-12
7.20E-02,4.47E-12
7.30E-02,5.68E-12
7.40E-02,7.21E-12
7.50E-02,9.14E-12
7.60E-02,1.16E-11
7.70E-02,1.46E-11
7.80E-02,1.85E-11
7.90E-02,2.33E-11
8.00E-02,2.94E-11
8.10E-02,3.70E-11
